OID_;feuillet;twi_url
0;32B11NE;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/32B/32B11NE/
1;22N08NO;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/22N/22N08NO/
2;31O02SO;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/31O/31O02SO/
3;32I13SO;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/32I/32I13SO/
4;22D14SO;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/22D/22D14SO/
5;32I15NE;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/32I/32I15NE/
6;22E08SE;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/22E/22E08SE/
7;32B02NE;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/32B/32B02NE/
8;21E12NO;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/21E/21E12NO/
9;32G11NO;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/32G/32G11NO/
10;22F12SO;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Produits_derives_LiDAR/Hydrographie/Indice_humidite_topographique/3-Donnees/22F/22F12SO/
