gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555827	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000983	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes G.F. Atk.	G.F. Atk.	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1990-07-10	10	7	1990	5451757	5451757	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000983		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:21.580Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548951	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001632	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes G.F. Atk.	G.F. Atk.	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1992-07-06	6	7	1992	5451757	5451757	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001632		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.685Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4993908241	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252675230	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.037455	-74.071997	1953.0						2024-08-20T14:55	20	8	2024	5451757	5451757	HUMAN_OBSERVATION	iNaturalist	Observations	252675230		Annabelle Langlois	2024-11-23T03:43:02	CC_BY_NC_4_0	Annabelle Langlois	Annabelle Langlois			2025-01-14T12:56:47.347Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4982297123	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252046647	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.492805	-74.012117	500.0						2023-07-12T17:13:47	12	7	2023	5451757	5451757	HUMAN_OBSERVATION	iNaturalist	Observations	252046647		Chantal Gauthier	2024-11-17T18:11:10	CC_BY_NC_4_0	Chantal Gauthier	Chantal Gauthier			2025-01-14T12:53:55.001Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946357215	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239589197	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.507102	-73.587407	408.0						2024-09-02T16:46:21	2	9	2024	5451757	5451757	HUMAN_OBSERVATION	iNaturalist	Observations	239589197		pamrutkar	2024-09-03T11:44:07	CC_BY_NC_4_0	pamrutkar	pamrutkar			2025-01-14T13:43:45.652Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923922041	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/227598233	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.039239	-72.819717	4.0						2024-07-06T15:43:17	6	7	2024	5451757	5451757	HUMAN_OBSERVATION	iNaturalist	Observations	227598233		l_bienvenue	2024-07-06T19:45:13	CC_BY_NC_4_0	l_bienvenue	l_bienvenue			2025-01-14T13:41:57.800Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4921716748	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/177316881	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.542446	-73.32889							2023-07-26T13:02:35	26	7	2023	5451757	5451757	HUMAN_OBSERVATION	iNaturalist	Observations	177316881		egrenier	2023-08-08T09:14:26	CC_BY_NC_4_0	egrenier	egrenier			2025-01-14T12:38:39.048Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919415476	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/130176569	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.156795	-72.246772	499.0						2022-08-09T13:41:29	9	8	2022	5451757	5451757	HUMAN_OBSERVATION	iNaturalist	Observations	130176569		Laura Baxley	2022-08-09T23:18:22	CC_BY_NC_4_0	Laura Baxley	Laura Baxley			2025-01-14T13:24:36.312Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919382298	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/232293633	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.337406	-75.974047	647180.0						2024-07-18T11:21:48	18	7	2024	5451757	5451757	HUMAN_OBSERVATION	iNaturalist	Observations	232293633		Antoine Fortin	2024-07-29T13:50:40	CC_BY_NC_4_0	sarah_elle_r	sarah_elle_r			2025-01-14T12:48:29.331Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919348088	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/173131434	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita velatipes		SPECIES	Amanita velatipes G.F.Atk.	Amanita velatipes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.553247	-73.471443	233.0						2023-07-14T10:43	14	7	2023	5451757	5451757	HUMAN_OBSERVATION	iNaturalist	Observations	173131434		Antoine Fortin	2023-07-16T01:54:12	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T12:38:47.065Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
