gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4416635496,2023-09-04T18:08:09,2023,Québec,Amanita virosa,https://www.inaturalist.org/observations/181849140,POINT (-71.18183 45.803672),21E,-71.1821743018177,45.8045948947066,"-208538,44+204940,32",,,,,M,2,VIR,B,1A,30.0,MR,85.0,17,VIN,"{'SB': 0.3, 'EU': 0.2, 'RX': 0.1, 'EO': 0.2, 'BJ': 0.1, 'BP': 0.1}",0.00098502709664837,6,1.6957425341696346,[4.133333],[10.116667],[24.856676],[1097.4647],[23.8],[-16.9],[40.699997],[17.133333],[-4.],[17.133333],[-9.983334],[1123.],[132.],[68.],[20.113173],[357.],[214.],[357.],[239.]
2237428722,2010-08-08T13:39,2010,Québec,Amanita virosa,https://www.inaturalist.org/observations/22478622,POINT (-71.1653 45.8103),21E,-71.1645958097691,45.80898360627,"-207158,99+205412,73",,,,,M,2,VIR,B,1A,30.0,MM,75.0,18,VIN,"{'PB': 0.2, 'SB': 0.2, 'EU': 0.1, 'BP': 0.2, 'EO': 0.2, 'PE': 0.1}",0.0014929086823003966,6,1.7480673485460896,[4.175],[10.150001],[24.877453],[1097.8708],[23.9],[-16.9],[40.8],[17.183334],[-3.9833333],[17.183334],[-9.933333],[1112.],[130.],[67.],[20.160872],[354.],[212.],[354.],[235.]
1838007031,2016-09-10T10:56:02Z,2016,Québec,Amanita virosa,https://www.inaturalist.org/observations/10035160,POINT (-71.137893 45.796945),21E,-71.1374568320421,45.7979795783603,"-205089,02+204077,10",,,,,R,3,30,A,1A,50.0,R,75.0,14,30,"{'SB': 0.4, 'EN': 0.2, 'EU': 0.2, 'PB': 0.1, 'BP': 0.1}",0.001122762161410146,5,1.4708084763221112,[4.125],[10.25],[25.122551],[1095.7988],[23.9],[-16.9],[40.8],[17.116667],[-4.0166664],[17.116667],[-9.95],[1113.],[131.],[67.],[20.14188],[354.],[213.],[354.],[234.]
1412707318,1995-09-03,1995,Québec,Amanita virosa,CMMF015812,POINT (-71.167805 45.826543),21E,-71.1695339121753,45.8279818797392,"-207453,96+207502,65",,,,,F,2,JIN,C,1AY,20.0,F,85.0,18,JIN,"{'EO': 0.5, 'BP': 0.2, 'ES': 0.1, 'PE': 0.1, 'RX': 0.1}",0.002249335949509698,5,1.3592367006650063,[4.025],[10.066667],[24.733824],[1098.7897],[23.7],[-17.],[40.7],[17.066668],[-4.133333],[17.066668],[-10.083333],[1132.],[133.],[69.],[19.358932],[357.],[221.],[357.],[241.]
2856657928,2020-08-22,2020,Québec,Amanita virosa,https://www.inaturalist.org/observations/57327485,POINT (-71.32123 46.758694),21L,-71.320578256682,46.7567730677949,"-215120,01+310974,47",,,,,F,3,50,A,5S,30.0,F,95.0,14,50,"{'EO': 0.4, 'BP': 0.3, 'BJ': 0.1, 'PU': 0.1, 'SB': 0.1}",0.0020284846287644213,5,1.4184836619456564,[4.7708335],[10.075],[23.430233],[1174.0673],[26.1],[-16.9],[43.],[17.65],[-9.066667],[18.816668],[-10.233334],[1248.],[130.],[71.],[16.223547],[371.],[252.],[365.],[260.]
2596226007,2019-09-20,2019,Québec,Amanita virosa,https://www.inaturalist.org/observations/33098324,POINT (-71.228144 46.548066),21L,-71.2296767560402,46.5483323912727,"-209075,89+287661,58",,,,,M,2,70,A,5S,40.0,MF,75.0,17,70,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'SB': 0.2, 'EU': 0.1, 'PU': 0.1}",0.0015557330712430077,6,1.6094379124341003,[4.0291667],[10.208333],[24.190365],[1144.5314],[24.4],[-17.8],[42.199997],[17.516666],[-4.55],[17.516666],[-10.716666],[1180.],[127.],[68.],[18.752136],[364.],[222.],[364.],[252.]
2596076900,2019-09-21,2019,Québec,Amanita virosa,https://www.inaturalist.org/observations/33160668,POINT (-71.312183 46.834159),21L,-71.3134622969858,46.8336640369842,"-214155,06+319293,86",,,,,F,2,VIR,B,5A,31.0,F,65.0,21,VIN,"{'PE': 0.5, 'FT': 0.2, 'FH': 0.1, 'FN': 0.1, 'SE': 0.1}",0.001371710306472498,5,1.3592367006650063,[4.929167],[10.474999],[23.861048],[1194.1724],[26.8],[-17.1],[43.9],[17.933332],[-9.1],[19.233334],[-10.383333],[1261.],[132.],[71.],[17.008015],[378.],[248.],[369.],[258.]
2429274424,2019-09-27,2019,Québec,Amanita virosa,https://www.inaturalist.org/observations/33502467,POINT (-71.324982 46.756314),21L,-71.3236001781205,46.7561071579191,"-215356,29+310991,12",,,,,M,2,VIN,A,5S,30.0,MR,75.0,18,VIN,"{'EN': 0.3, 'SB': 0.2, 'RX': 0.1, 'EO': 0.2, 'BJ': 0.1, 'FT': 0.1}",0.0013972170028714549,6,1.6957425341696346,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
1135071287,2007-08-29,2007,Québec,Amanita virosa,CMMF009885,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1135070355,2006-08-08,2006,Québec,Amanita virosa,CMMF008894,POINT (-71.254455 46.918501),21L,-71.2551573788685,46.9180378961829,"-209449,67+328601,31",,,,,F,3,50,B,1A,30.0,F,85.0,15,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",0.0008413092299147043,6,1.6957425341696346,[3.4583333],[10.316667],[23.93658],[1166.2816],[24.6],[-18.5],[43.1],[16.2],[-5.05],[17.4],[-11.5],[1381.],[141.],[86.],[14.374785],[399.],[277.],[397.],[307.]
