gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
1412707351,2004-09-01,2004.0,Québec,Amaropostia stiptica,CMMF015894,POINT (-71.9 45.4),21E,-71.8993023405285,45.4072613805562,"-266407,25+163180,14",,,,,F,1,VIN,D,1A,30.0,F,65.0,VIN,"{'ES': 0.5, 'FR': 0.2, 'FT': 0.2, 'RX': 0.1}",4,1.2206072645530173
1412707460,1966-10-16,1966.0,Québec,Amaropostia stiptica,CMMF015896,POINT (-71.333809 46.874016),21L,-71.3352665227937,46.8771112541637,"-215707,46+324446,40",,,,,F,2,JIR,B,1A,30.0,F,25.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FI': 0.1, 'FT': 0.1, 'RX': 0.1}",5,1.4184836619456564
1412707454,1970-09-15,1970.0,Québec,Amaropostia stiptica,CMMF015899,POINT (-71.355145 46.763778),21L,-71.353650396071,46.7607902878454,"-217658,45+311713,26",,,,,F,1,VIN,D,5A,50.0,F,65.0,VIN,"{'FH': 0.5, 'ER': 0.2, 'FN': 0.2, 'PA': 0.1}",4,1.2206072645530173
1412707451,1976-10-10,1976.0,Québec,Amaropostia stiptica,CMMF015897,POINT (-71.355145 46.763778),21L,-71.353650396071,46.7607902878454,"-217658,45+311713,26",,,,,F,1,VIN,D,5A,50.0,F,65.0,VIN,"{'FH': 0.5, 'ER': 0.2, 'FN': 0.2, 'PA': 0.1}",4,1.2206072645530173
1412707440,1971-08-20/1973-09-03,,Québec,Amaropostia stiptica,CMMF015871,POINT (-71.374844 46.780042),21L,-71.3734073678032,46.7799564370761,"-219042,87+313784,68",FR,,,,F,5,10,B,5S,20.0,F,75.0,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",3,0.8979457248567797
1412707428,1986-09-19,1986.0,Québec,Amaropostia stiptica,CMMF015898,POINT (-71.384379 46.867482),21L,-71.384462313701,46.8655999952224,"-219469,87+323359,86",,,,,M,2,JIR,A,7T,50.0,MR,65.0,70,"{'ML': 0.5, 'SB': 0.2, 'EO': 0.2, 'BG': 0.1}",4,1.2206072645530173
1412707427,1971-08-20,1971.0,Québec,Amaropostia stiptica,CMMF015872,POINT (-71.355145 46.763778),21L,-71.353650396071,46.7607902878454,"-217658,45+311713,26",,,,,F,1,VIN,D,5A,50.0,F,65.0,VIN,"{'FH': 0.5, 'ER': 0.2, 'FN': 0.2, 'PA': 0.1}",4,1.2206072645530173
1412707422,1980-09-05,1980.0,Québec,Amaropostia stiptica,CMMF015900,POINT (-71.451132 46.754803),21L,-71.450620065877,46.7555054370124,"-225042,02+311314,49",,,,,F,2,JIN,A,5A,40.0,F,85.0,JIN,"{'EO': 0.4, 'BP': 0.2, 'PE': 0.2, 'EU': 0.1, 'SB': 0.1}",5,1.4708084763221112
1412707410,1976-09-15,1976.0,Québec,Amaropostia stiptica,CMMF015895,POINT (-71.374844 46.780042),21L,-71.3734073678032,46.7799564370761,"-219042,87+313784,68",FR,,,,F,5,10,B,5S,20.0,F,75.0,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",3,0.8979457248567797
1412707389,1970-09-01,1970.0,Québec,Amaropostia stiptica,CMMF015869,POINT (-71.355145 46.763778),21L,-71.353650396071,46.7607902878454,"-217658,45+311713,26",,,,,F,1,VIN,D,5A,50.0,F,65.0,VIN,"{'FH': 0.5, 'ER': 0.2, 'FN': 0.2, 'PA': 0.1}",4,1.2206072645530173
1412707381,1976-08-21,1976.0,Québec,Amaropostia stiptica,CMMF015902,POINT (-71.374844 46.780042),21L,-71.3734073678032,46.7799564370761,"-219042,87+313784,68",FR,,,,F,5,10,B,5S,20.0,F,75.0,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",3,0.8979457248567797
1412707359,1975-10-24,1975.0,Québec,Amaropostia stiptica,CMMF015893,POINT (-71.355922 46.765168),21L,-71.3576658551011,46.766103145493,"-217798,35+311898,53",,,,,F,2,VIN,D,5S,20.0,F,65.0,VIN,"{'FH': 0.4, 'ER': 0.2, 'FN': 0.2, 'EB': 0.1, 'SB': 0.1}",5,1.4708084763221112
1412707294,1975-11-04,1975.0,Québec,Amaropostia stiptica,CMMF015873,POINT (-71.355145 46.763778),21L,-71.353650396071,46.7607902878454,"-217658,45+311713,26",,,,,F,1,VIN,D,5A,50.0,F,65.0,VIN,"{'FH': 0.5, 'ER': 0.2, 'FN': 0.2, 'PA': 0.1}",4,1.2206072645530173
1135071175,2007-08-12,2007.0,Québec,Amaropostia stiptica,CMMF009749,POINT (-71.254455 46.918501),21L,-71.2551573788685,46.9180378961829,"-209449,67+328601,31",,,,,F,3,50,B,1A,30.0,F,85.0,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",6,1.6957425341696346
1412707324,1988-09-12,1988.0,Québec,Amaropostia stiptica,CMMF015868,POINT (-76.740345 45.839389),31F,-76.7448135501425,45.8369550672685,"-639345,48+241499,27",,,,,F,2,JIR,A,3AN,40.0,F,65.0,JIN,"{'PE': 0.4, 'EA': 0.2, 'FO': 0.2, 'BJ': 0.1, 'FT': 0.1}",5,1.4708084763221112
617551388,1995-09-27,1995.0,Québec,Amaropostia stiptica,CMMF002685,POINT (-72.584529 45.931221),31H,-72.5842799668517,45.9351393306654,"-316622,30+224582,90",,,,,F,2,50,A,5S,40.0,F,75.0,50,"{'BG': 0.4, 'EO': 0.4, 'PA': 0.1, 'PE': 0.1}",4,1.193549604098133
1412707430,1968-10-20,1968.0,Québec,Amaropostia stiptica,CMMF015870,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",5,1.5571130980576458
1412707335,1966-09-14,1966.0,Québec,Amaropostia stiptica,CMMF015867,POINT (-73.707976 45.551136),31H,-73.6994654471089,45.5460193014914,"-406059,70+187051,29",,,,,F,1,70,B,3AN,30.0,F,65.0,70,"{'PL': 0.6, 'FR': 0.2, 'EA': 0.1, 'FT': 0.1}",4,1.0888999753452235
1135067597,2005-09-22,2005.0,Québec,Amaropostia stiptica,CMMF006165,POINT (-73.774083 45.35433),31H,-73.7742738198763,45.3555360057987,"-413466,07+166321,23",,,,,F,1,VIN,A,1AY,30.0,F,85.0,VIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.2}",3,0.9502705392332347
1135067251,2008-09-11,2008.0,Québec,Amaropostia stiptica,CMMF005777,POINT (-73.773917 45.33983),31H,-73.7748473825911,45.3390987807519,"-413633,63+164466,14",,,,,F,1,JIR,A,5A,40.0,F,85.0,JIN,"{'FR': 0.4, 'PE': 0.2, 'PL': 0.2, 'FH': 0.1, 'FT': 0.1}",5,1.4708084763221112
1135067248,2009-09-01,2009.0,Québec,Amaropostia stiptica,CMMF005784,POINT (-73.773917 45.33983),31H,-73.7748473825911,45.3390987807519,"-413633,63+164466,14",,,,,F,1,JIR,A,5A,40.0,F,85.0,JIN,"{'FR': 0.4, 'PE': 0.2, 'PL': 0.2, 'FH': 0.1, 'FT': 0.1}",5,1.4708084763221112
1701558017,2017-08-09,2017.0,Québec,Amaropostia stiptica,UdeM:CMMF:Blitz2017:25,POINT (-73.094321 46.300422),31I,-73.0938163134521,46.3013125832716,"-353452,72+267526,33",,,,,F,1,VIN,D,5SY,20.0,F,95.0,VIN,"{'FT': 0.5, 'ES': 0.3, 'EO': 0.1, 'FI': 0.1}",4,1.1682824501765625
1412706753,1978-07-22,1978.0,Québec,Amaropostia stiptica,CMMF015245,POINT (-72.267036 46.799305),31I,-72.2641812911182,46.7995579398307,"-286780,36+319109,73",,,,,F,1,VIN,D,1AY,30.0,F,75.0,VIN,"{'ES': 0.5, 'BJ': 0.2, 'HG': 0.2, 'EO': 0.1}",4,1.2206072645530173
1412707474,1989-08-15,1989.0,Québec,Amaropostia stiptica,CMMF015901,POINT (-74.216667 46.316667),31J,-74.2176555420538,46.3131796005233,"-439695,20+275157,12",,,,,R,2,JIR,B,2BE,40.0,R,65.0,70,"{'SB': 0.5, 'EU': 0.2, 'EB': 0.1, 'PE': 0.2}",4,1.2206072645530175
