gbifID,eventDate,year,stateProvince,species,occurrenceID,region_code,geoc_maj,cl_pent,dep_sur,cl_drai,cl_haut,type_couv,origine,an_origine,perturb,an_perturb,ty_couv_et,densite,cl_age_et,tree_cover,richness_index,shannon_index
4872556578,2023-08-21T14:17:56,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/179573669,21E,"-268188,05+160327,11",C,1AY,30.0,2,M,,,,,MF,85.0,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",5,1.4184836619456564
4872165606,2024-03-03T13:59,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/201330981,21E,"-265049,74+160005,89",D,1AM,20.0,1,F,,,,,F,95.0,VIN,"{'ES': 0.6, 'FT': 0.2, 'HG': 0.1, 'TA': 0.1}",4,1.0888999753452235
4872064266,2023-09-01T18:15:27,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/181271479,21E,"-207308,83+205976,57",B,1A,30.0,2,F,,,,,F,75.0,VIN,"{'ES': 0.4, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'PE': 0.1}",5,1.4708084763221112
4431130164,2023-10-16T16:58:30,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/187912336,21E,"-267727,22+153529,76",D,1AM,20.0,2,F,,,,,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'FR': 0.2, 'FI': 0.1, 'FT': 0.1, 'HG': 0.1}",6,1.6957425341696346
4111674187,2023-04-27T12:25,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/159675117,21E,"-255730,11+155926,81",A,2A,40.0,6,F,CT,2000.0,,,F,,10,{},0,-0.0
4062585473,2022-09-05T14:46:10,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/133850718,21E,"-252815,78+177247,84",D,1AY,31.0,1,F,,,,,F,85.0,VIN,"{'ES': 0.7, 'EO': 0.1, 'FT': 0.1, 'HG': 0.1}",4,0.9404479886553263
3399130967,2021-10-10T12:34:34,2021.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/97829693,21E,"-271253,08+151416,77",D,1AY,30.0,1,F,,,,,F,95.0,JIN,"{'ES': 0.6, 'FR': 0.2, 'FT': 0.1, 'PE': 0.1}",4,1.0888999753452235
2576440968,2019-09-17T18:42:09,2019.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/32918314,21E,"-270770,14+138443,89",D,2A,20.0,3,R,,,,,R,85.0,JIN,"{'TO': 0.6, 'EB': 0.3, 'FX': 0.1}",3,0.8979457248567797
4952767992,2024-09-21T11:52:46,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/243890448,21L,"-219068,52+312091,34",A,5A,40.0,3,R,P,,,,R,45.0,30,{'RZ': 1.0},1,-0.0
4945466989,2024-09-01T14:29:05,2024.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/239708077,21L,"-203968,71+312213,53",C,8AM,20.0,1,F,,,,,F,85.0,VIN,"{'ES': 0.5, 'FT': 0.2, 'HG': 0.2, 'CR': 0.1}",4,1.2206072645530173
4872569928,2023-10-11T14:00:21,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/187144609,21L,"-199477,39+318546,30",C,6S,30.0,2,M,,,,,MF,65.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BP': 0.1, 'FX': 0.1, 'PR': 0.1, 'RX': 0.1, 'SB': 0.1}",7,1.8343719702816235
4872452382,2023-10-09T13:58:14,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/186943057,21L,"-212076,56+330560,41",D,1A,30.0,2,F,,,,,F,75.0,VIN,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.1, 'FI': 0.1, 'HG': 0.1, 'SE': 0.2}",6,1.6957425341696346
4500478777,2007-09-23T10:47,2007.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/118935000,21L,"-211357,37+330518,96",C,1AY,30.0,2,F,,,,,F,85.0,VIN,"{'ES': 0.5, 'EO': 0.2, 'HG': 0.2, 'BJ': 0.1}",4,1.2206072645530173
4465448949,2023-10-02,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/193295139,21L,"-206427,57+328198,13",D,1A,30.0,2,F,,,CP,,F,55.0,VIN,"{'ES': 0.3, 'HG': 0.3, 'EO': 0.2, 'BJ': 0.1, 'SE': 0.1}",5,1.5047882836811908
4407689577,2023-09-03T10:26,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/181910379,21L,"-215323,09+311163,77",A,5S,20.0,1,F,,,,,F,85.0,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",4,1.2798542258336674
4165428926,2023-07-17T18:30:17,2023.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/173691102,21L,"-220218,22+309577,06",A,5S,20.0,2,F,,,,,F,85.0,JIN,"{'EO': 0.4, 'ES': 0.2, 'FT': 0.2, 'EB': 0.1, 'PB': 0.1}",5,1.4708084763221112
4129735436,2022-09-03T13:39,2022.0,Québec,Apioperdon pyriforme,https://www.inaturalist.org/observations/133869923,21L,"-227589,13+322374,70",C,1A,30.0,2,M,,,,,MR,75.0,70,"{'SB': 0.6, 'EU': 0.1, 'EO': 0.2, 'BP': 0.1}",4,1.0888999753452235
