gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4950573809,2024-09-17T09:24:51,2024,Québec,Armillaria sinapina,https://www.inaturalist.org/observations/242395038,POINT (-71.917672 45.383525),21E,-71.9177639011627,45.3831894379251,"-267925,80+160555,25",,,,,M,1,VIN,D,1AM,20.0,MR,85.0,VIN,"{'EU': 0.3, 'PU': 0.3, 'ES': 0.2, 'BJ': 0.1, 'EO': 0.1}",5,1.5047882836811908
3327711394,2016-10-04,2016,Québec,Armillaria sinapina,https://www.inaturalist.org/observations/71154077,POINT (-71.402231 46.957958),21L,-71.4024783904748,46.9565999880289,"-220487,32+333426,12",,,,,M,2,VIR,D,1AY,20.0,MF,85.0,VIN,"{'BJ': 0.4, 'ER': 0.2, 'HG': 0.1, 'SB': 0.2, 'RX': 0.1}",5,1.4708084763221112
1135070630,2006-09-15,2006,Québec,Armillaria sinapina,CMMF009202,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135070559,2006-09-09,2006,Québec,Armillaria sinapina,CMMF009142,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",6,1.6957425341696346
4950002926,2023-10-13T10:40:46,2023,Québec,Armillaria sinapina,https://www.inaturalist.org/observations/187840721,POINT (-70.153647 47.614053),21M,-70.1530090754523,47.6135134249131,"-123906,51+403278,49",,,EL,1985.0,M,3,50,F,R1A,10.0,MM,75.0,50,"{'EB': 0.2, 'TO': 0.2, 'SB': 0.1, 'PE': 0.3, 'BP': 0.2}",5,1.5571130980576458
3455474266,2021-10-01T11:09:44,2021,Québec,Armillaria sinapina,https://www.inaturalist.org/observations/96855238,POINT (-70.60415 47.36338),21M,-70.6024315677808,47.3639442763208,"-158518,37+376504,12",,,,,F,2,50,D,1AY,30.0,F,75.0,50,"{'PE': 0.6, 'BP': 0.1, 'EO': 0.1, 'SB': 0.2}",4,1.0888999753452238
1412706364,1994-09-04,1994,Québec,Armillaria sinapina,CMMF014854,POINT (-70.443354 47.902902),21M,-70.4444133770792,47.9014995234889,"-144876,76+435737,99",ES,1985.0,,,M,4,30,S,1AM,20.0,MR,85.0,30,"{'SB': 0.5, 'EB': 0.1, 'BP': 0.4}",3,0.9433483923290392
4430537563,2023-10-05T09:16,2023,Québec,Armillaria sinapina,https://www.inaturalist.org/observations/186414766,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
1024560161,2006-09-21,2006,Québec,Armillaria sinapina,CMMF005583,POINT (-74.2185 45.51725),31G,-74.2115924514541,45.5268372541719,"-446167,47+187961,71",,,,,F,1,JIN,B,5A,40.0,F,65.0,JIN,"{'EA': 0.3, 'FH': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FO': 0.1, 'FT': 0.1, 'PB': 0.1}",7,1.8343719702816235
1024560107,2005-10-04,2005,Québec,Armillaria sinapina,CMMF005584,POINT (-74.215833 45.393333),31G,-74.2159153456954,45.394052244897,"-447680,03+173254,03",,,,,R,3,JIR,A,5S,30.0,R,65.0,JIN,"{'EB': 0.3, 'SB': 0.3, 'EU': 0.2, 'PB': 0.1, 'PR': 0.1}",5,1.5047882836811908
