gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4519145774,2023-08-29,2023,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/198208796,POINT (-71.535006 46.714689),21L,-71.5353947776093,46.7151656969333,"-231597,89+307161,97",,,,,F,2,50,A,5A,40,F,85.0,50,"{'FH': 0.4, 'FO': 0.3, 'EO': 0.2, 'EA': 0.1}",4,1.2798542258336674
4011643340,2016-09-17,2016,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/42659795,POINT (-71.339622 46.789404),21L,-71.3401360077422,46.788197225471,"-216472,58+314598,42",,,,,F,2,VIR,A,5A,40,F,75.0,VIN,"{'EO': 0.5, 'BJ': 0.2, 'ES': 0.1, 'PB': 0.1, 'SE': 0.1}",5,1.3592367006650063
1135071031,2007-08-01,2007,Québec,Arrhenia epichysium,CMMF009653,POINT (-71.301586 46.954381),21L,-71.303386168039,46.9539645016355,"-213042,39+332940,60",,,,,M,3,JIR,C,1A,30,MM,85.0,JIN,"{'SB': 0.4, 'EP': 0.1, 'EO': 0.3, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
4908004443,2024-07-02T09:19,2024,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/227012007,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4430625468,2023-10-13T14:42,2023,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/187638957,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4421251542,2023-09-29T14:43,2023,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/185952338,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4171713699,2023-07-25T10:13,2023,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/175260267,POINT (-76.486683 45.907876),31F,-76.4862626007986,45.9103227196912,"-618468,43+247334,43",,,,,M,1,VIR,C,1A,30,MF,75.0,VIN,"{'BJ': 0.2, 'ER': 0.2, 'FT': 0.1, 'TA': 0.1, 'PB': 0.2, 'SE': 0.2}",6,1.7480673485460896
4011905413,2021-10-08T13:18,2021,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/106287193,POINT (-76.582046 45.989651),31F,-76.5817413286074,45.989203695879,"-624829,74+256830,48",,,CJ,1997.0,F,2,VIR,C,1AM,30,F,65.0,VIN,"{'ES': 0.4, 'BJ': 0.2, 'HG': 0.2, 'EO': 0.1, 'FT': 0.1}",5,1.4708084763221112
3903236442,2022-08-29T14:34,2022,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/133239158,POINT (-76.599831 45.898073),31F,-76.5983847698047,45.8968087709853,"-627284,25+246817,14",CT,1982.0,,,F,2,JIN,A,1AY,30,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'TA': 0.2, 'FI': 0.1, 'FT': 0.1, 'HG': 0.1}",6,1.6957425341696346
3457143418,2021-08-04T18:34,2021,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/104549586,POINT (-76.517608 45.812996),31F,-76.5170417358443,45.8127308645389,"-622067,08+236819,70",CPR,2004.0,,,F,4,10,C,1A,30,F,75.0,10,"{'PE': 0.4, 'ER': 0.2, 'FT': 0.2, 'BP': 0.1, 'SB': 0.1}",5,1.4708084763221112
3457142074,2021-07-19T09:16,2021,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/104142957,POINT (-76.534271 45.837833),31F,-76.5320848664651,45.8358491780845,"-622932,31+239505,95",FR,,,,M,3,30,A,2BE,20,MM,45.0,30,"{'EB': 0.3, 'PB': 0.2, 'BP': 0.2, 'PE': 0.2, 'FT': 0.1}",5,1.5571130980576458
617551048,1995-08-30,1995,Québec,Arrhenia epichysium,CMMF002544,POINT (-74.331714 45.973194),31G,-74.3317111103781,45.976067538341,"-451460,26+238503,23",,,,,M,2,JIN,C,1A,30,MF,65.0,JIN,"{'BP': 0.6, 'BJ': 0.1, 'SB': 0.2, 'EU': 0.1}",4,1.0888999753452235
4987722890,2024-10-15T11:40,2024,Québec,Arrhenia epichysium,https://www.inaturalist.org/observations/252689105,POINT (-74.071997 45.037455),31G,-74.0737259888278,45.0378784232336,"-439652,76+132845,09",,,,,F,1,JIN,B,1A,30,F,95.0,JIN,"{'ES': 0.4, 'FT': 0.2, 'TA': 0.2, 'EO': 0.1, 'PE': 0.1}",5,1.4708084763221112
