gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4430733489,2023-10-18T09:19:12,2023,Québec,Baeospora myriadophylla,https://www.inaturalist.org/observations/188364734,POINT (-71.275464 46.774609),21L,-71.2744664790037,46.7753598795118,"-211507,98+312972,70",,,,,F,2,VIR,A,1A,30,F,85.0,18,VIN,"{'ES': 0.6, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0012485464265634834,4,1.0888999753452235,[4.9708333],[10.275],[23.512587],[1193.0698],[26.8],[-16.9],[43.699997],[18.],[-9.016666],[19.35],[-10.233334],[1263.],[134.],[71.],[16.731321],[378.],[255.],[374.],[260.]
4413403406,2021-10-01T14:57:58,2021,Québec,Baeospora myriadophylla,https://www.inaturalist.org/observations/96812980,POINT (-71.213177 46.836709),21L,-71.2126049197629,46.8369559017375,"-206417,49+319699,68",,,,,F,1,JIN,A,5A,30,F,65.0,25,JIN,"{'PE': 0.5, 'FH': 0.2, 'FO': 0.2, 'EA': 0.1}",0.000623086082067728,4,1.2206072645530173,[5.4],[10.583334],[23.836336],[1204.9575],[27.7],[-16.7],[44.4],[18.516666],[-8.7],[19.966667],[-9.95],[1244.],[133.],[68.],[18.750265],[376.],[236.],[371.],[245.]
4076280828,2022-09-17,2022,Québec,Baeospora myriadophylla,https://www.inaturalist.org/observations/142679749,POINT (-71.343112 46.837525),21L,-71.3430199668259,46.8379629469293,"-216489,34+320034,95",,,,,F,2,VIN,D,5A,30,F,85.0,21,VIN,"{'ES': 0.4, 'EO': 0.3, 'BJ': 0.2, 'FI': 0.1}",0.000447512701518493,4,1.2798542258336674,[4.7166667],[10.366667],[23.831417],[1186.3088],[26.3],[-17.2],[43.5],[17.65],[-9.233334],[18.883333],[-10.5],[1263.],[131.],[72.],[16.692772],[377.],[251.],[370.],[261.]
1135067041,2008-08-26,2008,Québec,Baeospora myriadophylla,CMMF010514,POINT (-71.30267 46.887441),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30,F,35.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",0.0017265101969008868,7,1.8343719702816235,[4.295833],[10.408333],[23.927202],[1179.2225],[25.8],[-17.7],[43.5],[17.15],[-9.55],[18.383333],[-10.85],[1316.],[136.],[76.],[15.929979],[389.],[262.],[382.],[276.]
1024560102,1981-08-19,1981,Québec,Baeospora myriadophylla,CMMF005615,POINT (-69.949333 47.773333),21N,-69.9511742324636,47.7736312194523,"-108410,42+420694,40",,,CP,,F,3,JIN,D,2A,20,F,25.0,15,JIN,"{'BP': 0.4, 'PE': 0.4, 'EB': 0.2}",0.0018652270174860095,3,1.0549201679861442,[2.85],[9.316667],[23.004116],[1100.9789],[22.5],[-18.],[40.5],[13.316667],[-11.266666],[15.933333],[-11.266666],[951.],[100.],[60.],[17.01226],[284.],[191.],[281.],[191.]
1024560134,2007-07-21,2007,Québec,Baeospora myriadophylla,CMMF005614,POINT (-68.551667 48.425),22C,-68.5514653222125,48.4247698389084,"-3792,25+491739,46",,,,,F,2,70,D,8C,20,F,85.0,19,70,"{'PE': 0.8, 'EB': 0.1, 'SB': 0.1}",0.00030601970207530207,3,0.639031859650177,[3.4541667],[8.958333],[22.508375],[1094.8608],[23.2],[-16.6],[39.800003],[15.566667],[-9.45],[16.6],[-10.55],[864.],[90.],[42.],[23.969934],[265.],[142.],[262.],[166.]
4924092319,2024-08-01T10:54,2024,Québec,Baeospora myriadophylla,https://www.inaturalist.org/observations/234748437,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4872599790,2024-05-17T15:24,2024,Québec,Baeospora myriadophylla,https://www.inaturalist.org/observations/217546562,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4528225640,2022-06-10T12:57,2022,Québec,Baeospora myriadophylla,https://www.inaturalist.org/observations/122029667,POINT (-76.543053 45.921867),31F,-76.5448829891995,45.919205183913,"-622879,57+248856,18",,,,,M,1,VIR,D,1AY,20,MF,75.0,23,VIN,"{'BJ': 0.2, 'ES': 0.2, 'PE': 0.2, 'EO': 0.1, 'SE': 0.2, 'PB': 0.1}",0.003230189677289147,6,1.7480673485460894,[3.8875],[11.108334],[25.188965],[1168.8885],[25.1],[-19.],[44.1],[16.6],[-10.2],[17.4],[-11.283333],[940.],[94.],[56.],[14.869223],[270.],[188.],[266.],[193.]
4528210641,2022-06-19T10:02,2022,Québec,Baeospora myriadophylla,https://www.inaturalist.org/observations/123104935,POINT (-76.570127 45.860315),31F,-76.57101852744,45.8613654317243,"-625640,12+242734,98",,,,,F,2,JIN,C,1AY,30,F,95.0,17,JIN,"{'ES': 0.4, 'CR': 0.2, 'FT': 0.2, 'EO': 0.1, 'FI': 0.1}",0.0013777619473986174,5,1.4708084763221112,[3.9125],[11.125],[25.341686],[1161.7778],[25.1],[-18.8],[43.9],[16.55],[-10.033333],[17.366667],[-11.166667],[939.],[93.],[55.],[15.047261],[269.],[188.],[265.],[192.]
