gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
617551838,1996-08-16,1996.0,Québec,Bjerkandera adusta,CMMF002882,POINT (-71.307678 46.86201),21L,-71.3127227204637,46.8632652548053,"-214060,31+322843,05",,,,,M,3,JIR,A,5A,40.0,MF,35.0,JIN,"{'PE': 0.3, 'FN': 0.2, 'FO': 0.2, 'SB': 0.2, 'RX': 0.1}",5,1.5571130980576458
4413557722,2017-10-11T15:43,2017.0,Québec,Bjerkandera adusta,https://www.inaturalist.org/observations/153602941,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",4,1.2798542258336674
4133662383,2021-10-11T20:54,2021.0,Québec,Bjerkandera adusta,https://www.inaturalist.org/observations/98247155,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",4,1.2798542258336674
1412707778,2003-09-20,2003.0,Québec,Bjerkandera adusta,CMMF016160,POINT (-71.255968 46.797128),21L,-71.2555540350043,46.7974322815128,"-210020,72+315313,03",,,,,F,2,JIR,F,R1A,20.0,F,65.0,JIN,"{'ES': 0.4, 'FT': 0.3, 'FN': 0.2, 'PE': 0.1}",4,1.2798542258336674
1412707747,1971-10-11,1971.0,Québec,Bjerkandera adusta,CMMF016157,POINT (-71.470098 46.937798),21L,-71.4726029641384,46.9385541356988,"-225871,88+331680,21",,,,,M,3,JIR,A,2BE,20.0,MR,65.0,JIN,"{'ML': 0.2, 'PB': 0.2, 'SB': 0.2, 'EO': 0.3, 'PE': 0.1}",5,1.5571130980576455
1412707708,1974-10-30,1974.0,Québec,Bjerkandera adusta,CMMF016159,POINT (-71.374844 46.780042),21L,-71.3734073678032,46.7799564370761,"-219042,87+313784,68",FR,,,,F,5,10,B,5S,20.0,F,75.0,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",3,0.8979457248567797
1412707643,1973-11-26,1973.0,Québec,Bjerkandera adusta,CMMF016156,POINT (-71.23768 46.799728),21L,-71.2413595058934,46.8017853024566,"-208984,18+315815,55",,,,,F,1,VIR,B,5S,20.0,F,65.0,VIN,"{'ES': 0.6, 'FT': 0.4}",2,0.6730116670092565
1135071317,2007-08-16,2007.0,Québec,Bjerkandera adusta,CMMF009791,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
1135071110,2007-07-27,2007.0,Québec,Bjerkandera adusta,CMMF009619,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135070240,2006-07-25,2006.0,Québec,Bjerkandera adusta,CMMF008799,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
4413628225,2023-08-19T15:18:55,2023.0,Québec,Bjerkandera adusta,https://www.inaturalist.org/observations/179205840,POINT (-68.885513 48.288898),22C,-68.8850595563873,48.2878895183775,"-28459,67+476663,72",,,,,R,3,50,C,1AM,20.0,R,85.0,50,"{'EB': 0.5, 'SB': 0.3, 'EO': 0.1, 'PE': 0.1}",4,1.1682824501765625
3398750892,2021-09-24T17:08,2021.0,Québec,Bjerkandera adusta,https://www.inaturalist.org/observations/97404145,POINT (-68.548733 48.432834),22C,-68.5489100844901,48.4318709306453,"-3659,79+492630,95",,,DP,,F,2,70,A,3AN,30.0,F,65.0,70,"{'PE': 0.9, 'FH': 0.1}",2,0.3250829733914482
4165519835,2023-07-16T14:39,2023.0,Québec,Bjerkandera adusta,https://www.inaturalist.org/observations/174080837,POINT (-76.567099 45.811105),31F,-76.5649905561854,45.8127203850045,"-625682,95+237234,66",,,,,F,1,VIN,C,1AM,20.0,F,75.0,VIN,"{'ES': 0.5, 'CR': 0.3, 'EO': 0.1, 'FT': 0.1}",4,1.1682824501765625
4987654256,2024-11-04T08:18:46,2024.0,Québec,Bjerkandera adusta,https://www.inaturalist.org/observations/252214807,POINT (-74.278683 45.729137),31G,-74.2767784435254,45.7282895552214,"-449439,50+210698,26",,,,,F,2,JIR,D,1A,30.0,F,85.0,JIN,"{'EO': 0.4, 'BJ': 0.2, 'ES': 0.1, 'FT': 0.1, 'EU': 0.1, 'PB': 0.1}",6,1.6094379124341
4904087481,2024-06-28T17:21:02,2024.0,Québec,Bjerkandera adusta,https://www.inaturalist.org/observations/225797504,POINT (-75.059186 45.726824),31G,-75.0592274095773,45.7292830655741,"-510147,89+216049,30",,,CP,,R,2,JIR,D,3AN,30.0,R,65.0,JIN,"{'EB': 0.4, 'TO': 0.3, 'RX': 0.1, 'FI': 0.1, 'FT': 0.1}",5,1.4184836619456564
1024560167,1978-03-11,1978.0,Québec,Bjerkandera adusta,CMMF005627,POINT (-74.0873 45.47015),31G,-74.0862808771106,45.4728353122719,"-436863,84+181193,94",,,,,M,1,VIR,B,6S,30.0,MM,75.0,VIN,"{'PB': 0.4, 'TO': 0.1, 'ES': 0.2, 'EO': 0.1, 'FT': 0.1, 'HG': 0.1}",6,1.6094379124341003
3947469849,2022-09-15T19:13:03,2022.0,Québec,Bjerkandera adusta,https://www.inaturalist.org/observations/135185816,POINT (-73.585087 45.50465),31H,-73.5858534293145,45.5045884974568,"-397495,60+181892,40",,,,,F,2,VIN,F,8AM,20.0,F,75.0,VIN,"{'CR': 0.8, 'FR': 0.1, 'FT': 0.1}",3,0.639031859650177
1412707750,1988-10,1988.0,Québec,Bjerkandera adusta,CMMF016158,POINT (-73.512302 45.669758),31H,-73.5125433478811,45.6681271672469,"-390542,67+199544,06",,,,,F,3,JIR,A,5A,40.0,F,75.0,JIN,"{'FR': 0.2, 'FT': 0.2, 'OR': 0.2, 'PL': 0.2, 'FN': 0.1, 'PE': 0.1}",6,1.7480673485460894
1412704362,1948-09-18,1948.0,Québec,Bjerkandera adusta,CMMF012439,POINT (-72.611227 45.362262),31H,-72.6112578106994,45.3639024525355,"-322359,70+161271,55",,,,,F,2,JIR,C,1AY,20.0,F,65.0,JIN,"{'ES': 0.5, 'FT': 0.2, 'BG': 0.1, 'EO': 0.1, 'FR': 0.1}",5,1.3592367006650063
1144828940,1951-10-01,1951.0,Québec,Bjerkandera adusta,71f05aee-8032-495e-898e-6cfb572a75a7,POINT (-73.233333 45.316667),31H,-73.2392208939158,45.3120824717478,"-371911,46+158562,26",,,,,F,1,VIR,B,5A,40.0,F,65.0,VIN,"{'EA': 0.6, 'EO': 0.2, 'FH': 0.1, 'FN': 0.1}",4,1.0888999753452235
1024560150,2005-10-30,2005.0,Québec,Bjerkandera adusta,CMMF005626,POINT (-73.704033 45.362233),31H,-73.7053817563115,45.3623135046763,"-408022,50+166675,93",,,,,F,1,50,A,5A,40.0,F,95.0,50,"{'FR': 0.4, 'EO': 0.3, 'FT': 0.2, 'PL': 0.1}",4,1.2798542258336674
1412706768,1994-07-23,1994.0,Québec,Bjerkandera adusta,CMMF015235,POINT (-72.234717 46.820449),31I,-72.236487496023,46.8241820703719,"-284562,76+321551,75",,,CP,,M,1,VIN,C,1A,30.0,MM,65.0,VIN,"{'PU': 0.3, 'EU': 0.1, 'SE': 0.1, 'BJ': 0.3, 'EO': 0.1, 'ES': 0.1}",6,1.6434177197931796
