gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4952329146,2024-09-28T09:55:35,2024,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/244544361,POINT (-71.917432 45.797966),21E,-71.9160410794128,45.7981532155674,"-265587,63+206658,16",,,,,M,2,JIN,B,4GS,30.0,MF,85.0,18,JIN,"{'BJ': 0.2, 'EO': 0.2, 'FO': 0.1, 'FX': 0.1, 'PU': 0.2, 'SB': 0.1, 'TO': 0.1}",0.001403463483161966,7,1.8866967846580784,[4.875],[10.483334],[24.960318],[1135.8187],[25.2],[-16.8],[42.],[18.25],[-3.6499999],[18.25],[-9.733334],[1144.],[125.],[64.],[20.51601],[360.],[212.],[360.],[236.]
4936933578,2024-08-16T10:15,2024,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/238433680,POINT (-71.912583 45.378528),21E,-71.9137966201445,45.378176253628,"-267644,20+159984,00",,,,,F,2,JIR,B,1AY,30.0,F,85.0,20,JIN,"{'PE': 0.5, 'EO': 0.2, 'FR': 0.2, 'BG': 0.1}",0.001263566130184034,4,1.2206072645530173,[5.3375],[10.591667],[25.645683],[1108.683],[25.4],[-15.9],[41.3],[18.433332],[-7.7666664],[18.433332],[-8.95],[1090.],[130.],[54.],[25.59598],[360.],[183.],[360.],[200.]
4923866413,2024-08-01T19:54:42,2024,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/233190382,POINT (-71.915563 45.384705),21E,-71.9164526390054,45.3849977270547,"-267815,97+160750,52",,,,,F,2,50,D,1AY,30.0,F,85.0,19,50,"{'EO': 0.4, 'FT': 0.2, 'PE': 0.2, 'BJ': 0.1, 'PA': 0.1}",0.000936561097032287,5,1.4708084763221112,[5.6833334],[10.866667],[25.996809],[1114.6327],[26.],[-15.8],[41.8],[18.866667],[-7.5166664],[18.866667],[-8.683333],[1048.],[127.],[48.],[27.748274],[354.],[167.],[354.],[182.]
4600038131,2023-07-22T10:25:35,2023,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/174274256,POINT (-71.922889 45.380034),21E,-71.9210129701979,45.3810199028508,"-268188,05+160327,11",,,,,M,2,50,C,1AY,30.0,MF,85.0,20,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",0.002119314098841665,5,1.4184836619456564,[5.383333],[10.616667],[25.644123],[1109.2756],[25.5],[-15.9],[41.4],[18.5],[-7.7166667],[18.5],[-8.916667],[1077.],[130.],[52.],[26.338058],[358.],[178.],[358.],[195.]
4599949108,2023-08-12T06:58:10,2023,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/177971047,POINT (-71.874474 45.363922),21E,-71.8737003999814,45.3665577705659,"-264652,15+158546,35",,,,,F,2,50,C,1AY,30.0,F,95.0,21,50,"{'EO': 0.4, 'FR': 0.2, 'BP': 0.1, 'ES': 0.1, 'FT': 0.1, 'PE': 0.1}",0.0027469516677263053,6,1.6094379124341,[5.425],[10.8],[26.086956],[1101.6115],[25.5],[-15.9],[41.4],[18.433332],[-7.6],[18.433332],[-8.783333],[1026.],[124.],[50.],[26.607866],[342.],[167.],[342.],[186.]
4458603550,2021-09-26T10:33,2021,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/96813084,POINT (-71.915693 45.379304),21E,-71.9165704436734,45.3803714980995,"-267946,74+160338,81",,,,,F,2,JIR,D,1AY,30.0,F,95.0,21,JIN,"{'EO': 0.3, 'PE': 0.3, 'ES': 0.1, 'FH': 0.1, 'PA': 0.1, 'EB': 0.1}",0.0013818319696729756,6,1.6434177197931796,[5.3375],[10.591667],[25.645683],[1108.683],[25.4],[-15.9],[41.3],[18.433332],[-7.7666664],[18.433332],[-8.95],[1090.],[130.],[54.],[25.59598],[360.],[183.],[360.],[200.]
4400049427,2023-08-21T13:22:39,2023,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/179600221,POINT (-71.911208 45.376545),21E,-71.9115915306234,45.3771797537733,"-267472,19+159862,43",,,,,F,2,50,C,1AY,30.0,F,85.0,18,50,"{'EO': 0.5, 'PE': 0.2, 'BG': 0.1, 'ES': 0.1, 'FT': 0.1}",0.0007416253041784265,5,1.3592367006650063,[5.3375],[10.591667],[25.645683],[1108.683],[25.4],[-15.9],[41.3],[18.433332],[-7.7666664],[18.433332],[-8.95],[1090.],[130.],[54.],[25.59598],[360.],[183.],[360.],[200.]
4400000158,2023-08-17T12:49:28,2023,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/178995869,POINT (-71.919753 45.417225),21E,-71.9192657187108,45.4185146612916,"-267857,35+164482,18",,,,,F,2,50,C,1A,30.0,F,75.0,21,50,"{'EO': 0.4, 'FR': 0.2, 'PE': 0.2, 'ES': 0.1, 'FH': 0.1}",0.0013786476351317248,5,1.4708084763221112,[5.2916665],[10.733334],[25.863455],[1103.7886],[25.4],[-16.1],[41.5],[18.316666],[-7.8333335],[18.316666],[-8.95],[1048.],[128.],[49.],[27.52484],[353.],[167.],[353.],[187.]
3398730887,2021-10-06T09:51:06,2021,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/97342585,POINT (-71.863136 45.244003),21E,-71.8645445732113,45.2490340413188,"-264296,49+145531,05",,,,,M,2,JIR,D,1A,30.0,MF,65.0,17,JIN,"{'EO': 0.3, 'BJ': 0.1, 'FH': 0.1, 'FR': 0.1, 'EB': 0.2, 'SB': 0.2}",0.005224505262998663,6,1.6957425341696346,[5.1124997],[10.825],[26.3382],[1089.3474],[25.],[-16.1],[41.1],[17.966667],[-7.766667],[17.966667],[-8.966667],[1082.],[122.],[58.],[22.105888],[349.],[193.],[349.],[214.]
3384421211,2021-09-25T12:35:16,2021,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/96102395,POINT (-71.885727 45.394093),21E,-71.8844115636558,45.3976935106146,"-265236,16+162036,74",,,,,F,2,VIR,D,3AN,40.0,F,75.0,21,VIN,"{'EO': 0.4, 'PA': 0.4, 'OR': 0.2}",0.003833281813474528,3,1.0549201679861442,[5.8333335],[11.016666],[26.29276],[1112.7655],[26.2],[-15.7],[41.9],[18.983334],[-7.3333335],[18.983334],[-8.533333],[1063.],[125.],[52.],[24.578695],[352.],[181.],[352.],[195.]
3383991924,2021-09-14T14:14:54,2021,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/94853283,POINT (-71.913278 45.37838),21E,-71.9137966201445,45.378176253628,"-267644,20+159984,00",,,,,F,2,JIR,B,1AY,30.0,F,85.0,20,JIN,"{'PE': 0.5, 'EO': 0.2, 'FR': 0.2, 'BG': 0.1}",0.0005572068183130916,4,1.2206072645530173,[5.3375],[10.591667],[25.645683],[1108.683],[25.4],[-15.9],[41.3],[18.433332],[-7.7666664],[18.433332],[-8.95],[1090.],[130.],[54.],[25.59598],[360.],[183.],[360.],[200.]
3383974703,2021-09-12T16:16:15,2021,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/94624866,POINT (-71.860924 45.367386),21E,-71.8631889233286,45.3648131394243,"-263921,61+158302,38",,,,,F,1,VIR,C,1AY,30.0,F,55.0,23,VIN,"{'ES': 0.4, 'BJ': 0.2, 'FR': 0.2, 'TA': 0.1, 'RX': 0.1}",0.003427752795408346,5,1.4708084763221112,[5.6291666],[10.991667],[26.358913],[1106.1799],[25.9],[-15.8],[41.7],[18.683334],[-7.4666667],[18.683334],[-8.65],[1036.],[123.],[52.],[24.753313],[340.],[174.],[340.],[193.]
3058766675,2019-08-24T09:46,2019,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/62900923,POINT (-71.856364 45.367727),21E,-71.8515684830868,45.3702585041827,"-262679,12+158793,83",,,,,F,2,JIN,B,3AN,40.0,F,75.0,19,JIN,"{'EO': 0.3, 'PA': 0.2, 'BJ': 0.1, 'EA': 0.1, 'ES': 0.1, 'PE': 0.1, 'RX': 0.1}",0.005422683458570826,7,1.8343719702816235,[5.695833],[11.058333],[26.455341],[1105.7072],[26.],[-15.8],[41.8],[18.75],[-7.4],[18.75],[-8.583333],[1037.],[121.],[53.],[23.778776],[338.],[177.],[338.],[197.]
5008232460,2024-08-22T17:48:39,2024,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/237407113,POINT (-71.270842 46.75925),21L,-71.2702071518753,46.7594956138494,"-211268,84+311212,08",,,,,F,2,VIR,D,R1A,10.0,F,75.0,20,VIN,"{'FT': 0.4, 'ES': 0.2, 'EO': 0.1, 'PE': 0.1, 'PB': 0.2}",0.0006807042709271428,5,1.4708084763221112,[5.054167],[10.225],[23.505747],[1185.0249],[26.7],[-16.8],[43.5],[18.016666],[-8.883333],[19.3],[-10.066667],[1233.],[131.],[68.],[17.471277],[371.],[243.],[367.],[251.]
5008007725,2024-08-22T10:00,2024,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/237295413,POINT (-71.242294 46.857128),21L,-71.2493126412129,46.8536228848842,"-209389,99+321523,69",,,,,F,2,VIN,B,5A,30.0,F,65.0,19,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.1, 'RX': 0.1, 'SB': 0.1}",0.007845199580020574,5,1.4184836619456564,[5.0666666],[10.616667],[23.965387],[1200.4702],[27.2],[-17.1],[44.300003],[18.133333],[-8.983334],[19.533333],[-10.283334],[1277.],[135.],[71.],[17.807806],[385.],[248.],[379.],[256.]
5007946569,2024-08-23T16:37:59,2024,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/237732435,POINT (-71.270867 46.759525),21L,-71.2702071518753,46.7594956138494,"-211268,84+311212,08",,,,,F,2,VIR,D,R1A,10.0,F,75.0,20,VIN,"{'FT': 0.4, 'ES': 0.2, 'EO': 0.1, 'PE': 0.1, 'PB': 0.2}",0.0006605021525434047,5,1.4708084763221112,[5.054167],[10.225],[23.505747],[1185.0249],[26.7],[-16.8],[43.5],[18.016666],[-8.883333],[19.3],[-10.066667],[1233.],[131.],[68.],[17.471277],[371.],[243.],[367.],[251.]
5007701473,2017-08-23T16:32,2017,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/7684388,POINT (-71.385497 46.695242),21L,-71.3867678242981,46.6951145238942,"-220446,27+304421,09",,,CP,,M,2,VIR,A,5S,30.0,MF,75.0,20,VIN,"{'EO': 0.3, 'PE': 0.2, 'BJ': 0.1, 'PU': 0.2, 'SB': 0.2}",0.0012772018455204043,5,1.5571130980576458,[4.3125],[9.808333],[23.464912],[1140.9508],[24.7],[-17.1],[41.800003],[16.866667],[-4.25],[17.766666],[-10.366667],[1184.],[126.],[69.],[17.343292],[356.],[228.],[352.],[254.]
4980513182,2020-08-05T17:49:57,2020,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/55537573,POINT (-71.245149 46.784036),21L,-71.2427679754397,46.7855696982666,"-209029,48+314047,61",,,,,F,1,VIN,B,5S,20.0,F,75.0,25,VIN,"{'ES': 0.4, 'FT': 0.4, 'EA': 0.2}",0.0028322267440454587,3,1.0549201679861442,[5.075],[10.333333],[23.592087],[1193.0166],[27.],[-16.8],[43.8],[18.133333],[-3.6666667],[19.5],[-10.1],[1236.],[131.],[70.],[17.857431],[373.],[239.],[366.],[257.]
4950247015,2024-09-16T16:26:53,2024,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/243601170,POINT (-71.382128 46.748711),21L,-71.3845933213578,46.7512504956733,"-219922,16+310661,88",,,,,F,2,VIN,B,5S,20.0,F,75.0,20,VIN,"{'ES': 0.5, 'FT': 0.3, 'BJ': 0.1, 'EO': 0.1}",0.0035393287035728038,4,1.1682824501765625,[4.475],[9.933333],[23.538704],[1152.6067],[25.2],[-17.],[42.2],[17.15],[-9.2],[18.15],[-10.3],[1222.],[127.],[70.],[16.355593],[365.],[242.],[358.],[258.]
4872397670,2020-07-25T10:38:38,2020,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/54282840,POINT (-71.440214 46.732293),21L,-71.4402835824072,46.7325848624169,"-224540,03+308799,32",,,,,F,2,JIR,A,5A,50.0,F,25.0,18,50,"{'FO': 0.6, 'FN': 0.2, 'PA': 0.2}",0.0003000423000047484,3,0.9502705392332347,[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38]
4599727724,2022-08-22T09:36:59,2022,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/132090219,POINT (-71.274025 46.774517),21L,-71.2744664790037,46.7753598795118,"-211507,98+312972,70",,,,,F,2,VIR,A,1A,30.0,F,85.0,18,VIN,"{'ES': 0.6, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0009514985980650494,4,1.0888999753452235,[5.025],[10.3],[23.515982],[1193.5765],[26.9],[-16.9],[43.8],[18.066666],[-8.966666],[19.433332],[-10.166667],[1256.],[133.],[71.],[16.73736],[376.],[252.],[371.],[258.]
4522505951,2023-09-05,2023,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/195659139,POINT (-71.53686 46.714342),21L,-71.5353947776093,46.7151656969333,"-231597,89+307161,97",,,,,F,2,50,A,5A,40.0,F,85.0,18,50,"{'FH': 0.4, 'FO': 0.3, 'EO': 0.2, 'EA': 0.1}",0.0016808787261868975,4,1.2798542258336674,[4.4708333],[9.908334],[23.59127],[1141.4872],[24.8],[-17.2],[42.],[17.033333],[-9.233334],[17.85],[-10.266666],[1164.],[125.],[65.],[18.729677],[352.],[221.],[347.],[240.]
4431096186,2023-10-01T12:13,2023,Québec,Boletinellus merulioides,https://www.inaturalist.org/observations/187908714,POINT (-71.317007 46.712634),21L,-71.3175941871536,46.7120902896903,"-215087,82+306087,04",,,CP,,F,3,JIR,A,5S,40.0,F,75.0,16,JIN,"{'PE': 0.6, 'EO': 0.3, 'BP': 0.1}",0.0008002559929328048,3,0.8979457248567797,[4.5333333],[9.95],[23.634205],[1148.0187],[25.1],[-17.],[42.1],[17.166666],[-4.0666666],[18.116667],[-10.2],[1188.],[127.],[68.],[17.979786],[359.],[227.],[354.],[250.]
