gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4171907436,2023-08-04T15:07:07,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/176757809,POINT (-71.287658 46.775581),21L,-71.2884079969597,46.7751209399292,"-212586,44+312993,02",,,,,F,2,VIR,A,1A,30.0,F,85.0,VIN,"{'ES': 0.5, 'FR': 0.2, 'EO': 0.1, 'FI': 0.1, 'FT': 0.1}",5,1.3592367006650063
2282997107,2018-09-01T14:47:20,2018,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/16185025,POINT (-76.555542 45.543488),31F,-76.5554138034364,45.54402196303,"-628368,48+207366,07",,,,,M,1,VIN,A,R1A,30.0,MF,85.0,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.1, 'FT': 0.1, 'PE': 0.1, 'PB': 0.3}",6,1.6957425341696346
3759206678,2021-07-29T14:18,2021,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/91433578,POINT (-74.061395 45.509307),31G,-74.0577650079631,45.5141118623529,"-434283,56+185596,31",,,,,F,1,VIN,D,5S,30.0,F,95.0,VIN,"{'ES': 0.7, 'CR': 0.2, 'FR': 0.1}",3,0.8018185525433372
3747338462,2021-07-29T20:37,2021,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/91147418,POINT (-74.119103 45.45012),31G,-74.1181069476622,45.4493763887731,"-439971,57+179262,93",,,,,F,1,VIR,A,5A,40.0,F,45.0,VIN,"{'ES': 0.3, 'CR': 0.2, 'FT': 0.2, 'EA': 0.1, 'EO': 0.1, 'RX': 0.1}",6,1.6957425341696346
3343933792,2021-08-19T17:34:24,2021,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/91804248,POINT (-75.849442 45.493573),31G,-75.8494380677244,45.4935458236605,"-574148,18+196031,62",,,CP,,F,2,VIN,D,1AM,20.0,F,65.0,VIN,"{'CR': 0.3, 'ES': 0.3, 'FT': 0.2, 'EO': 0.1, 'FI': 0.1}",5,1.5047882836811908
2856548239,2020-08-25T10:53:36,2020,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/57553642,POINT (-75.848751 45.494404),31G,-75.8494380677244,45.4935458236605,"-574148,18+196031,62",,,CP,,F,2,VIN,D,1AM,20.0,F,65.0,VIN,"{'CR': 0.3, 'ES': 0.3, 'FT': 0.2, 'EO': 0.1, 'FI': 0.1}",5,1.5047882836811908
617551764,1996-07-28,1996,Québec,Cantharellus cinnabarinus,CMMF002850,POINT (-73.209987 45.876777),31H,-73.2105975411842,45.8774056777621,"-365532,82+221164,10",,,,,F,1,JIN,A,5S,30.0,F,95.0,JIN,"{'EO': 0.6, 'HG': 0.2, 'FR': 0.1, 'FT': 0.1}",4,1.0888999753452235
617549324,1988-08-17,1988,Québec,Cantharellus cinnabarinus,CMMF000179,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",5,1.5571130980576458
617547746,1990-08-12,1990,Québec,Cantharellus cinnabarinus,CMMF001102,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",5,1.5571130980576458
617547630,1990-07-27,1990,Québec,Cantharellus cinnabarinus,CMMF001050,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",5,1.5571130980576458
4919712865,2023-09-01T13:58:51,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/181264333,POINT (-73.163341 45.55463),31H,-73.1629746579834,45.5553828651372,"-364182,55+185183,96",,,,,F,3,VIR,D,1AM,20.0,F,85.0,VIN,"{'CR': 0.5, 'ES': 0.3, 'FT': 0.2}",3,1.0296530140645737
4599711044,2022-07-29T10:23,2022,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/171253882,POINT (-73.588644 45.503395),31H,-73.5895078273117,45.5033860729631,"-397839,78+181684,26",,,,,F,2,VIR,C,1AY,30.0,F,75.0,VIN,"{'ES': 0.3, 'FR': 0.3, 'CR': 0.2, 'FT': 0.2}",4,1.366158847569202
4440649984,2023-09-02T13:51:33,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/181417413,POINT (-73.17086 45.550537),31H,-73.1709298751262,45.5493602472938,"-364837,72+184555,38",,,,,F,2,VIR,F,R1A,20.0,F,85.0,VIN,"{'CR': 0.4, 'ES': 0.4, 'HG': 0.2}",3,1.0549201679861442
4440624584,2022-09-05T19:34:31,2022,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/133845572,POINT (-73.149942 45.594474),31H,-73.149260005326,45.5964143258337,"-362764,19+189646,02",,,,,F,3,JIR,A,5A,40.0,F,25.0,JIN,"{'PA': 0.6, 'FN': 0.2, 'BG': 0.1, 'FR': 0.1}",4,1.0888999753452235
4407272085,2023-08-31T09:15:03,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/181122282,POINT (-73.180747 45.973295),31H,-73.1807153227808,45.9737232572788,"-362515,06+231698,38",,,,,F,1,JIN,A,5S,30.0,F,95.0,JIN,"{'CR': 0.7, 'EO': 0.1, 'PE': 0.1, 'PB': 0.1}",4,0.9404479886553263
4405143369,2021-08-02T20:28,2021,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/89722253,POINT (-73.588282 45.506709),31H,-73.5888106373345,45.5073112917667,"-397657,25+182238,40",,,,,F,2,VIN,C,8AM,20.0,F,95.0,VIN,"{'CR': 0.6, 'ES': 0.2, 'EO': 0.1, 'FT': 0.1}",4,1.0888999753452235
4405020655,2023-08-03T11:21,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/176773867,POINT (-73.587407 45.507102),31H,-73.5869565522478,45.5082715879457,"-397747,77+182387,86",,,,,F,2,VIN,F,R8A,20.0,F,95.0,VIN,"{'CR': 0.8, 'ES': 0.1, 'FT': 0.1}",3,0.639031859650177
4405013803,2023-07-30T16:20:18,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/177073492,POINT (-73.590988 45.505755),31H,-73.5896813099176,45.5050821916601,"-398009,25+181796,19",,,,,F,2,VIN,D,8AM,20.0,F,85.0,VIN,"{'CR': 0.4, 'ES': 0.2, 'EO': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1}",6,1.6094379124341
4404987904,2023-08-17T17:59:15,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/179081090,POINT (-73.943957 45.431364),31H,-73.9449908449571,45.4328500755735,"-426233,63+176028,34",P,,,,M,2,50,A,5A,30.0,MR,55.0,50,"{'EV': 0.3, 'RZ': 0.3, 'TO': 0.1, 'ES': 0.1, 'FN': 0.1, 'FT': 0.1}",6,1.6434177197931796
4400464735,2023-08-12T13:05:40,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/179630158,POINT (-73.946736 45.42955),31H,-73.9478260670457,45.4292763336656,"-426285,67+175462,48",P,,,,R,1,50,A,5S,30.0,R,85.0,50,"{'EV': 0.3, 'EU': 0.2, 'EB': 0.1, 'PB': 0.1, 'PG': 0.1, 'PR': 0.1, 'FT': 0.1}",7,1.8343719702816235
4400429912,2023-08-09T10:46:56,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/177754686,POINT (-73.166528 45.969745),31H,-73.1672129601735,45.9690366258481,"-361514,15+230985,57",,,,,F,1,70,B,5S,30.0,F,95.0,70,"{'PE': 0.8, 'CR': 0.1, 'EO': 0.1}",3,0.639031859650177
4172038877,2023-07-26T11:42,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/177316937,POINT (-73.321346 45.540822),31H,-73.3211671861175,45.5402024514501,"-376616,42+184340,82",,,,,M,1,VIR,B,1AM,20.0,MF,85.0,VIN,"{'EO': 0.2, 'ES': 0.2, 'FT': 0.2, 'OR': 0.1, 'PB': 0.2, 'PU': 0.1}",6,1.7480673485460894
4162141299,2023-07-18T14:56:38,2023,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/173643819,POINT (-73.750834 45.688932),31H,-73.7509791472256,45.6891130053117,"-408927,02+203186,34",,,,,F,2,50,A,5S,30.0,F,85.0,50,"{'EO': 0.4, 'BP': 0.2, 'ES': 0.2, 'FT': 0.2}",4,1.3321790402101223
3892436951,2022-08-13T16:11:47,2022,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/130681638,POINT (-73.580589 45.515778),31H,-73.5865581924405,45.5129712188364,"-397438,15+182610,36",,,,,F,1,VIR,C,5S,30.0,F,85.0,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'FN': 0.1}",6,1.7480673485460894
1135067710,2006-08-05,2006,Québec,Cantharellus cinnabarinus,CMMF006208,POINT (-73.774083 45.35433),31H,-73.7742738198763,45.3555360057987,"-413466,07+166321,23",,,,,F,1,VIN,A,1AY,30.0,F,85.0,VIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.2}",3,0.9502705392332347
1135067659,1981-08-09,1981,Québec,Cantharellus cinnabarinus,CMMF006172,POINT (-73.774083 45.35433),31H,-73.7742738198763,45.3555360057987,"-413466,07+166321,23",,,,,F,1,VIN,A,1AY,30.0,F,85.0,VIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.2}",3,0.9502705392332347
1135067650,2005-07-22,2005,Québec,Cantharellus cinnabarinus,CMMF006163,POINT (-73.774083 45.35433),31H,-73.7742738198763,45.3555360057987,"-413466,07+166321,23",,,,,F,1,VIN,A,1AY,30.0,F,85.0,VIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.2}",3,0.9502705392332347
1135067612,2005-07-22,2005,Québec,Cantharellus cinnabarinus,CMMF006162,POINT (-73.774083 45.35433),31H,-73.7742738198763,45.3555360057987,"-413466,07+166321,23",,,,,F,1,VIN,A,1AY,30.0,F,85.0,VIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.2}",3,0.9502705392332347
4923694170,2024-08-13T11:25:44,2024,Québec,Cantharellus cinnabarinus,https://www.inaturalist.org/observations/235598454,POINT (-73.127188 46.005347),31I,-73.1268100627853,46.0065026291447,"-358192,01+235030,05",,,,,F,2,JIR,A,5S,40.0,F,75.0,30,"{'PE': 0.6, 'BG': 0.3, 'EO': 0.1}",3,0.8979457248567797
