gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
1412707438,1982-09-20,1982.0,Québec,Cerioporus varius,CMMF015914,POINT (-71.384379 46.867482),21L,-71.384462313701,46.8655999952224,"-219469,87+323359,86",,,,,M,2,JIR,A,7T,50.0,MR,65.0,70,"{'ML': 0.5, 'SB': 0.2, 'EO': 0.2, 'BG': 0.1}",4,1.2206072645530173
1412707344,2002-09,2002.0,Québec,Cerioporus varius,CMMF015933,POINT (-71.63982 46.869441),21L,-71.6387386871269,46.8704365192703,"-238740,41+324603,88",,,CJ,1992.0,F,1,VIN,C,1A,30.0,F,65.0,VIN,"{'ES': 0.4, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'PI': 0.1}",5,1.4708084763221112
1412707320,1975-12,1975.0,Québec,Cerioporus varius,CMMF015913,POINT (-70.751218 46.797603),21L,-70.7481497753408,46.7973605962949,"-171339,10+314012,47",P,,,,R,6,10,A,2BD,30.0,R,,10,{},0,-0.0
1135070205,2006-07-18,2006.0,Québec,Cerioporus varius,CMMF008763,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135069252,1980-07-26,1980.0,Québec,Cerioporus varius,CMMF007823,POINT (-70.11105 46.6275),21L,-70.1113799934914,46.6286184191154,"-123256,06+294045,72",CT,2001.0,,,F,4,10,B,1A,30.0,F,75.0,10,"{'BP': 0.5, 'EO': 0.2, 'BJ': 0.1, 'EU': 0.1, 'SB': 0.1}",5,1.3592367006650063
1135066938,2008-07-19,2008.0,Québec,Cerioporus varius,CMMF010401,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",6,1.6957425341696346
1412707448,2003-09-02,2003.0,Québec,Cerioporus varius,CMMF015912,POINT (-70.906796 47.074771),21M,-70.906770796805,47.0720509996332,"-182362,36+344810,56",P,,,,R,1,70,B,1A,30.0,R,85.0,70,{'RZ': 1.0},1,-0.0
3382170688,2007-08-28,2007.0,Québec,Cerioporus varius,QFA0581888,POINT (-64.15886 48.50158),22A,-64.1593329733872,48.50083508333,"+319222,52+509845,40",,,,,R,3,JIN,C,8AY,30.0,R,75.0,JIN,"{'SB': 0.7, 'EB': 0.2, 'BP': 0.1}",3,0.8018185525433372
1135069586,1980-08-03,1980.0,Québec,Cerioporus varius,CMMF008166,POINT (-68.589483 48.4206),22C,-68.5887754271716,48.4212283609838,"-6543,57+491348,48",,,,,R,3,50,C,8A,30.0,R,75.0,50,"{'SB': 0.7, 'EB': 0.2, 'PE': 0.1}",3,0.8018185525433372
3858530948,2022-06-08T10:31,2022.0,Québec,Cerioporus varius,https://www.inaturalist.org/observations/120882444,POINT (-75.779753 45.580424),31G,-75.7805107359505,45.5799494475305,"-567725,33+204898,53",,,,,M,1,JIR,D,5A,30.0,MM,85.0,JIN,"{'PR': 0.3, 'PB': 0.1, 'SE': 0.1, 'ES': 0.4, 'FT': 0.1}",5,1.4184836619456562
1024558707,2012-06-05,2012.0,Québec,Cerioporus varius,CMMF004186,POINT (-74.115353 45.086332),31G,-74.1154295636293,45.0855808278605,"-442519,82+138397,69",,,,,F,1,VIR,B,1A,30.0,F,95.0,VIN,"{'ES': 0.5, 'HG': 0.2, 'TA': 0.2, 'FT': 0.1}",4,1.2206072645530173
1024558700,2012-06-05,2012.0,Québec,Cerioporus varius,CMMF004185,POINT (-74.115353 45.086332),31G,-74.1154295636293,45.0855808278605,"-442519,82+138397,69",,,,,F,1,VIR,B,1A,30.0,F,95.0,VIN,"{'ES': 0.5, 'HG': 0.2, 'TA': 0.2, 'FT': 0.1}",4,1.2206072645530173
617554804,1989-06-26,1989.0,Québec,Cerioporus varius,CMMF000525,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",5,1.5571130980576458
617551630,1996-07-03,1996.0,Québec,Cerioporus varius,CMMF002788,POINT (-73.169757 45.569155),31H,-73.1702470925857,45.5697208073335,"-364714,08+186716,46",,,,,F,2,JIR,D,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'EO': 0.2, 'FT': 0.2, 'BJ': 0.1, 'FR': 0.1}",5,1.4708084763221112
617547971,1988-07-30,1988.0,Québec,Cerioporus varius,CMMF000120,POINT (-73.439575 45.864396),31H,-73.4416613734378,45.8619627831933,"-383494,49+220655,34",,,,,F,2,JIR,D,5S,20.0,F,65.0,JIN,"{'EO': 0.3, 'EA': 0.2, 'PE': 0.2, 'FN': 0.1, 'FR': 0.1, 'FT': 0.1}",6,1.6957425341696346
1412709007,1981-06-18,1981.0,Québec,Cerioporus varius,CMMF017461,POINT (-73.946667 45.43),31H,-73.9478260670457,45.4292763336656,"-426285,67+175462,48",P,,,,R,1,50,A,5S,30.0,R,85.0,50,"{'EV': 0.3, 'EU': 0.2, 'EB': 0.1, 'PB': 0.1, 'PG': 0.1, 'PR': 0.1, 'FT': 0.1}",7,1.8343719702816235
1412708943,1981-08-25,1981.0,Québec,Cerioporus varius,CMMF017360,POINT (-73.741417 45.514983),31H,-73.7404054859905,45.5132894573234,"-409539,01+183632,38",,,,,F,1,VIR,A,5A,40.0,F,85.0,VIN,"{'ES': 0.4, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'PL': 0.1}",5,1.4708084763221112
1412708818,1981-07-22,1981.0,Québec,Cerioporus varius,CMMF017344,POINT (-73.741417 45.514983),31H,-73.7404054859905,45.5132894573234,"-409539,01+183632,38",,,,,F,1,VIR,A,5A,40.0,F,85.0,VIN,"{'ES': 0.4, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'PL': 0.1}",5,1.4708084763221112
