gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4952987349,2024-10-06T16:11,2024,Québec,Chondrostereum purpureum,https://www.inaturalist.org/observations/246214692,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",4,1.2798542258336674
4516224876,2023-09-23T13:58:04,2023,Québec,Chondrostereum purpureum,https://www.inaturalist.org/observations/193086065,POINT (-71.592798 46.978902),21L,-71.5933103821947,46.9774258937194,"-234853,33+336379,29",,,,,R,2,VIN,A,2AE,10.0,R,75.0,VIN,"{'SB': 0.8, 'EP': 0.1, 'BJ': 0.1}",3,0.639031859650177
4133844349,2018-10-08T12:16,2018,Québec,Chondrostereum purpureum,https://www.inaturalist.org/observations/74846866,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",4,1.2798542258336674
4133780345,2016-10-30T11:54,2016,Québec,Chondrostereum purpureum,https://www.inaturalist.org/observations/74845116,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",4,1.2798542258336674
4133727384,2016-10-30T18:54,2016,Québec,Chondrostereum purpureum,https://www.inaturalist.org/observations/153624261,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",4,1.2798542258336674
3859144889,2022-05-28T14:37,2022,Québec,Chondrostereum purpureum,https://www.inaturalist.org/observations/119600108,POINT (-71.478527 46.844693),21L,-71.4773675782239,46.8426411025111,"-226676,45+321063,12",,,,,F,2,VIR,C,1A,40.0,F,85.0,VIN,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.2, 'HG': 0.1, 'SE': 0.2}",5,1.5571130980576458
1412708307,2000-09,2000,Québec,Chondrostereum purpureum,CMMF016727,POINT (-70.556636 46.980077),21L,-70.5577072039646,46.9865378015301,"-156126,60+334544,84",,,,,F,3,30,A,5A,40.0,F,35.0,30,"{'EO': 0.3, 'FN': 0.3, 'BJ': 0.2, 'FH': 0.1, 'FX': 0.1}",5,1.5047882836811908
1135070860,2006-10-16,2006,Québec,Chondrostereum purpureum,CMMF009392,POINT (-71.306427 46.953091),21L,-71.304719999912,46.9524119060645,"-213069,04+332719,34",,,,,M,3,JIR,D,1A,20.0,MF,75.0,JIN,"{'EO': 0.4, 'FT': 0.2, 'SB': 0.3, 'RX': 0.1}",4,1.2798542258336674
1135069350,1980-10-12,1980,Québec,Chondrostereum purpureum,CMMF007846,POINT (-70.128333 46.638667),21L,-70.1274996000133,46.6386660711901,"-124449,93+295117,61",,,,,M,2,JIR,A,1A,30.0,MF,75.0,JIN,"{'PE': 0.3, 'BP': 0.2, 'EO': 0.2, 'SB': 0.2, 'EU': 0.1}",5,1.5571130980576458
1135067052,2008-10-16,2008,Québec,Chondrostereum purpureum,CMMF010555,POINT (-71.303223 46.96324),21L,-71.3030991052544,46.9631072364837,"-212896,42+333890,27",,,,,M,3,JIN,C,1A,30.0,MF,75.0,JIN,"{'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1, 'SB': 0.3, 'EP': 0.1}",6,1.6434177197931796
1135066695,2007-10-01,2007,Québec,Chondrostereum purpureum,CMMF010128,POINT (-71.254455 46.918501),21L,-71.2551573788685,46.9180378961829,"-209449,67+328601,31",,,,,F,3,50,B,1A,30.0,F,85.0,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",6,1.6957425341696346
1412708111,1996-08-20,1996,Québec,Chondrostereum purpureum,CMMF016705,POINT (-69.926262 48.047989),22C,-69.9255635026788,48.0424127435694,"-105907,88+450439,36",BR,1932.0,,,M,3,70,D,R1A,20.0,MF,75.0,70,"{'PE': 0.4, 'BP': 0.2, 'EO': 0.1, 'EP': 0.2, 'SB': 0.1}",5,1.4708084763221112
4430633384,2023-10-13T12:59,2023,Québec,Chondrostereum purpureum,https://www.inaturalist.org/observations/187631046,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4407086782,2023-08-26T11:19,2023,Québec,Chondrostereum purpureum,https://www.inaturalist.org/observations/180886971,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4018162897,2022-10-08T13:58,2022,Québec,Chondrostereum purpureum,https://www.inaturalist.org/observations/146375890,POINT (-76.513151 45.964564),31F,-76.5142036533287,45.9656134514339,"-619851,27+253616,01",,,,,M,3,JIR,D,R1A,30.0,MR,75.0,JIN,"{'SB': 0.3, 'PB': 0.2, 'EB': 0.1, 'PE': 0.2, 'BP': 0.1, 'EO': 0.1}",6,1.6957425341696346
