gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4945632791	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239883837	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.4914	-75.627712	15.0						2024-09-04T14:27	4	9	2024	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	239883837		jonathan_mack	2024-09-04T23:58:09	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T12:54:07.210Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4937223656	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/179347498	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.860986	-66.434241							2023-08-20T11:15:54	20	8	2023	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	179347498		Joshua Birkebak	2023-08-21T03:47:41	CC_BY_NC_4_0	Richard Reeleder	Richard Reeleder			2025-01-14T12:41:34.328Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923856403	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/234238023	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.388543	-75.546847							2024-08-06T14:12	6	8	2024	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	234238023		Igor Khomenko	2024-08-06T23:04:35	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T12:52:38.181Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908891790	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/229377263	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.50552	-75.798298	31.0						2024-07-13T15:29	13	7	2024	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	229377263		jonathan_mack	2024-07-14T22:53:24	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T13:42:33.600Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4863878977	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/215751088	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.806009	-66.580898							2022-08-13T15:00	13	8	2022	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	215751088		David Malloch	2024-05-14T18:03:49	CC_BY_NC_4_0	David Malloch	David Malloch			2025-01-14T13:45:57.654Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4854833173	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/183460673	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.050336	-67.572647	4.0						2023-09-15T14:06:50	15	9	2023	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	183460673		k4d	2023-09-16T04:52:45	CC_BY_NC_4_0	k4d	k4d			2025-01-14T13:27:29.554Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4525100588	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/198208639	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.714663	-71.535086	4.0						2023-08-29	29	8	2023	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	198208639		Christian Grenier	2024-02-02T13:42:16	CC_BY_NC_4_0	Christian Grenier	Christian Grenier			2025-01-14T13:37:40.680Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4420685183	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185939192	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.78714	-66.843495	725.0						2023-09-26T09:52:07	26	9	2023	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	185939192		jurianvos	2023-10-02T18:52:17	CC_BY_NC_4_0	jurianvos	jurianvos			2025-01-14T12:40:08.513Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4414003964	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/182741216	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		Nova Scotia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.004843	-64.300965	6646.0						2023-08-21T13:02:06	21	8	2023	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	182741216		mgreeno	2023-09-11T01:16:35	CC_BY_NC_4_0	mgreeno	mgreeno			2025-01-14T12:41:07.719Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4413991291	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/183265006	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria fumosa		SPECIES	Clavaria fumosa Pers.	Clavaria fumosa		CA		Nova Scotia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.928757	-64.121773							2023-09-14T07:49:12	14	9	2023	5244508	5244508	HUMAN_OBSERVATION	iNaturalist	Observations	183265006		Jeff White	2023-09-14T20:13:03	CC_BY_NC_4_0	Jeff White	Jeff White			2025-01-14T14:11:46.932Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
