gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4976405255,2024-07-18T06:26,2024,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/236181048,POINT (-71.991871 45.074565),21E,-71.9910338850738,45.0742429886318,"-275401,20+126492,00",,,,,M,3,JIN,C,1A,31.0,MF,95.0,JIN,"{'BP': 0.2, 'EO': 0.2, 'BJ': 0.1, 'FO': 0.1, 'PE': 0.1, 'SB': 0.2, 'TO': 0.1}",7,1.8866967846580784
4925852980,2024-08-18T09:43:57,2024,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/236499700,POINT (-71.927546 45.42237),21E,-71.9275390452735,45.4231097073899,"-268477,40+165030,17",,,,,F,2,JIN,B,1A,30.0,F,85.0,JIN,"{'EO': 0.3, 'FR': 0.2, 'ES': 0.1, 'PE': 0.1, 'TA': 0.1, 'RX': 0.1, 'SB': 0.1}",7,1.8343719702816235
4908642570,2024-07-13T11:51:52,2024,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/229183900,POINT (-71.746017 45.343547),21E,-71.7450143196074,45.3428746690088,"-254597,17+155443,65",,,,,F,1,VIN,D,2A,20.0,F,75.0,VIN,"{'ES': 0.6, 'EO': 0.2, 'FT': 0.2}",3,0.9502705392332347
4903717336,2024-06-28T13:57:53,2024,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/226430992,POINT (-71.731308 45.551453),21E,-71.7331929157837,45.5523107036743,"-252620,31+178680,80",CT,1981.0,,,F,3,30,C,1A,30.0,F,95.0,30,"{'EO': 0.4, 'BJ': 0.2, 'BP': 0.2, 'ES': 0.1, 'FT': 0.1}",5,1.4708084763221112
4407187914,2023-08-29T13:58:14,2023,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/180852621,POINT (-71.806338 45.46837),21E,-71.8057033499358,45.4698887782371,"-258703,55+169782,96",,,,,F,2,JIR,D,2A,20.0,F,85.0,JIN,"{'PE': 0.3, 'EO': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FR': 0.1, 'RX': 0.1, 'SB': 0.1}",7,1.8343719702816235
4405443158,2023-08-26T16:36:33,2023,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/180370252,POINT (-71.921517 45.422387),21E,-71.9228624184831,45.421572125075,"-268119,33+164840,65",,,,,F,1,50,B,1A,30.0,F,85.0,50,"{'EO': 0.5, 'FR': 0.2, 'PE': 0.2, 'OR': 0.1}",4,1.2206072645530173
4405391426,2023-08-21T10:34:16,2023,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/180098824,POINT (-71.671415 45.584444),21E,-71.6713564389939,45.5840615335808,"-247653,27+181994,08",CPR,1989.0,ECL,2021.0,F,3,30,C,1AY,30.0,F,75.0,30,"{'EO': 0.4, 'BP': 0.2, 'BJ': 0.1, 'FR': 0.1, 'FT': 0.1, 'PE': 0.1}",6,1.6094379124341
4405196774,2023-08-27T16:28:53,2023,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/180529289,POINT (-71.604553 45.640025),21E,-71.6029560698395,45.6409334066538,"-241933,96+188188,17",,,,,F,2,50,D,1AY,30.0,F,85.0,50,"{'EO': 0.3, 'BJ': 0.2, 'BG': 0.1, 'FO': 0.1, 'FR': 0.1, 'PE': 0.1, 'SB': 0.1}",7,1.8343719702816235
4400415693,2023-08-17T14:52:28,2023,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/178994401,POINT (-71.924103 45.425817),21E,-71.9235200485503,45.4258950475606,"-268146,73+165324,73",,,,,F,1,JIN,C,1AM,20.0,F,95.0,JIN,"{'ES': 0.3, 'FT': 0.2, 'HG': 0.2, 'BJ': 0.1, 'FR': 0.1, 'TA': 0.1}",6,1.6957425341696346
4400410754,2023-08-21T13:44:33,2023,Québec,Clavaria zollingeri,https://www.inaturalist.org/observations/179581162,POINT (-71.91027 45.376738),21E,-71.9115915306234,45.3771797537733,"-267472,19+159862,43",,,,,F,2,50,C,1AY,30.0,F,85.0,50,"{'EO': 0.5, 'PE': 0.2, 'BG': 0.1, 'ES': 0.1, 'FT': 0.1}",5,1.3592367006650063
