gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4407545602,2023-08-28T09:51,2023,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/181631351,POINT (-71.742964 45.345705),21E,-71.7433375869011,45.3451778544198,"-254379,59+155688,65",,,,,M,2,JIN,B,2A,20.0,MF,75.0,JIN,"{'EO': 0.5, 'BJ': 0.1, 'BP': 0.1, 'EB': 0.1, 'EU': 0.1, 'SB': 0.1}",6,1.4978661367769952
4407212734,2023-09-02T14:57:02,2023,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/181429052,POINT (-71.929424 45.419113),21E,-71.9314535420994,45.419158498993,"-268806,06+164605,32",,,,,M,2,70,B,1A,40.0,MR,85.0,70,"{'EU': 0.5, 'SE': 0.1, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1}",5,1.3592367006650063
4400364170,2023-08-17T13:22:37,2023,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/178995329,POINT (-71.920175 45.42065),21E,-71.9192657187108,45.4185146612916,"-267857,35+164482,18",,,,,F,2,50,C,1A,30.0,F,75.0,50,"{'EO': 0.4, 'FR': 0.2, 'PE': 0.2, 'ES': 0.1, 'FH': 0.1}",5,1.4708084763221112
3988635538,2022-09-01T18:08:04,2022,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/133264141,POINT (-71.923058 45.193726),21E,-71.9247145705902,45.1942190836506,"-269528,02+139428,46",,,,,M,2,JIR,D,1A,20.0,MR,75.0,JIN,"{'TO': 0.5, 'EB': 0.1, 'BP': 0.3, 'FT': 0.1}",4,1.1682824501765625
3902468283,2022-08-31T11:45:14,2022,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/133093883,POINT (-71.847228 45.373937),21E,-71.8470210499854,45.3735852933773,"-262436,06+159227,61",,,,,M,1,JIR,B,4GS,30.0,MF,75.0,JIN,"{'EO': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FT': 0.1, 'PU': 0.2, 'EB': 0.1, 'PB': 0.1}",7,1.8866967846580784
2988454343,2010-08-08T13:28,2010,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/22478438,POINT (-71.1653 45.8103),21E,-71.1645958097691,45.80898360627,"-207158,99+205412,73",,,,,M,2,VIR,B,1A,30.0,MM,75.0,VIN,"{'PB': 0.2, 'SB': 0.2, 'EU': 0.1, 'BP': 0.2, 'EO': 0.2, 'PE': 0.1}",6,1.7480673485460896
2576428015,2019-08-24T10:38,2019,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/38805031,POINT (-71.1695 45.8215),21E,-71.1691945990486,45.8221141048857,"-207453,29+206848,77",,,,,M,2,JIN,B,1A,40.0,MF,85.0,JIN,"{'EO': 0.3, 'BP': 0.2, 'PE': 0.1, 'SB': 0.3, 'EU': 0.1}",5,1.5047882836811908
2429192832,2018-09-22T10:43,2018,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/17969531,POINT (-71.626287 45.413098),21E,-71.625540911656,45.41658612076,"-244871,57+163219,72",P,,,,R,3,30,A,3AN,40.0,R,85.0,30,"{'EB': 0.4, 'EV': 0.4, 'EO': 0.2}",3,1.0549201679861442
4919602058,2024-07-20T17:37,2024,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/231504700,POINT (-71.41204 46.008177),21L,-71.4112321322211,46.0082450636706,"-225421,06+228213,38",,,,,M,4,50,D,1AM,20.0,MF,85.0,50,"{'EO': 0.3, 'BP': 0.2, 'FX': 0.1, 'SB': 0.2, 'EU': 0.1, 'PB': 0.1}",6,1.6957425341696346
4908710868,2013-09-01T12:23,2013,Québec,Clavulinopsis fusiformis,https://www.inaturalist.org/observations/25336098,POINT (-71.829409 46.379169),21L,-71.8310128075654,46.3794582019242,"-255807,04+270999,34",,,,,R,4,50,A,7E,60.0,R,35.0,50,"{'EN': 0.9, 'ML': 0.1}",2,0.3250829733914482
