gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4607275375,2019-09-17T15:31:56,2019.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/32908515,POINT (-71.937387 45.187564),21E,-71.9363528901679,45.1911654623595,"-270511,38+139416,74",,,,,M,3,JIR,D,1A,30.0,MF,45.0,JIN,"{'EO': 0.3, 'BP': 0.2, 'PE': 0.2, 'EB': 0.3}",4,1.366158847569202
4453982053,2023-09-23T13:32,2023.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/186946873,POINT (-71.205014 45.478178),21E,-71.2039607664272,45.4795538174036,"-211594,00+168877,62",,,,,F,2,VIN,B,1A,30.0,F,85.0,VIN,"{'BJ': 0.4, 'ES': 0.3, 'EO': 0.2, 'RX': 0.1}",4,1.2798542258336674
4413964467,2023-09-05T16:40:56,2023.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/182418434,POINT (-71.973992 45.275212),21E,-71.9721044803051,45.2725430296728,"-272779,42+148458,60",,,,,F,2,JIR,D,1A,31.0,F,75.0,JIN,"{'EO': 0.4, 'FR': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'RX': 0.1}",6,1.6094379124341
4407404356,2023-08-31T18:38:42,2023.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/181122686,POINT (-71.113724 45.828156),21E,-71.1181493729847,45.8223017260785,"-203562,08+206811,80",,,,,F,2,JIR,D,1AM,20.0,F,65.0,70,"{'PE': 0.4, 'EO': 0.3, 'BP': 0.2, 'SB': 0.1}",4,1.2798542258336674
3759887709,2021-10-19T13:51:34,2021.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/98723916,POINT (-71.975113 45.206805),21E,-71.9735732277792,45.2082202266729,"-273245,23+141317,45",,,,,M,2,JIN,C,1A,30.0,MF,85.0,JIN,"{'EO': 0.5, 'BP': 0.1, 'FR': 0.1, 'TO': 0.2, 'EB': 0.1}",5,1.3592367006650063
1898826798,2018-08-21T14:39:44,2018.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/15763459,POINT (-71.071069 45.738325),21E,-71.0708269466556,45.7373469362309,"-200150,97+197148,65",,,,,F,2,VIN,B,1A,30.0,F,85.0,VIN,"{'ES': 0.5, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1}",4,1.2206072645530173
1412703143,1928-08-01/1928-08-31,1928.0,Québec,Climacodon septentrionalis,CMMF011662,POINT (-71.816667 45.966667),21E,-71.8202394541418,45.9686647380498,"-257263,98+225247,51",,,,,M,2,70,D,1A,30.0,MR,75.0,70,"{'EB': 0.3, 'SB': 0.2, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1, 'BP': 0.1}",6,1.6957425341696346
5008273508,2024-08-24T13:54:22,2024.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/237686663,POINT (-71.287038 46.897808),21L,-71.2883322806962,46.8996636686496,"-211974,38+326853,30",,,CP,,M,3,JIR,B,1A,30.0,MF,65.0,JIN,"{'EO': 0.3, 'BJ': 0.2, 'FI': 0.1, 'FT': 0.1, 'SB': 0.2, 'RX': 0.1}",6,1.6957425341696346
5008096464,2020-08-16T08:55,2020.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/257133626,POINT (-71.848324 46.666334),21L,-71.8483975935675,46.6667211427682,"-256034,90+302817,94",,,,,F,1,VIN,D,5SY,20.0,F,85.0,VIN,"{'ES': 0.5, 'FT': 0.3, 'BJ': 0.2}",3,1.0296530140645737
4950413808,2024-08-11T10:22:48,2024.0,Québec,Climacodon septentrionalis,https://www.inaturalist.org/observations/238101793,POINT (-71.12395 46.853658),21L,-71.1229124953397,46.8536341436023,"-199627,05+321076,60",,,,,F,1,VIN,A,6S,30.0,F,85.0,VIN,"{'HG': 0.5, 'FT': 0.2, 'EO': 0.1, 'ES': 0.1, 'RX': 0.1}",5,1.3592367006650063
