gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694156982	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13950	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus (Peck) Singer	(Peck) Singer	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2006-09-30	30	9	2006	3320431	3320431	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC151200	NF06-09			CC0_1_0	Royal Ontario Museum	Nicole Fergus			2024-01-25T00:59:38.925Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617555133	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000671	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus (Peck) Singer	(Peck) Singer	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1989-08-24	24	8	1989	3320431	3320431	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000671		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.120Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554711	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000048	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus (Peck) Singer	(Peck) Singer	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1988-07-15	15	7	1988	3320431	3320431	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000048		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.380Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550920	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002490	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus (Peck) Singer	(Peck) Singer	CA	Melocheville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.307492	-73.928526	4000.0						1995-08-16	16	8	1995	3320431	3320431	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002490		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.577Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4946602543	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240825634	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.547459	-73.461056	111.0						2024-08-25T11:30	25	8	2024	3320431	3320431	HUMAN_OBSERVATION	iNaturalist	Observations	240825634		Antoine Fortin	2024-09-09T21:09:32	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T13:44:00.776Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936142270	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/238888453	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.388247	-78.194817	22.0						2024-08-30T17:10:37	30	8	2024	3320431	3320431	HUMAN_OBSERVATION	iNaturalist	Observations	238888453		ilovefrogsmorethanyoudo	2024-08-31T02:23:53	CC_BY_NC_4_0	ilovefrogsmorethanyoudo	ilovefrogsmorethanyoudo			2025-01-14T13:43:08.453Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936051700	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/238238250	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.455478	-75.54927	5.0						2024-08-26T14:26:26	26	8	2024	3320431	3320431	HUMAN_OBSERVATION	iNaturalist	Observations	238238250		Lynn Ovenden	2024-08-27T13:29:55	CC_BY_NC_4_0	Lynn Ovenden	Lynn Ovenden			2025-01-14T12:52:05.452Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4926385379	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236808666	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.339434	-75.666353	35.0						2024-08-19T18:38:35	19	8	2024	3320431	3320431	HUMAN_OBSERVATION	iNaturalist	Observations	236808666		David Thomas Glover	2024-08-19T22:39:34	CC_BY_NC_4_0	David Thomas Glover	David Thomas Glover			2025-01-14T12:48:30.019Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4921710462	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/233132508	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.40319	-75.558497							2024-08-01T12:38	1	8	2024	3320431	3320431	HUMAN_OBSERVATION	iNaturalist	Observations	233132508		Igor Khomenko	2024-08-01T18:05:24	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T12:52:18.337Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4921484690	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/233713833	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Clitocybula	Clitocybula oculus		SPECIES	Clitocybula oculus (Peck) Singer	Clitocybula oculus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.105633	-76.339103	24.0						2024-08-03T16:31	3	8	2024	3320431	3320431	HUMAN_OBSERVATION	iNaturalist	Observations	233713833		Igor Khomenko	2024-08-04T14:21:41	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T13:48:03.610Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
