gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
3338154782,2021-08-14T19:22:41,2021,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/91425488,POINT (-71.14965 45.803825),21E,-71.1485221210578,45.8032259364959,"-205925,82+204691,00",,,,,M,2,JIN,A,1A,40.0,MF,65.0,JIN,"{'EO': 0.3, 'BP': 0.2, 'FH': 0.1, 'SB': 0.3, 'RX': 0.1}",5,1.5047882836811908
4519310141,2023-08-21,2023,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/198564574,POINT (-71.224643 46.909708),21L,-71.2247839108611,46.9092582949891,"-207179,44+327684,74",,,,,M,3,JIR,C,1A,30.0,MM,85.0,JIN,"{'SB': 0.3, 'EB': 0.1, 'EP': 0.1, 'EO': 0.3, 'BP': 0.1, 'HG': 0.1}",6,1.6434177197931796
1135071129,2007-08-01,2007,Québec,Clitocybula oculus,CMMF009649,POINT (-71.301586 46.954381),21L,-71.303386168039,46.9539645016355,"-213042,39+332940,60",,,,,M,3,JIR,C,1A,30.0,MM,85.0,JIN,"{'SB': 0.4, 'EP': 0.1, 'EO': 0.3, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
4177067748,2023-08-08T13:20,2023,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/178140737,POINT (-76.540229 45.946061),31F,-76.5404005248093,45.9465202308581,"-622328,41+251757,90",,,,,M,2,VIN,A,7T,50.0,MF,75.0,VIN,"{'FO': 0.4, 'BJ': 0.2, 'EO': 0.1, 'SB': 0.2, 'EB': 0.1}",5,1.4708084763221112
4177466541,2023-08-12T10:34,2023,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/178102033,POINT (-75.836657 45.419103),31G,-75.835978780446,45.4204441063387,"-573871,22+187744,84",,,CP,,F,1,VIR,A,5A,30.0,F,95.0,VIN,"{'ES': 0.4, 'FR': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
3903524829,2022-08-27T09:09,2022,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/132723447,POINT (-75.836852 45.418036),31G,-75.8376943718733,45.4166143044222,"-574046,49+187332,05",,,CP,,F,2,VIR,A,5A,30.0,F,75.0,VIN,"{'FT': 0.3, 'PE': 0.3, 'EO': 0.1, 'ES': 0.1, 'FR': 0.1, 'TO': 0.1}",6,1.6434177197931796
3903459119,2022-08-31T09:49,2022,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/133078674,POINT (-75.644903 45.608307),31G,-75.6448659426281,45.6098853103112,"-556999,97+207250,76",,,CP,,F,1,VIN,D,1AY,30.0,F,65.0,VIN,"{'CR': 0.4, 'ES': 0.2, 'FI': 0.1, 'FT': 0.1, 'PB': 0.1, 'SB': 0.1}",6,1.6094379124341
1024558982,2012-08-05,2012,Québec,Clitocybula oculus,CMMF004361,POINT (-74.116391 45.084103),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30.0,F,85.0,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",5,1.5571130980576458
1024558934,2012-07-30,2012,Québec,Clitocybula oculus,CMMF004341,POINT (-74.116034 45.084078),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30.0,F,85.0,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",5,1.5571130980576458
617555133,1989-08-24,1989,Québec,Clitocybula oculus,CMMF000671,POINT (-73.662984 45.509625),31H,-73.6639422063629,45.4818540694517,"-403819,23+179708,39",,,EL,,F,2,JIR,A,5A,40.0,F,45.0,JIN,"{'EO': 0.3, 'FR': 0.3, 'OR': 0.3, 'FT': 0.1}",4,1.313834033192747
617554711,1988-07-15,1988,Québec,Clitocybula oculus,CMMF000048,POINT (-73.662984 45.509625),31H,-73.6639422063629,45.4818540694517,"-403819,23+179708,39",,,EL,,F,2,JIR,A,5A,40.0,F,45.0,JIN,"{'EO': 0.3, 'FR': 0.3, 'OR': 0.3, 'FT': 0.1}",4,1.313834033192747
617550920,1995-08-16,1995,Québec,Clitocybula oculus,CMMF002490,POINT (-73.928526 45.307492),31H,-73.9319215956283,45.3070231574072,"-426186,37+161810,76",,,,,F,1,50,A,5A,40.0,F,75.0,50,"{'PL': 0.6, 'FR': 0.2, 'PE': 0.2}",3,0.9502705392332347
4946602543,2024-08-25T11:30,2024,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/240825634,POINT (-73.461056 45.547459),31H,-73.4603417415806,45.5478918687837,"-387400,93+185906,20",,,,,F,2,50,A,1A,40.0,F,85.0,50,"{'FR': 0.5, 'EO': 0.3, 'EA': 0.1, 'OR': 0.1}",4,1.1682824501765625
4606644647,2013-08-06T08:56,2013,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/192084354,POINT (-73.248599 45.44661),31H,-73.2491263196064,45.4473720158022,"-371689,62+173639,55",,,,,F,2,JIN,A,1A,30.0,F,85.0,JIN,"{'EO': 0.4, 'CR': 0.2, 'ES': 0.2, 'FT': 0.2}",4,1.3321790402101223
4525139360,2023-08-12T12:10,2023,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/199378888,POINT (-73.824814 45.539036),31H,-73.8260303576042,45.540277169146,"-415954,13+187079,75",,,,,F,1,70,A,5A,40.0,F,75.0,70,"{'PE': 0.6, 'EA': 0.1, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",5,1.2275294114572126
1412706181,1980-06-23,1980,Québec,Clitocybula oculus,CMMF014719,POINT (-73.449557 45.459256),31H,-73.4399164604518,45.4336889278269,"-386707,10+173047,10",,,,,F,3,JIR,A,5A,50.0,F,75.0,30,"{'FR': 0.4, 'PE': 0.4, 'PA': 0.2}",3,1.0549201679861442
1135067658,2006-08-24,2006,Québec,Clitocybula oculus,CMMF006147,POINT (-73.774083 45.35433),31H,-73.7742738198763,45.3555360057987,"-413466,07+166321,23",,,,,F,1,VIN,A,1AY,30.0,F,85.0,VIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.2}",3,0.9502705392332347
1135067626,2004-08-21,2004,Québec,Clitocybula oculus,CMMF006144,POINT (-73.774083 45.35433),31H,-73.7742738198763,45.3555360057987,"-413466,07+166321,23",,,,,F,1,VIN,A,1AY,30.0,F,85.0,VIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.2}",3,0.9502705392332347
1135067613,2005-08-09,2005,Québec,Clitocybula oculus,CMMF006146,POINT (-73.774083 45.35433),31H,-73.7742738198763,45.3555360057987,"-413466,07+166321,23",,,,,F,1,VIN,A,1AY,30.0,F,85.0,VIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.2}",3,0.9502705392332347
1701558056,2017-08-09,2017,Québec,Clitocybula oculus,UdeM:CMMF:Blitz2017:56,POINT (-73.094321 46.300422),31I,-73.0938163134521,46.3013125832716,"-353452,72+267526,33",,,,,F,1,VIN,D,5SY,20.0,F,95.0,VIN,"{'FT': 0.5, 'ES': 0.3, 'EO': 0.1, 'FI': 0.1}",4,1.1682824501765625
4436382580,2023-08-19T16:21,2023,Québec,Clitocybula oculus,https://www.inaturalist.org/observations/189067277,POINT (-74.816304 46.248773),31J,-74.8146580971456,46.2489876266609,"-486082,47+271884,54",,,,,F,2,VIN,D,1AY,20.0,F,75.0,VIN,"{'PE': 0.3, 'BJ': 0.2, 'ES': 0.2, 'FT': 0.1, 'TA': 0.1, 'RX': 0.1}",6,1.6957425341696346
