gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
617549969,1988-08-21,1988,Québec,Collybia tuberosa,CMMF000207,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,10,{'RZ': 1.0},1,-0.0
4407274846,2023-08-27T10:26:59,2023,Québec,Collybia tuberosa,https://www.inaturalist.org/observations/180842544,POINT (-71.750763 45.34643),21E,-71.7510711356504,45.3460705860987,"-255039,28+155798,13",,,,,M,1,JIN,B,2A,20.0,MF,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'FT': 0.1, 'EB': 0.1, 'PB': 0.1, 'SB': 0.1}",7,1.8343719702816235
3456022911,2020-09-06T11:37:19,2020,Québec,Collybia tuberosa,https://www.inaturalist.org/observations/59085844,POINT (-71.585511 45.083967),21E,-71.5865901957556,45.0828729691216,"-243403,56+126074,71",,,,,F,1,JIN,D,1AY,20.0,F,85.0,JIN,"{'ES': 0.8, 'BJ': 0.1, 'EO': 0.1}",3,0.639031859650177
1144858833,1938-08-21,1938,Québec,Collybia tuberosa,fadae636-4864-4259-8a17-7bdc67fc31c0,POINT (-71.63228 46.904524),21L,-71.6295717602093,46.9098661107072,"-237919,90+328939,71",,,CP,,F,2,VIN,D,1A,30.0,F,55.0,VIN,"{'BJ': 0.5, 'EO': 0.3, 'ES': 0.2}",3,1.0296530140645737
1135071359,2007-09-06,2007,Québec,Collybia tuberosa,CMMF009933,POINT (-71.326007 46.988318),21L,-71.3247257299776,46.9890034858984,"-214308,15+336869,18",,,CP,,M,2,VIR,C,1A,31.0,MF,55.0,VIN,"{'EO': 0.3, 'BJ': 0.2, 'FT': 0.1, 'EP': 0.2, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135070340,2006-08-10,2006,Québec,Collybia tuberosa,CMMF008922,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
3455268982,2016-09-16,2016,Québec,Collybia tuberosa,https://www.inaturalist.org/observations/71302487,POINT (-71.134687 47.318292),21M,-71.1335692179538,47.3191735655819,"-198534,97+372925,72",,,CPC,2011.0,R,3,70,D,1A,30.0,R,55.0,70,"{'SB': 0.8, 'EB': 0.1, 'BP': 0.1}",3,0.639031859650177
1135069738,2005-08-14,2005,Québec,Collybia tuberosa,CMMF008272,POINT (-66.20075 48.856883),22B,-66.2016831952,48.856547007173,"+167833,25+542235,09",CT,1974.0,,,R,3,70,C,8AM,30.0,R,85.0,70,"{'SB': 0.7, 'EB': 0.1, 'EN': 0.1, 'BP': 0.1}",4,0.9404479886553263
1135069751,2004-09-06,2004,Québec,Collybia tuberosa,CMMF008372,POINT (-66.497883 49.108333),22G,-66.4995499116032,49.1076671720118,"+145311,14+569360,81",,,,,R,4,JIN,A,5S,40.0,R,85.0,JIN,"{'TO': 0.5, 'EB': 0.2, 'SB': 0.2, 'FI': 0.1}",4,1.2206072645530173
4430624312,2023-10-13T13:49,2023,Québec,Collybia tuberosa,https://www.inaturalist.org/observations/187633134,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
