gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
2366023254,2019-07-02T08:57:08,2019,Québec,Conocybe apala,https://www.inaturalist.org/observations/28053722,POINT (-71.812867 45.477192),21E,-71.8111635092963,45.4779887054304,"-259070,18+170705,79",,,,,F,2,JIR,B,2A,30.0,F,65.0,JIN,"{'EO': 0.3, 'PE': 0.3, 'BG': 0.2, 'PB': 0.1, 'RX': 0.1}",5,1.5047882836811908
4600107897,2023-07-29,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/203234880,POINT (-71.331093 46.78981),21L,-71.3325614923049,46.7921684724692,"-215700,37+315184,57",,,,,F,2,JIR,A,5A,40.0,F,85.0,JIN,"{'EO': 0.6, 'FI': 0.1, 'FT': 0.1, 'ML': 0.1, 'RX': 0.1}",5,1.2275294114572126
4171886841,2023-07-28T19:13:36,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/175634318,POINT (-71.349997 46.754493),21L,-71.345758394446,46.7524758684317,"-217122,46+310348,93",,,,,F,2,VIN,D,5A,40.0,F,75.0,VIN,"{'FH': 0.5, 'PE': 0.2, 'ER': 0.1, 'FN': 0.1, 'RX': 0.1}",5,1.3592367006650063
4162549012,2023-07-18T12:49:07,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/173667228,POINT (-71.245283 46.809695),21L,-71.2413595058934,46.8017853024566,"-208984,18+315815,55",,,,,F,1,VIR,B,5S,20.0,F,65.0,VIN,"{'ES': 0.6, 'FT': 0.4}",2,0.6730116670092565
4162257760,2023-07-11T07:51:42,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/172401807,POINT (-71.246942 46.80586),21L,-71.2481443661868,46.801176151563,"-209427,56+315761,93",,,,,F,3,JIR,F,5S,20.0,F,75.0,JIN,"{'ES': 0.4, 'FN': 0.2, 'FT': 0.2, 'EO': 0.1, 'PE': 0.1}",5,1.4708084763221112
4153984841,2023-07-10T12:33:25,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/172229292,POINT (-71.277794 46.775859),21L,-71.2744664790037,46.7753598795118,"-211507,98+312972,70",,,,,F,2,VIR,A,1A,30.0,F,85.0,VIN,"{'ES': 0.6, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1}",4,1.0888999753452235
1135071021,2007-07-13,2007,Québec,Conocybe apala,CMMF009519,POINT (-71.297755 46.946241),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40.0,R,55.0,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",5,1.3592367006650063
1135070188,2006-07-05,2006,Québec,Conocybe apala,CMMF008705,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135066972,2008-06-30,2008,Québec,Conocybe apala,CMMF010373,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
4400305702,2023-07-13T11:58:52,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/172694148,POINT (-75.654963 45.489182),31G,-75.6520336401237,45.4991799233757,"-558654,93+195006,46",,,,,F,2,JIR,E,5A,30.0,F,75.0,JIN,"{'BJ': 0.3, 'FT': 0.3, 'ER': 0.2, 'FI': 0.1, 'RX': 0.1}",5,1.5047882836811908
4400110648,2023-08-19T12:19:47,2023,Québec,Conocybe apala,https://www.inaturalist.org/observations/179173230,POINT (-75.70036 45.500411),31G,-75.7012923004362,45.5010179469552,"-562448,23+195643,04",,,,,F,3,JIR,D,5A,30.0,F,35.0,JIN,"{'ER': 0.6, 'FT': 0.4}",2,0.6730116670092565
