gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
727876080	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	16165	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinus micaceus (Bull.) Fr.	Coprinus micaceus (Bull.) Fr.	(Bull.) Fr.	CA	Ottawa, Central Experimental Farm	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.378618	-75.722408	1632.0						1972-05-17	17	5	1972	9174116	2534578	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC047901		Malloch, D.W.W.		CC0_1_0	Royal Ontario Museum	Malloch, D.W.			2024-01-25T00:59:38.833Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727876076	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	16164	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinus micaceus (Bull.) Fr.	Coprinus micaceus (Bull.) Fr.	(Bull.) Fr.	CA	Ottawa, Central Experimental Farm	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.378618	-75.722408	1632.0						1971-06-25	25	6	1971	9174116	2534578	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC047900		Malloch, D.W.W.		CC0_1_0	Royal Ontario Museum	Dunlop, R.;			2024-01-25T00:59:38.834Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727875985	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	16073	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinus micaceus (Bull.) Fr.	Coprinus micaceus (Bull.) Fr.	(Bull.) Fr.	CA	1.6 km S of South March	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.320772	-75.909691	1794.0						1971-07-22	22	7	1971	9174116	2534578	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC151860	DWM 22.7.1971/1	Lahaie, D.G.		CC0_1_0	Royal Ontario Museum	Malloch, D.W.			2024-01-25T00:59:38.245Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617554634	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000447	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinus micaceus (Bull.) Fr.	Coprinus micaceus (Bull.) Fr.	(Bull.) Fr.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1989-05-14	14	5	1989	9174116	2534578	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000447		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.982Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552793	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003315	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinus micaceus (Bull.) Fr.	Coprinus micaceus (Bull.) Fr.	(Bull.) Fr.	CA	Brossard	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.447591	-73.453807	6500.0						1999-07-05	5	7	1999	9174116	2534578	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003315		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.021Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549800	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000002	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinus micaceus (Bull.) Fr.	Coprinus micaceus (Bull.) Fr.	(Bull.) Fr.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1988-06-29	29	6	1988	9174116	2534578	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000002		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.335Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4982011764	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246184932	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinellus micaceus (Bull.) Vilgalys, Hopple & Jacq.Johnson	Coprinellus micaceus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.63355	-77.072946	157.0						2024-10-07T13:04:18	7	10	2024	2534578	2534578	HUMAN_OBSERVATION	iNaturalist	Observations	246184932		janesly	2024-10-07T17:05:04	CC_BY_NC_4_0	janesly	janesly			2025-01-14T12:57:49.709Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976439948	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247694778	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinellus micaceus (Bull.) Vilgalys, Hopple & Jacq.Johnson	Coprinellus micaceus		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.504338	-64.10155	50.0						2024-10-15T16:32	15	10	2024	2534578	2534578	HUMAN_OBSERVATION	iNaturalist	Observations	247694778		Denis Gallant	2024-10-16T23:45:21	CC_BY_NC_4_0	Denis Gallant	Denis Gallant			2025-01-14T12:53:34.495Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4954691425	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246583151	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinellus micaceus (Bull.) Vilgalys, Hopple & Jacq.Johnson	Coprinellus micaceus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.010086	-75.651637	46.0						2023-06-12T19:52:11	12	6	2023	2534578	2534578	HUMAN_OBSERVATION	iNaturalist	Observations	246583151		lnorenberg	2024-10-10T05:18:34	CC_BY_NC_4_0	lnorenberg	lnorenberg			2025-01-14T12:54:39.563Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952553068	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246252977	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	Coprinellus micaceus		SPECIES	Coprinellus micaceus (Bull.) Vilgalys, Hopple & Jacq.Johnson	Coprinellus micaceus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.945928	-66.867561							2024-05-18T10:51	18	5	2024	2534578	2534578	HUMAN_OBSERVATION	iNaturalist	Observations	246252977		Dwayne Sabine	2024-10-08T01:06:09	CC_BY_NC_4_0	Dwayne Sabine	Dwayne Sabine			2025-01-14T13:41:05.973Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
