gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
5006794274,2024-09-14T14:11:19,2024.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/241774203,POINT (-71.462113 45.705838),21E,-71.4603515482463,45.7030684326491,"-230619,77+194519,07",,,,,M,3,JIR,B,1A,30.0,MR,65.0,JIN,"{'TO': 0.3, 'EB': 0.2, 'SB': 0.1, 'BJ': 0.1, 'BP': 0.1, 'EO': 0.1, 'PE': 0.1}",7,1.8343719702816235
4994542802,2024-09-07T17:07,2024.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/253564843,POINT (-71.905678 45.397869),21E,-71.9084044626734,45.3950640215978,"-267301,45+161824,23",,,,,F,2,JIR,B,3AN,50.0,F,55.0,JIN,"{'BG': 0.3, 'EA': 0.2, 'PA': 0.2, 'BP': 0.1, 'OR': 0.1, 'PE': 0.1}",6,1.6957425341696346
4980448305,2024-11-11T10:11:57,2024.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/251320241,POINT (-71.993971 45.266086),21E,-71.9945942174562,45.2670345154834,"-274575,95+147933,91",,,,,F,2,10,D,1AY,30.0,F,65.0,10,"{'ES': 0.4, 'EO': 0.2, 'PE': 0.2, 'BP': 0.1, 'RX': 0.1}",5,1.4708084763221112
4976217974,2024-10-23T09:21:11,2024.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/248737002,POINT (-71.854477 45.375217),21E,-71.8556765500894,45.3748070543671,"-263072,69+159400,71",,,,,F,2,VIR,A,3AN,50.0,F,75.0,VIN,"{'EO': 0.3, 'BJ': 0.2, 'EA': 0.1, 'FN': 0.1, 'OR': 0.1, 'EB': 0.1, 'PB': 0.1}",7,1.8343719702816235
4974257751,2024-09-20T13:01:34,2024.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/243418537,POINT (-71.99053 45.577728),21E,-71.9898206326646,45.5769486318591,"-272516,55+182356,49",,,,,R,1,70,B,4GS,20.0,R,95.0,70,"{'PB': 0.8, 'SE': 0.1, 'FX': 0.1}",3,0.639031859650177
4952282435,2024-09-20T11:10:06,2024.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/242885359,POINT (-71.840564 45.414998),21E,-71.8420226339757,45.4157257202315,"-261850,40+163847,73",,,,,F,1,VIN,D,1AY,30.0,F,75.0,VIN,"{'ES': 0.6, 'EO': 0.1, 'FR': 0.1, 'HG': 0.1, 'RX': 0.1}",5,1.2275294114572126
4950188475,2024-09-14T09:39:06,2024.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/241704181,POINT (-71.953597 45.289897),21E,-71.9533896060568,45.2892686033101,"-271091,90+150363,42",,,,,F,2,JIR,C,3AN,40.0,F,65.0,JIN,"{'EO': 0.3, 'BJ': 0.2, 'EA': 0.2, 'BP': 0.1, 'OR': 0.1, 'RX': 0.1}",6,1.6957425341696346
4949904191,2024-09-18T14:36:07,2024.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/242565388,POINT (-71.922626 45.377354),21E,-71.9229447597284,45.3770500539156,"-268375,00+159924,32",,,,,M,2,VIR,D,1AY,30.0,MF,85.0,VIN,"{'EO': 0.2, 'ES': 0.2, 'PE': 0.2, 'BG': 0.1, 'EB': 0.2, 'RX': 0.1}",6,1.7480673485460894
4507895339,2023-08-19T12:22,2023.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/195227830,POINT (-71.166435 45.977823),21E,-71.1674406371504,45.9756778344239,"-206683,31+223911,95",CT,1981.0,,,M,3,30,C,1A,30.0,MR,75.0,30,"{'SB': 0.3, 'EU': 0.2, 'RX': 0.1, 'BP': 0.2, 'EO': 0.2}",5,1.5571130980576458
4431101876,2023-10-16T17:55:46,2023.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/187830886,POINT (-71.903 45.374595),21E,-71.9025111059729,45.3768921052035,"-266784,82+159837,53",,,,,F,2,JIR,D,1AM,20.0,F,95.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BG': 0.1, 'BJ': 0.1, 'FR': 0.1, 'FT': 0.1, 'TA': 0.1}",7,1.8343719702816235
4424584367,2023-10-05T15:52:12,2023.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/186322427,POINT (-71.950325 45.410046),21E,-71.9505159360112,45.4113027060652,"-270437,25+163745,97",,,,,M,2,JIR,B,1A,40.0,MF,75.0,JIN,"{'BJ': 0.2, 'EO': 0.2, 'PE': 0.2, 'FR': 0.1, 'EB': 0.1, 'SB': 0.1, 'TO': 0.1}",7,1.8866967846580782
4414119634,2023-09-09T19:18:38,2023.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/182705934,POINT (-71.937138 45.416893),21E,-71.9347992633791,45.4176988229311,"-269042,52+164440,03",,,,,R,2,70,B,1A,40.0,R,65.0,70,"{'EB': 0.2, 'EU': 0.2, 'TO': 0.2, 'PU': 0.1, 'SB': 0.1, 'EO': 0.1, 'FH': 0.1}",7,1.8866967846580782
4407082842,2023-08-20T11:29:53,2023.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/179537535,POINT (-71.204605 45.935181),21E,-71.203715904528,45.9356987208291,"-209666,53+219495,18",,,,,R,2,70,A,1A,40.0,R,65.0,70,"{'SB': 0.4, 'EU': 0.2, 'ML': 0.2, 'RX': 0.1, 'FX': 0.1}",5,1.4708084763221112
3963267358,2020-10-17T15:21,2020.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/62897115,POINT (-71.840194 45.3607),21E,-71.8404698724152,45.3579064159332,"-262001,71+157459,92",,,,,R,1,50,D,1A,30.0,R,85.0,50,{'PR': 1.0},1,-0.0
3947488893,2022-10-18T12:49:20,2022.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/139242624,POINT (-71.903253 45.371689),21E,-71.9003490082846,45.3704687780217,"-266653,65+159116,05",,,,,M,1,JIN,C,1AY,30.0,MF,95.0,JIN,"{'EO': 0.4, 'ES': 0.1, 'HG': 0.1, 'TA': 0.1, 'PU': 0.2, 'EU': 0.1}",6,1.6094379124341003
3399411868,2021-10-23T07:48:50,2021.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/99074958,POINT (-71.871742 45.363884),21E,-71.8706452383628,45.363019409309,"-264354,59+158133,57",,,,,M,1,JIN,C,1A,30.0,MF,85.0,JIN,"{'EO': 0.3, 'BJ': 0.1, 'FT': 0.1, 'PE': 0.1, 'PU': 0.3, 'RX': 0.1}",6,1.6434177197931796
3399078918,2021-10-07T10:04,2021.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/97477020,POINT (-71.939025 45.304355),21E,-71.9377085477827,45.3038150839366,"-269923,01+151806,13",,,,,F,2,JIR,D,1AM,20.0,F,75.0,JIN,"{'ES': 0.4, 'FR': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FT': 0.1, 'TA': 0.1}",6,1.6094379124341
3398847356,2021-10-17T15:15:56,2021.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/98554731,POINT (-70.871697 45.412912),21E,-70.8744591189973,45.4130766052683,"-186152,66+160495,88",,,,,M,3,VIN,A,7T,50.0,MM,35.0,VIN,"{'EN': 0.2, 'TO': 0.2, 'SB': 0.1, 'BP': 0.2, 'FO': 0.2, 'FN': 0.1}",6,1.7480673485460896
3391533298,2021-10-04T15:15:48,2021.0,Québec,Coprinus comatus,https://www.inaturalist.org/observations/98199453,POINT (-71.995459 45.27664),21E,-71.9961569669987,45.2775319549146,"-274632,50+149109,44",,,,,F,2,50,B,1A,30.0,F,65.0,50,"{'EO': 0.5, 'PE': 0.2, 'BJ': 0.1, 'BP': 0.1, 'FR': 0.1}",5,1.3592367006650063
