gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4453672608,2015-09-06T09:58,2015.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/135860102,POINT (-70.808504 45.777759),21E,-70.8079160409765,45.7775237595796,"-179543,60+200919,74",P,,,,M,5,10,B,1A,30.0,MR,75.0,4,10,"{'RZ': 0.7, 'FX': 0.2, 'FN': 0.1}",0.000633272349556039,3,0.8018185525433372,[3.3625002],[10.675],[26.036585],[1094.445],[23.2],[-17.8],[41.],[16.333334],[-4.7999997],[16.333334],[-10.683333],[1152.],[125.],[72.],[17.671263],[360.],[229.],[360.],[245.]
4400327259,2023-08-20T14:38:28,2023.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/179405031,POINT (-70.632841 45.752965),21E,-70.6331003881731,45.7544291170856,"-166023,92+197925,97",,,,,M,2,VIN,F,1A,20.0,MF,75.0,20,VIN,"{'BJ': 0.2, 'BP': 0.2, 'EO': 0.2, 'EB': 0.1, 'EU': 0.1, 'SB': 0.1, 'TO': 0.1}",0.0014869166300379242,7,1.8866967846580782,[3.8458333],[11.425],[27.332535],[1094.6824],[24.1],[-17.7],[41.800003],[16.783333],[-4.15],[16.783333],[-10.266666],[1031.],[113.],[63.],[19.38567],[330.],[200.],[330.],[215.]
2563427966,2015-09-27T15:24:09Z,2015.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/10033329,POINT (-71.016877 45.620613),21E,-71.0149603202273,45.6215610514482,"-196254,24+184126,98",,,,,F,3,JIN,B,1A,40.0,F,75.0,16,JIN,"{'EO': 0.3, 'ES': 0.3, 'BP': 0.2, 'EB': 0.1, 'SB': 0.1}",0.0021383318029419844,5,1.5047882836811908,[3.1625],[10.275001],[25.496277],[1085.5981],[22.6],[-17.7],[40.300003],[16.016666],[-4.9500003],[16.016666],[-10.75],[1300.],[142.],[83.],[15.80508],[392.],[263.],[392.],[286.]
4597309645,2023-08-21,2023.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/198564463,POINT (-71.224838 46.909898),21L,-71.2247839108611,46.9092582949891,"-207179,44+327684,74",,,,,M,3,JIR,C,1A,30.0,MM,85.0,16,JIN,"{'SB': 0.3, 'EB': 0.1, 'EP': 0.1, 'EO': 0.3, 'BP': 0.1, 'HG': 0.1}",0.0006419876446739114,6,1.6434177197931796,[3.7958333],[10.241667],[23.87335],[1163.7566],[24.8],[-18.1],[42.9],[16.516666],[-4.7166667],[17.666666],[-11.150001],[1346.],[139.],[82.],[14.957371],[392.],[270.],[388.],[292.]
4597290309,2023-08-23T17:16:13,2023.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/179886939,POINT (-71.324004 46.95725),21L,-71.3229957957708,46.9555929596884,"-214411,04+333130,85",,,,,F,3,JIR,D,R1A,20.0,F,75.0,15,JIN,"{'EO': 0.5, 'BJ': 0.2, 'FT': 0.2, 'FI': 0.1}",0.0019396541862038976,4,1.2206072645530173,[3.1041667],[10.208333],[24.076256],[1145.1548],[23.7],[-18.7],[42.4],[15.616667],[-5.25],[16.666666],[-11.65],[1393.],[141.],[87.],[14.61952],[402.],[277.],[397.],[311.]
4519237632,2023-08-24,2023.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/198390644,POINT (-71.401063 46.957723),21L,-71.4024783904748,46.9565999880289,"-220487,32+333426,12",,,,,M,2,VIR,D,1AY,20.0,MF,85.0,20,VIN,"{'BJ': 0.4, 'ER': 0.2, 'HG': 0.1, 'SB': 0.2, 'RX': 0.1}",0.0018067888873377267,5,1.4708084763221112,[3.4958334],[10.075],[23.931116],[1140.6765],[23.9],[-18.2],[42.1],[15.966666],[-4.85],[16.933332],[-11.266666],[1324.],[137.],[79.],[16.687054],[391.],[255.],[381.],[286.]
4453919595,2022-06-29,2022.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/148246575,POINT (-71.342876 46.838444),21L,-71.3430199668259,46.8379629469293,"-216489,34+320034,95",,,,,F,2,VIN,D,5A,30.0,F,85.0,21,VIN,"{'ES': 0.4, 'EO': 0.3, 'BJ': 0.2, 'FI': 0.1}",0.0005021339500479565,4,1.2798542258336674,[4.7166667],[10.366667],[23.831417],[1186.3088],[26.3],[-17.2],[43.5],[17.65],[-9.233334],[18.883333],[-10.5],[1263.],[131.],[72.],[16.692772],[377.],[251.],[370.],[261.]
4009856675,2022-08-29,2022.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/144736810,POINT (-71.237352 46.922494),21L,-71.2375050401265,46.9217940003558,"-208213,91+329216,03",,,,,F,2,VIN,C,1A,30.0,F,85.0,20,VIN,"{'ES': 0.5, 'HG': 0.3, 'BJ': 0.1, 'EO': 0.1}",0.0007165338667486174,4,1.1682824501765625,[3.3958333],[10.308333],[23.917248],[1164.3228],[24.5],[-18.6],[43.1],[16.116667],[-5.1],[17.316668],[-11.533334],[1385.],[141.],[87.],[13.877102],[399.],[280.],[395.],[309.]
4009685636,2022-08-29,2022.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/144736864,POINT (-71.239962 46.924663),21L,-71.2395325675243,46.9253656964189,"-208237,89+329524,77",,,,,M,3,VIR,C,1AY,20.0,MF,85.0,16,VIN,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SB': 0.2, 'EP': 0.1}",0.0008235256573591597,6,1.6957425341696346,[3.3958333],[10.308333],[23.917248],[1164.3228],[24.5],[-18.6],[43.1],[16.116667],[-5.1],[17.316668],[-11.533334],[1385.],[141.],[87.],[13.877102],[399.],[280.],[395.],[309.]
2597882152,2012-09-04,2012.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/41363217,POINT (-71.392833 46.961575),21L,-71.3912447909061,46.9623573719129,"-219574,76+333994,77",,,,,M,2,JIR,A,3AN,50.0,MR,35.0,18,JIN,"{'ML': 0.5, 'SB': 0.1, 'TO': 0.1, 'PE': 0.2, 'FH': 0.1}",0.001770455855429642,5,1.3592367006650063,[3.5708332],[10.058333],[23.948412],[1138.0055],[23.9],[-18.1],[42.],[16.016666],[-4.75],[16.95],[-11.183333],[1323.],[137.],[78.],[17.128576],[393.],[254.],[381.],[283.]
2563460676,2019-08-31T15:17,2019.0,Québec,Cortinarius armillatus,https://www.inaturalist.org/observations/32086448,POINT (-71.320177 46.756315),21L,-71.320578256682,46.7567730677949,"-215120,01+310974,47",,,,,F,3,50,A,5S,30.0,F,95.0,14,50,"{'EO': 0.4, 'BP': 0.3, 'BJ': 0.1, 'PU': 0.1, 'SB': 0.1}",0.0006089606141398014,5,1.4184836619456564,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
1701210517,2003-08-30,2003.0,Québec,Cortinarius armillatus,7fc1abe2-f57e-49bc-b34a-fea5f40a1aa3,POINT (-71.281044 46.950852),21L,-71.2830680271636,46.9514798215252,"-211473,15+332611,63",,,,,M,2,JIR,C,1A,30.0,MF,45.0,18,JIN,"{'ES': 0.3, 'HG': 0.2, 'EO': 0.1, 'FI': 0.1, 'SB': 0.2, 'RX': 0.1}",0.0021191615857442153,6,1.6957425341696346,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
