gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4994462258,2024-09-10T17:24:59,2024,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/241983712,POINT (-71.268183 46.952936),21L,-71.2671544245531,46.952665628644,"-210208,93+332522,87",,,,,R,3,90,D,1AY,30.0,R,85.0,90,"{'EP': 0.6, 'SB': 0.3, 'EO': 0.1}",3,0.8979457248567797
4924000493,2024-08-08T16:00:58,2024,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/234575013,POINT (-71.266973 46.953449),21L,-71.2671544245531,46.952665628644,"-210208,93+332522,87",,,,,R,3,90,D,1AY,30.0,R,85.0,90,"{'EP': 0.6, 'SB': 0.3, 'EO': 0.1}",3,0.8979457248567797
4919145084,2024-07-24T14:42:59,2024,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/231463622,POINT (-71.267709 46.952125),21L,-71.2671544245531,46.952665628644,"-210208,93+332522,87",,,,,R,3,90,D,1AY,30.0,R,85.0,90,"{'EP': 0.6, 'SB': 0.3, 'EO': 0.1}",3,0.8979457248567797
4054921504,2022-09-11,2022,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/143268891,POINT (-71.240434 46.924912),21L,-71.2395325675243,46.9253656964189,"-208237,89+329524,77",,,,,M,3,VIR,C,1AY,20.0,MF,85.0,VIN,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SB': 0.2, 'EP': 0.1}",6,1.6957425341696346
2988314343,2013-09-01T15:39,2013,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/25337702,POINT (-71.8294 46.3792),21L,-71.8310128075654,46.3794582019242,"-255807,04+270999,34",,,,,R,4,50,A,7E,60.0,R,35.0,50,"{'EN': 0.9, 'ML': 0.1}",2,0.3250829733914482
1135070721,2006-09-23,2006,Québec,Cortinarius caperatus,CMMF009274,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40.0,R,65.0,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",4,1.193549604098133
4413360229,2023-09-02T13:53,2023,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/181548218,POINT (-70.718044 47.130785),21M,-70.7170376089163,47.1302662069093,"-167835,22+350894,47",,,,,M,2,JIN,D,1AY,30.0,MF,75.0,JIN,"{'BJ': 0.5, 'BP': 0.1, 'ER': 0.1, 'SB': 0.2, 'EB': 0.1}",5,1.3592367006650063
4177074879,2022-08-13T18:45:27,2022,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/178272208,POINT (-70.749458 47.811025),21M,-70.7489883060318,47.8115312399096,"-167934,12+426368,84",,,,,R,4,50,D,1AY,30.0,R,75.0,50,"{'EN': 0.8, 'SB': 0.2}",2,0.5004024235381879
1412703138,1944-09-09,1944,Québec,Cortinarius caperatus,CMMF011585,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30.0,MR,65.0,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",5,1.3592367006650063
4994454468,2024-09-09T15:10,2024,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/243908250,POINT (-65.562674 48.192893),22A,-65.5612533236959,48.1921546323251,"+217602,82+470406,95",,,,,R,3,VIR,B,8A,40.0,R,65.0,VIN,"{'SB': 0.5, 'TO': 0.3, 'RX': 0.1, 'PE': 0.1}",4,1.1682824501765625
1135069848,2008-08-05,2008,Québec,Cortinarius caperatus,CMMF008326,POINT (-66.20075 48.856883),22B,-66.2016831952,48.856547007173,"+167833,25+542235,09",CT,1974.0,,,R,3,70,C,8AM,30.0,R,85.0,70,"{'SB': 0.7, 'EB': 0.1, 'EN': 0.1, 'BP': 0.1}",4,0.9404479886553263
1135069791,2010-08-06,2010,Québec,Cortinarius caperatus,CMMF008296,POINT (-66.20075 48.856883),22B,-66.2016831952,48.856547007173,"+167833,25+542235,09",CT,1974.0,,,R,3,70,C,8AM,30.0,R,85.0,70,"{'SB': 0.7, 'EB': 0.1, 'EN': 0.1, 'BP': 0.1}",4,0.9404479886553263
1135069657,2005-09-14,2005,Québec,Cortinarius caperatus,CMMF008284,POINT (-66.20075 48.856883),22B,-66.2016831952,48.856547007173,"+167833,25+542235,09",CT,1974.0,,,R,3,70,C,8AM,30.0,R,85.0,70,"{'SB': 0.7, 'EB': 0.1, 'EN': 0.1, 'BP': 0.1}",4,0.9404479886553263
4950243217,2024-09-14T15:16,2024,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/242588220,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4946516298,2024-08-29T11:25,2024,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/240378309,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4407168891,2023-08-26T12:13,2023,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/180887468,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4011607806,2022-09-05T10:12,2022,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/145306091,POINT (-76.596497 45.852705),31F,-76.5963472357977,45.8523596197607,"-627795,49+241988,09",,,CP,,F,1,VIN,D,1AM,20.0,F,75.0,VIN,"{'ES': 0.3, 'CR': 0.2, 'EO': 0.2, 'BJ': 0.1, 'FT': 0.1, 'TA': 0.1}",6,1.6957425341696346
4011590012,2022-09-07T16:09,2022,Québec,Cortinarius caperatus,https://www.inaturalist.org/observations/145468807,POINT (-76.429647 45.829523),31F,-76.4297682229517,45.8306829223168,"-615056,90+238020,08",,,,,F,1,VIN,D,2BE,20.0,F,85.0,VIN,"{'ES': 0.2, 'FT': 0.2, 'PE': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EO': 0.1, 'RX': 0.1}",7,1.8866967846580782
