gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694157631	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	16742	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius chrysolitus Kauffman	Cortinarius chrysolitus Kaufmann	Kaufmann	CA	Petawawa Forest Experimental Station	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	46.00829	-77.421513	958.0						1944-09-26	26	9	1944	3350308	3350308	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC151947	11849	Smith, A.H.		CC0_1_0	Royal Ontario Museum	Groves, J.W.;			2024-01-25T00:59:40.242Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157098	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14341	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius chrysolitus Kauffman	Cortinarius chrysolitus Kaufmann	Kaufmann	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1966-09-17	17	9	1966	3350308	3350308	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC044564				CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.564Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617553193	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003491	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius chrysolitus Kauffman	Cortinarius chrysolitus Kauffman	Kauffman	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						2000-09-03	3	9	2000	3350308	3350308	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003491		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.279Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550972	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002513	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius chrysolitus Kauffman	Cortinarius chrysolitus Kauffman	Kauffman	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						1995-08-20	20	8	1995	3350308	3350308	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002513		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.532Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548356	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001368	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius chrysolitus Kauffman	Cortinarius chrysolitus Kauffman	Kauffman	CA	Contrecoeur	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.876777	-73.209987	12000.0						1991-08-12	12	8	1991	3350308	3350308	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001368		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.523Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547867	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001154	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius chrysolitus Kauffman	Cortinarius chrysolitus Kauffman	Kauffman	CA	Saint-Hippolyte	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931985	-74.025434	13000.0						1990-08-19	19	8	1990	3350308	3350308	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001154		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.582Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547716	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001089	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius chrysolitus Kauffman	Cortinarius chrysolitus Kauffman	Kauffman	CA	Saint-Alexandre	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.24483	-73.122865	7500.0						1990-08-10	10	8	1990	3350308	3350308	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001089		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Archambault, Raymond			2024-01-24T16:38:16.496Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4099945416	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	f7ee3591-9891-4d3b-8595-01605c7c2527	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius chrysolitus Kauffman	Cortinarius chrysolitus	Kauffman	CA	Mer Bleue near Hawthorne	Ontario	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.393611	-75.600278	301.0						1955-09-27	27	9	1955	3350308	3350308	PRESERVED_SPECIMEN	BPI		BPI 774987		Groves, J. W.		CC0_1_0		Groves, J. W.; Shoemaker, R. A.			2025-01-15T04:59:42.495Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4046459619	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141028333	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius huronensis Ammirati & A.H.Sm.	Cortinarius huronensis		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.594475	-65.011064	200.0						2022-11-02T13:13	2	11	2022	2528864	3350308	HUMAN_OBSERVATION	iNaturalist	Observations	141028333		Stephen Russell	2023-02-18T19:05:48	CC_BY_NC_4_0	Alfredo Justo	Alfredo Justo			2025-01-14T13:21:51.624Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4039397707	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/138748557	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius huronensis Ammirati & A.H.Sm.	Cortinarius huronensis		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.593108	-65.009675	23.0						2022-10-12T15:38	12	10	2022	2528864	3350308	HUMAN_OBSERVATION	iNaturalist	Observations	138748557		Stephen Russell	2023-02-18T19:05:39	CC_BY_NC_4_0	Alfredo Justo	Alfredo Justo			2025-01-14T12:32:17.044Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4039395599	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/138744999	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius huronensis Ammirati & A.H.Sm.	Cortinarius huronensis		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.593217	-65.009819	98.0						2022-10-12T15:31	12	10	2022	2528864	3350308	HUMAN_OBSERVATION	iNaturalist	Observations	138744999		Stephen Russell	2023-02-18T19:02:50	CC_BY_NC_4_0	Alfredo Justo	Alfredo Justo			2025-01-14T12:32:17.039Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4039266583	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/138742349	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius huronensis Ammirati & A.H.Sm.	Cortinarius huronensis		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.556744	-65.018556	4305.0						2022-10-12T14:24	12	10	2022	2528864	3350308	HUMAN_OBSERVATION	iNaturalist	Observations	138742349		Stephen Russell	2023-02-18T19:00:44	CC_BY_NC_4_0	Alfredo Justo	Alfredo Justo			2025-01-14T12:32:43.653Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4039225734	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141389229	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius chrysolitus Kauffman	Cortinarius chrysolitus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.62362	-65.05943							2022-09-27	27	9	2022	3350308	3350308	HUMAN_OBSERVATION	iNaturalist	Observations	141389229		Alfredo Justo	2023-02-08T19:32:30	CC_BY_NC_4_0	Alex Hood	Alex Hood			2025-01-14T12:33:32.063Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4039210629	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141389231	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius chrysolitus		SPECIES	Cortinarius huronensis Ammirati & A.H.Sm.	Cortinarius huronensis		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.59431	-65.01208							2022-11-02	2	11	2022	2528864	3350308	HUMAN_OBSERVATION	iNaturalist	Observations	141389231		Alfredo Justo	2023-02-08T19:44:02	CC_BY_NC_4_0	Alex Hood	Alex Hood			2025-01-14T12:34:33.396Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
