gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4405203068,2023-08-27T16:14:54,2023.0,Québec,Craterellus cornucopioides,https://www.inaturalist.org/observations/180529126,POINT (-71.604958 45.641972),21E,-71.6056573746049,45.6420695878581,"-242228,98+188213,72",,,,,F,1,JIN,D,1AY,30.0,F,85.0,JIN,"{'EO': 0.3, 'BJ': 0.2, 'ES': 0.2, 'FO': 0.1, 'FT': 0.1, 'PE': 0.1}",6,1.6957425341696346
1412705213,1984-08-06,1984.0,Québec,Craterellus cornucopioides,CMMF013714,POINT (-70.856258 45.467131),21E,-70.8573943634018,45.4671471503217,"-184509,49+166459,86",P,,,,R,2,30,A,4GS,30.0,R,95.0,30,"{'EV': 0.8, 'EB': 0.1, 'PR': 0.1}",3,0.639031859650177
4400239519,2023-08-14T09:29,2023.0,Québec,Craterellus cornucopioides,https://www.inaturalist.org/observations/178680628,POINT (-71.31294 46.750979),21L,-71.3106258668917,46.7504886831594,"-214386,29+310326,11",,,,,F,2,JIN,C,1AM,20.0,F,75.0,JIN,"{'CR': 0.5, 'ES': 0.2, 'FT': 0.2, 'EO': 0.1}",4,1.2206072645530173
4400139372,2023-08-17T12:26,2023.0,Québec,Craterellus cornucopioides,https://www.inaturalist.org/observations/179698238,POINT (-71.321716 46.757795),21L,-71.320578256682,46.7567730677949,"-215120,01+310974,47",,,,,F,3,50,A,5S,30.0,F,95.0,50,"{'EO': 0.4, 'BP': 0.3, 'BJ': 0.1, 'PU': 0.1, 'SB': 0.1}",5,1.4184836619456564
4171712209,2023-08-01T12:38:56,2023.0,Québec,Craterellus cornucopioides,https://www.inaturalist.org/observations/176192502,POINT (-71.102936 46.886279),21L,-71.1033715118418,46.8861614578866,"-197926,33+324829,18",,,,,F,1,VIN,F,5S,20.0,F,85.0,VIN,"{'ES': 0.4, 'FT': 0.4, 'EO': 0.2}",3,1.0549201679861442
4018186360,2020-09-01T13:42,2020.0,Québec,Craterellus cornucopioides,https://www.inaturalist.org/observations/58347225,POINT (-71.339997 46.769569),21L,-71.3397566368037,46.7690062710673,"-216530,14+312468,13",,,,,F,2,VIN,B,5A,30.0,F,85.0,VIN,"{'ES': 0.5, 'FT': 0.3, 'EO': 0.2}",3,1.0296530140645737
1135071229,2007-08-19,2007.0,Québec,Craterellus cornucopioides,CMMF009795,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",4,1.313834033192747
1135070518,2006-08-26,2006.0,Québec,Craterellus cornucopioides,CMMF009074,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",4,1.313834033192747
1135070361,2006-08-04,2006.0,Québec,Craterellus cornucopioides,CMMF008887,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",4,1.313834033192747
4528151161,2023-09-17,2023.0,Québec,Craterellus cornucopioides,https://www.inaturalist.org/observations/195259904,POINT (-70.876864 47.074638),21M,-70.8761961624443,47.0754038810303,"-180075,86+345165,02",,,,,F,2,JIN,F,2BD,10.0,F,85.0,JIN,"{'ES': 0.4, 'PE': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EO': 0.1, 'RX': 0.1}",6,1.6094379124341
4910677693,2024-07-20T14:23:17,2024.0,Québec,Craterellus cornucopioides,https://www.inaturalist.org/observations/230577057,POINT (-76.558619 45.635018),31F,-76.5581855144147,45.6340867638994,"-627522,09+217363,05",,,,,M,1,VIN,A,5S,20.0,MF,95.0,VIN,"{'EO': 0.2, 'ES': 0.2, 'FR': 0.1, 'FT': 0.1, 'TO': 0.3, 'RX': 0.1}",6,1.6957425341696346
