gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4909075919,2024-07-17T08:30:14,2024,Québec,Crepidotus calolepis,https://www.inaturalist.org/observations/229975195,POINT (-71.918 45.380212),21E,-71.9182193736625,45.3793151931858,"-267980,68+160126,07",,,,,F,2,50,C,1AY,30.0,F,95.0,19,50,"{'EO': 0.4, 'FR': 0.3, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1}",0.0009232482146116527,5,1.4184836619456564,[5.383333],[10.616667],[25.644123],[1109.2756],[25.5],[-15.9],[41.4],[18.5],[-7.7166667],[18.5],[-8.916667],[1077.],[130.],[52.],[26.338058],[358.],[178.],[358.],[195.]
3457022313,2021-10-01T14:59:55,2021,Québec,Crepidotus calolepis,https://www.inaturalist.org/observations/96813043,POINT (-71.213197 46.83672),21L,-71.2126049197629,46.8369559017375,"-206417,49+319699,68",,,,,F,1,JIN,A,5A,30.0,F,65.0,25,JIN,"{'PE': 0.5, 'FH': 0.2, 'FO': 0.2, 'EA': 0.1}",0.0006373449905005754,4,1.2206072645530173,[5.4],[10.583334],[23.836336],[1204.9575],[27.7],[-16.7],[44.4],[18.516666],[-8.7],[19.966667],[-9.95],[1244.],[133.],[68.],[18.750265],[376.],[236.],[371.],[245.]
1135071208,2007-08-10,2007,Québec,Crepidotus calolepis,CMMF009728,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1135070032,2006-06-02,2006,Québec,Crepidotus calolepis,CMMF008611,POINT (-71.312257 46.907478),21L,-71.3130161072813,46.9059506537654,"-213823,34+327509,31",,,,,M,3,30,C,1A,30.0,MM,55.0,12,30,"{'SB': 0.4, 'EB': 0.1, 'EO': 0.3, 'FX': 0.1, 'PE': 0.1}",0.0017055879880125556,5,1.4184836619456564,[4.0041666],[10.308333],[23.806774],[1172.5466],[25.3],[-18.],[43.3],[16.8],[-4.5333333],[17.983334],[-11.066667],[1333.],[137.],[79.],[16.173788],[395.],[263.],[385.],[285.]
1135070031,2006-05-24,2006,Québec,Crepidotus calolepis,CMMF008577,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40.0,R,65.0,17,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",0.0013566431474561604,4,1.193549604098133,[3.7583332],[10.233334],[23.853924],[1163.6636],[24.8],[-18.1],[42.9],[16.466667],[-4.733333],[17.6],[-11.216666],[1334.],[137.],[80.],[16.411882],[394.],[258.],[385.],[290.]
1135066947,2008-06-29,2008,Québec,Crepidotus calolepis,CMMF010353,POINT (-71.272941 46.862763),21L,-71.2878896255371,46.8588775821407,"-212192,03+322288,97",,,,,F,3,30,B,1A,30.0,F,55.0,12,30,"{'FH': 0.5, 'EO': 0.2, 'PA': 0.2, 'EB': 0.1}",0.015445318947495535,4,1.2206072645530173,[4.7458334],[10.591666],[23.963047],[1199.5045],[26.8],[-17.4],[44.199997],[17.8],[-9.283334],[19.183332],[-10.6],[1306.],[136.],[75.],[16.3923],[388.],[259.],[383.],[270.]
617554690,1989-06-02,1989,Québec,Crepidotus calolepis,CMMF000470,POINT (-74.064294 45.659599),31G,-74.0657029048305,45.6588707794673,"-433649,65+201698,55",,,,,F,3,30,A,5S,40.0,F,35.0,13,30,"{'EO': 0.3, 'FI': 0.2, 'FT': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FH': 0.1}",0.0015859753988152387,6,1.6957425341696346,[5.2333336],[10.35],[24.410378],[1162.1421],[25.8],[-16.6],[42.4],[7.633333],[-8.666667],[18.816668],[-9.816667],[1044.],[101.],[63.],[13.959666],[289.],[211.],[287.],[231.]
4852482894,2023-11-05T14:24,2023,Québec,Crepidotus calolepis,https://www.inaturalist.org/observations/190156659,POINT (-75.899895 45.537202),31G,-75.9013694775984,45.5370994712986,"-577700,99+201268,63",,,,,F,1,VIN,D,1AY,30.0,F,85.0,24,VIN,"{'ES': 0.8, 'BJ': 0.1, 'TA': 0.1}",0.001478037997743109,3,0.639031859650177,[4.7999997],[10.416667],[24.395002],[1150.419],[25.5],[-17.2],[42.7],[13.416667],[-9.016667],[18.266666],[-10.033334],[1004.],[96.],[63.],[13.987086],[283.],[198.],[276.],[212.]
617549692,1993-08-04,1993,Québec,Crepidotus calolepis,CMMF001945,POINT (-73.608926 45.76054),31H,-73.6101448212339,45.7622838194135,"-397396,67+210523,01",,,,,F,3,30,A,5A,40.0,F,25.0,16,30,"{'PE': 0.8, 'BP': 0.2}",0.002127541150509704,2,0.5004024235381879,[5.6916666],[10.3],[23.897911],[1171.0675],[26.6],[-16.5],[43.1],[8.25],[-8.383333],[19.45],[-9.383333],[974.],[97.],[53.],[18.221125],[287.],[181.],[263.],[205.]
617547739,1988-07-01,1988,Québec,Crepidotus calolepis,CMMF000011,POINT (-73.662984 45.509625),31H,-73.6639422063629,45.4818540694517,"-403819,23+179708,39",,,EL,,F,2,JIR,A,5A,40.0,F,45.0,18,JIN,"{'EO': 0.3, 'FR': 0.3, 'OR': 0.3, 'FT': 0.1}",0.027787456575808177,4,1.313834033192747,[6.775],[9.916667],[23.555029],[1158.4679],[27.4],[-14.7],[42.1],[19.383333],[-6.833333],[20.483334],[-8.15],[1003.],[97.],[62.],[12.577346],[283.],[207.],[275.],[220.]
