gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
727875708	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15534	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus (Peck) Shear	(Peck) Shear	CA	Highland Creek	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.255102	-77.211968	20.0						1958-09-17	17	9	1958	5248035	5248035	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC041461		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.377Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727868878	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	585	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus (Peck) Shear	(Peck) Shear	CA	Round Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.641168	-77.522964	3980.0						1933-09-07	7	9	1933	5248035	5248035	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC005875				CC0_1_0	Royal Ontario Museum	Jackson, H.S.			2024-01-25T00:59:39.055Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617552093	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000003	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus (Peck) Shear	(Peck) Shear	CA	Grand-Métis	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	48.629789	-68.125325	50.0						1988-06-15	15	6	1988	5248035	5248035	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000003		Archambault, Raymond		CC0_1_0	Université de Montréal Biodiversity Centre	Archambault, Raymond			2024-01-24T16:38:20.336Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548195	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001300	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus (Peck) Shear	(Peck) Shear	CA	Forêt Larose	Ontario	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.371919	-75.171224	7000.0						1991-05-11	11	5	1991	5248035	5248035	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001300		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Rocheleau, Louise			2024-01-24T16:38:17.489Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4973926293	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/248001510	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.586885	-64.974061	61.0						2024-06-18T19:27	18	6	2024	5248035	5248035	HUMAN_OBSERVATION	iNaturalist	Observations	248001510		brantacanadensis1	2024-10-19T02:16:55	CC_BY_NC_4_0	brantacanadensis1	brantacanadensis1			2025-01-14T12:55:04.711Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936080245	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239517634	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.85778	-64.006425	4.0						2024-09-02T15:05:13	2	9	2024	5248035	5248035	HUMAN_OBSERVATION	iNaturalist	Observations	239517634		Rosemary Curley	2024-09-03T00:14:54	CC_BY_NC_4_0	Rosemary Curley	Rosemary Curley			2025-01-14T13:43:34.169Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936054325	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46479604	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.200071	-76.193836	1590.0						2020-05-18	18	5	2020	5248035	5248035	HUMAN_OBSERVATION	iNaturalist	Observations	46479604		rlongair	2020-05-19T12:53:41	CC_BY_NC_4_0	rlongair	rlongair			2025-01-14T12:12:23.073Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936006188	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239678075	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.705832	-64.228361							2024-09-03T12:22:16	3	9	2024	5248035	5248035	HUMAN_OBSERVATION	iNaturalist	Observations	239678075		Julie-Lynn Zahavich	2024-09-03T20:33:56	CC_BY_NC_4_0	Julie-Lynn Zahavich	Julie-Lynn Zahavich			2025-01-14T12:53:26.535Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4935724614	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/217263464	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.586922	-64.974083	4.0						2024-05-15T10:52:14	15	5	2024	5248035	5248035	HUMAN_OBSERVATION	iNaturalist	Observations	217263464		Sheila Furlong	2024-05-21T11:14:16	CC0_1_0	Sheila Furlong	Sheila Furlong			2025-01-14T13:40:36.783Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923998883	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/234227626	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Cryptoporus	Cryptoporus volvatus		SPECIES	Cryptoporus volvatus (Peck) Shear	Cryptoporus volvatus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.2534	-76.775683	31.0						2024-05-04T15:23	4	5	2024	5248035	5248035	HUMAN_OBSERVATION	iNaturalist	Observations	234227626		bogend	2024-08-06T22:02:28	CC_BY_NC_4_0	bogend	bogend			2025-01-14T13:42:55.926Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
