gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4116611301,2023-05-16T08:42,2023,Québec,Cryptoporus volvatus,https://www.inaturalist.org/observations/161977274,POINT (-69.885047 47.256293),21N,-69.8839433930709,47.257187506143,"-104499,51+363351,38",,,EL,1985.0,M,2,VIR,A,1A,40,MR,65.0,VIN,"{'EB': 0.3, 'ML': 0.1, 'SB': 0.1, 'TO': 0.1, 'BJ': 0.2, 'EO': 0.1, 'PE': 0.1}",7,1.8343719702816235
4908539523,2024-07-01T19:29,2024,Québec,Cryptoporus volvatus,https://www.inaturalist.org/observations/229964776,POINT (-64.222222 48.798411),22A,-64.2223754263717,48.7987971637713,"+312666,20+542366,42",,,EL,1996.0,R,3,JIN,C,8AY,30,R,45.0,JIN,"{'SB': 0.5, 'EB': 0.3, 'BP': 0.2}",3,1.0296530140645737
617552093,1988-06-15,1988,Québec,Cryptoporus volvatus,CMMF000003,POINT (-68.125325 48.629789),22C,-68.1260925867846,48.6297747147885,"+27436,21+514521,03",,,,,R,3,50,A,6S,30,R,65.0,50,"{'EB': 0.5, 'SB': 0.2, 'RX': 0.1, 'PE': 0.2}",4,1.2206072645530175
3902826334,2022-05-25T13:46:45,2022,Québec,Cryptoporus volvatus,https://www.inaturalist.org/observations/118966693,POINT (-69.990286 48.258435),22C,-69.9894350382937,48.257732684293,"-110260,69+474435,16",CHT,,,,M,5,10,D,1AM,30,M,75.0,10,"{'SB': 0.5, 'EB': 0.1, 'RX': 0.1, 'BP': 0.3}",4,1.1682824501765625
4903802757,2024-06-26T08:54,2024,Québec,Cryptoporus volvatus,https://www.inaturalist.org/observations/225399941,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4096743373,2023-04-22T15:22:36,2023,Québec,Cryptoporus volvatus,https://www.inaturalist.org/observations/156138169,POINT (-75.114274 45.607094),31G,-75.1119476935008,45.6041700827468,"-515623,01+202551,41",,,CP,,F,2,JIR,B,5A,30,F,65.0,JIN,"{'FR': 0.4, 'FH': 0.2, 'FT': 0.2, 'EA': 0.1, 'PE': 0.1}",5,1.4708084763221112
3902039300,2022-06-02T14:17:59,2022,Québec,Cryptoporus volvatus,https://www.inaturalist.org/observations/119908439,POINT (-75.777424 45.429367),31G,-75.7788687905645,45.4278884391027,"-569357,60+188140,78",,,,,M,1,VIR,A,5S,20,MR,95.0,VIN,"{'PB': 0.6, 'EO': 0.2, 'FT': 0.1, 'PE': 0.1}",4,1.0888999753452235
3764080032,2022-04-22,2022,Québec,Cryptoporus volvatus,https://www.inaturalist.org/observations/112955703,POINT (-75.121447 45.60303),31G,-75.1223598917104,45.6017182495498,"-516347,63+202378,67",,,CP,,F,2,JIR,A,3AN,30,F,75.0,JIN,"{'PE': 0.3, 'BP': 0.1, 'CR': 0.1, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1, 'PB': 0.2}",7,1.8343719702816235
1412707682,1992-07-20,1992,Québec,Cryptoporus volvatus,CMMF016072,POINT (-75.3111 45.726479),31G,-75.312882575224,45.7212107346019,"-529899,63+217004,21",,,,,F,1,VIN,D,1AY,20,F,95.0,VIN,"{'ES': 0.9, 'FX': 0.1}",2,0.3250829733914482
1412707624,1993-05-25,1993,Québec,Cryptoporus volvatus,CMMF016071,POINT (-75.3111 45.726479),31G,-75.312882575224,45.7212107346019,"-529899,63+217004,21",,,,,F,1,VIN,D,1AY,20,F,95.0,VIN,"{'ES': 0.9, 'FX': 0.1}",2,0.3250829733914482
