gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694159316	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	31673	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	near Forest Ranger School	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.159467	-78.8451	768.0						1961-09-08	8	9	1961	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC160950				CC0_1_0	Royal Ontario Museum	Hawley, J. (?);			2024-01-25T00:59:38.548Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157225	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15344	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	near Clear Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.181674	-78.71438	1822.0						1961-09-13	13	9	1961	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC037691		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.037Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156901	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13600	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	Algonquin Provincial Park, Hwy 60, Mi 20, along abandoned Grand Trunk Railroad	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.551023	-78.639879	175.0						1963-10-26	26	10	1963	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC049084		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Low, Janet			2024-01-25T00:59:41.520Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156752	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	12359	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	Algonquin Provincial Park, Pinetree Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.552345	-78.315954	1323.0						1939-09-16	16	9	1939	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015723		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:38.171Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156749	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	12347	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	Algonquin Provincial Park, Costello Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.597645	-78.32149	648.0						1939-08-25	25	8	1939	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015576		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:38.187Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156744	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	12281	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	Algonquin Provincial Park, Costello Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.597645	-78.32149	648.0						1939-09-03	3	9	1939	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015589		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:41.549Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156725	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	12070	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						1938-09-03	3	9	1938	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015631		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Sprules, W.M.			2024-01-25T00:59:41.029Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156670	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	10960	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	Algonquin Provincial Park, Costello Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.597645	-78.32149	648.0						1939-08-29	29	8	1939	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015585		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.653Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156655	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	10829	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	Algonquin Provincial Park, Brewer Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.589687	-78.306727	635.0						1939-08-31	31	8	1939	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015581		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.495Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156653	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	10825	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Daedaleopsis	Daedaleopsis confragosa		SPECIES	Daedaleopsis confragosa (Bolton) J.Schröt.	Daedaleopsis confragosa (Bolton) J. Schröt.	(Bolton) J. Schröt.	CA	Algonquin Provincial Park, Brewer Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.589687	-78.306727	635.0						1939-08-26	26	8	1939	2545670	2545670	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015577		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.595Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
