gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
617555089,1989-08-23,1989.0,Québec,Daedaleopsis confragosa,CMMF000652,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,8,10,{'RZ': 1.0},0.0033703726164918592,1,-0.0,[4.125],[10.75],[26.54321],[1073.572],[23.8],[-16.7],[40.5],[16.85],[-8.5],[16.85],[-9.650001],[1171.],[132.],[68.],[19.422709],[369.],[225.],[369.],[243.]
5006761428,2024-10-28T11:04,2024.0,Québec,Daedaleopsis confragosa,https://www.inaturalist.org/observations/255406344,POINT (-71.920692 45.37725),21E,-71.9203507263946,45.3786351892353,"-268144,30+160078,82",,,,,F,1,JIN,D,1AM,20.0,F,95.0,22,JIN,"{'ES': 0.4, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EB': 0.1}",0.0014266102801167141,5,1.4708084763221112,[5.383333],[10.616667],[25.644123],[1109.2756],[25.5],[-15.9],[41.4],[18.5],[-7.7166667],[18.5],[-8.916667],[1077.],[130.],[52.],[26.338058],[358.],[178.],[358.],[195.]
4852357171,2024-04-21T08:25:56,2024.0,Québec,Daedaleopsis confragosa,https://www.inaturalist.org/observations/208466766,POINT (-71.87162 45.368866),21E,-71.8718050030406,45.3696206437588,"-264298,05+158889,03",,,,,F,1,50,C,1AY,30.0,F,95.0,22,50,"{'EO': 0.3, 'ES': 0.2, 'FR': 0.2, 'BJ': 0.1, 'PU': 0.1, 'RX': 0.1}",0.0007769899148231572,6,1.6957425341696346,[5.5208335],[10.841667],[26.124498],[1103.9546],[25.7],[-15.8],[41.5],[18.566668],[-7.5166664],[18.566668],[-8.716666],[1025.],[125.],[49.],[27.001026],[342.],[165.],[342.],[183.]
3058729602,2020-09-27T15:26:26,2020.0,Québec,Daedaleopsis confragosa,https://www.inaturalist.org/observations/61853498,POINT (-71.790661 45.154534),21E,-71.78989264194,45.1551075876393,"-259073,62+134723,03",P,,,,M,7,10,C,4GS,20.0,MR,,1,10,{},0.0009588414302308281,0,-0.0,[4.9125],[10.925],[26.646341],[1083.5907],[24.8],[-16.2],[41.],[17.733334],[-7.8500004],[17.733334],[-9.033334],[1154.],[129.],[66.],[19.921534],[366.],[218.],[366.],[239.]
4133881511,2015-09-04T13:37,2015.0,Québec,Daedaleopsis confragosa,https://www.inaturalist.org/observations/153587762,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,20,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",0.001883593060471962,4,1.2798542258336674,[5.0958333],[10.408333],[23.601662],[1202.7251],[27.2],[-16.9],[44.1],[18.216667],[-8.966666],[19.633333],[-10.216666],[1253.],[133.],[71.],[16.758148],[375.],[252.],[370.],[258.]
4133623396,2021-10-12T20:48,2021.0,Québec,Daedaleopsis confragosa,https://www.inaturalist.org/observations/98246735,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,20,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",0.001883593060471962,4,1.2798542258336674,[5.0958333],[10.408333],[23.601662],[1202.7251],[27.2],[-16.9],[44.1],[18.216667],[-8.966666],[19.633333],[-10.216666],[1253.],[133.],[71.],[16.758148],[375.],[252.],[370.],[258.]
3772404504,2021-08-26,2021.0,Québec,Daedaleopsis confragosa,https://www.inaturalist.org/observations/106435129,POINT (-71.312531 46.835263),21L,-71.313144666342,46.8355472848878,"-214209,78+319766,67",,,,,F,2,JIN,D,5A,40.0,F,85.0,18,JIN,"{'EO': 0.2, 'ES': 0.2, 'FT': 0.2, 'PA': 0.2, 'FH': 0.1, 'SB': 0.1}",0.0006763166985418702,6,1.7480673485460894,[4.929167],[10.474999],[23.861048],[1194.1724],[26.8],[-17.1],[43.9],[17.933332],[-9.1],[19.233334],[-10.383333],[1261.],[132.],[71.],[17.008015],[378.],[248.],[369.],[258.]
3712593476,2010-09-24T12:55,2010.0,Québec,Daedaleopsis confragosa,https://www.inaturalist.org/observations/103534874,POINT (-71.516298 46.717886),21L,-71.5161785911166,46.7192707299162,"-230206,92+307500,96",FR,,,,F,3,JIR,A,5A,40.0,F,35.0,12,JIN,"{'EO': 0.3, 'FH': 0.2, 'FN': 0.2, 'FR': 0.2, 'PE': 0.1}",0.0013898688507360882,5,1.5571130980576458,[4.4041667],[10.008333],[23.772764],[1142.4703],[24.8],[-17.3],[42.1],[16.966667],[-4.1833334],[17.816666],[-10.333333],[1170.],[125.],[66.],[18.023716],[351.],[225.],[348.],[243.]
3067840096,2020-09-25,2020.0,Québec,Daedaleopsis confragosa,https://www.inaturalist.org/observations/71734190,POINT (-71.312154 46.834907),21L,-71.313144666342,46.8355472848878,"-214209,78+319766,67",,,,,F,2,JIN,D,5A,40.0,F,85.0,18,JIN,"{'EO': 0.2, 'ES': 0.2, 'FT': 0.2, 'PA': 0.2, 'FH': 0.1, 'SB': 0.1}",0.0011795696413101973,6,1.7480673485460894,[4.929167],[10.474999],[23.861048],[1194.1724],[26.8],[-17.1],[43.9],[17.933332],[-9.1],[19.233334],[-10.383333],[1261.],[132.],[71.],[17.008015],[378.],[248.],[369.],[258.]
2576502079,2017-08-01,2017.0,Québec,Daedaleopsis confragosa,https://www.inaturalist.org/observations/39489115,POINT (-71.30323 46.836272),21L,-71.3035286120169,46.836045867798,"-213476,84+319760,26",,,CP,,F,2,VIR,A,5A,40.0,F,75.0,20,VIN,"{'PE': 0.4, 'FN': 0.2, 'FT': 0.2, 'FH': 0.1, 'EB': 0.1}",0.00037457296942329006,5,1.4708084763221112,[4.9875],[10.508333],[23.882576],[1193.2217],[26.9],[-17.1],[44.],[17.966667],[-9.016666],[19.3],[-10.3],[1261.],[132.],[71.],[17.098019],[378.],[248.],[370.],[257.]
