gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4936612627,2024-08-16T11:08,2024,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/238461923,POINT (-71.913911 45.378178),21E,-71.9137966201445,45.378176253628,"-267644,20+159984,00",,,,,F,2,JIR,B,1AY,30.0,F,85.0,JIN,"{'PE': 0.5, 'EO': 0.2, 'FR': 0.2, 'BG': 0.1}",4,1.2206072645530173
4852348424,2023-08-04T13:49:35,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/176633429,POINT (-71.410994 46.83485),21L,-71.4109384484952,46.8342481052628,"-221662,82+319924,70",,,,,F,2,VIR,B,5S,30.0,F,85.0,VIN,"{'EO': 0.4, 'PE': 0.2, 'BJ': 0.1, 'BP': 0.1, 'FO': 0.1, 'SE': 0.1}",6,1.6094379124341
4172150449,2023-08-01T13:27:33,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/176137353,POINT (-71.109032 46.829987),21L,-71.1113798065887,46.8297584103429,"-199076,86+318587,59",,,,,F,3,JIN,C,8AY,30.0,F,85.0,JIN,"{'ES': 0.4, 'EO': 0.2, 'CR': 0.1, 'FI': 0.1, 'FR': 0.1, 'RX': 0.1}",6,1.6094379124341
4162399290,2023-07-17T14:17,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/173455297,POINT (-71.11245 46.835602),21L,-71.1116629991945,46.830940978755,"-199076,80+318711,35",,,,,M,3,JIN,A,8AM,20.0,MR,75.0,JIN,"{'PU': 0.3, 'SB': 0.2, 'RX': 0.1, 'EO': 0.2, 'FT': 0.2}",5,1.5571130980576458
4153802924,2023-07-09T11:02:55,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/171972908,POINT (-71.9022 46.040961),21L,-71.9020170918864,46.0415695541103,"-263305,31+233539,81",,,,,F,2,JIR,C,1AY,20.0,F,85.0,50,"{'PE': 0.5, 'ES': 0.3, 'EO': 0.2}",3,1.0296530140645737
4137673641,2022-07-30T17:15:16,2022,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/128734541,POINT (-70.962821 46.973086),21L,-70.9634799199323,46.9745444552187,"-187327,91+333944,09",,,,,F,2,VIN,F,6SY,20.0,F,65.0,VIN,"{'ES': 0.6, 'FT': 0.2, 'PE': 0.1, 'RX': 0.1}",4,1.0888999753452235
1135071236,2007-08-14,2007,Québec,Entoloma murrayi,CMMF009750,POINT (-71.290968 46.891264),21L,-71.2882988755072,46.8957546448817,"-212172,66+326162,27",,,,,M,2,VIR,B,1A,30.0,MR,75.0,VIN,"{'EP': 0.4, 'SB': 0.2, 'RX': 0.1, 'EO': 0.2, 'FT': 0.1}",5,1.4708084763221112
1135070376,2006-08-08,2006,Québec,Entoloma murrayi,CMMF008904,POINT (-71.307678 46.86201),21L,-71.3127227204637,46.8632652548053,"-214060,31+322843,05",,,,,M,3,JIR,A,5A,40.0,MF,35.0,JIN,"{'PE': 0.3, 'FN': 0.2, 'FO': 0.2, 'SB': 0.2, 'RX': 0.1}",5,1.5571130980576458
1135067015,2008-07-24,2008,Québec,Entoloma murrayi,CMMF010420,POINT (-71.30267 46.887441),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
4171933125,2023-08-01T13:18:22,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/176205628,POINT (-76.539878 45.851272),31F,-76.5396412438948,45.8511152774138,"-623325,40+241256,81",CPR,2006.0,,,F,5,10,C,2BE,30.0,F,95.0,10,"{'FX': 0.9, 'RX': 0.1}",2,0.3250829733914482
4171883619,2023-07-30T16:36:17,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/175874386,POINT (-76.234897 45.722073),31F,-76.2341026638102,45.7223032658621,"-601270,69+224401,58",,,CP,,F,2,VIN,D,R1A,20.0,F,65.0,VIN,"{'CR': 0.6, 'ES': 0.2, 'FT': 0.1, 'HG': 0.1}",4,1.0888999753452235
4171802526,2023-07-29T14:43,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/175655465,POINT (-76.094123 45.623406),31F,-76.0943187742209,45.6228377950875,"-591622,02+212242,37",,,,,F,2,VIN,D,1AM,30.0,F,95.0,VIN,"{'CR': 0.5, 'ES': 0.3, 'FI': 0.1, 'FT': 0.1}",4,1.1682824501765625
4978541933,2024-09-01T12:29:47,2024,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/239552290,POINT (-74.196841 45.638551),31G,-74.1951961628501,45.6401030711659,"-443884,66+200413,17",,,,,F,3,JIR,B,1A,30.0,F,45.0,JIN,"{'EO': 0.4, 'ES': 0.2, 'FT': 0.2, 'CR': 0.1, 'FX': 0.1}",5,1.4708084763221112
4400023420,2023-08-17T12:57:43,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/178862493,POINT (-75.669919 45.655116),31G,-75.6686714288218,45.6538475567106,"-558198,70+212214,97",,,CP,,F,2,VIR,D,R1A,20.0,F,65.0,VIN,"{'CR': 0.7, 'ES': 0.1, 'FI': 0.1, 'FT': 0.1}",4,0.9404479886553263
4177412192,2023-08-13T12:34,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/178288258,POINT (-74.019524 45.924599),31G,-74.0189761254361,45.9266185618153,"-427797,48+230989,62",,,,,F,2,VIR,D,1A,31.0,F,75.0,VIN,"{'BP': 0.4, 'BJ': 0.1, 'EO': 0.1, 'ES': 0.1, 'PE': 0.1, 'PB': 0.1, 'RX': 0.1}",7,1.7480673485460891
4177031661,2023-08-06T12:24:59,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/176990814,POINT (-75.916138 45.542122),31G,-75.9160890608295,45.5426719601185,"-578555,59+201911,84",,,,,F,1,VIN,D,R1A,20.0,F,85.0,VIN,"{'ES': 0.4, 'CR': 0.3, 'FT': 0.1, 'HG': 0.1, 'TA': 0.1}",5,1.4184836619456564
4172127191,2023-07-30T10:27:38,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/175733525,POINT (-74.114233 45.702179),31G,-74.114563209196,45.7025368799599,"-437207,07+206823,89",,,,,F,2,JIR,C,5S,31.0,F,75.0,JIN,"{'BJ': 0.2, 'EO': 0.2, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'PB': 0.1}",6,1.7480673485460894
4171791147,2023-07-30T10:15:26,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/175731655,POINT (-74.098643 45.656269),31G,-74.0983350922332,45.6638092339809,"-436059,44+202398,93",,,,,F,1,VIN,B,1A,30.0,F,95.0,VIN,"{'ES': 0.8, 'FT': 0.2}",2,0.5004024235381879
4171642946,2023-08-02T12:23,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/176292830,POINT (-75.621578 45.495415),31G,-75.6235602796012,45.494873372584,"-556390,89+194347,35",,,CP,,F,3,JIR,B,5S,20.0,F,75.0,JIN,"{'ES': 0.6, 'FT': 0.2, 'BP': 0.1, 'PE': 0.1}",4,1.0888999753452235
4171270093,2023-08-02T12:23:52,2023,Québec,Entoloma murrayi,https://www.inaturalist.org/observations/176292923,POINT (-75.62151 45.495493),31G,-75.6235602796012,45.494873372584,"-556390,89+194347,35",,,CP,,F,3,JIR,B,5S,20.0,F,75.0,JIN,"{'ES': 0.6, 'FT': 0.2, 'BP': 0.1, 'PE': 0.1}",4,1.0888999753452235
