gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
5008359869,2024-10-01T09:56,2024.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/255508495,POINT (-71.199622 45.476181),21E,-71.2014353494314,45.4750786645612,"-211247,66+168293,87",,,,,F,2,JIN,C,3AN,40.0,F,75.0,17,JIN,"{'EO': 0.3, 'BJ': 0.2, 'PE': 0.2, 'ES': 0.1, 'SB': 0.2}",0.002122116768697253,5,1.5571130980576458,[3.5041666],[10.325],[25.74813],[1074.467],[22.8],[-17.3],[40.1],[16.2],[-4.3999996],[16.2],[-10.316667],[1357.],[144.],[87.],[14.327654],[396.],[280.],[396.],[302.]
5007672796,2023-09-05T12:17,2023.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/257186937,POINT (-71.170442 45.481375),21E,-71.1681616318409,45.4815931513687,"-208784,88+169000,50",,,,,F,2,VIN,D,1AY,30.0,F,85.0,20,VIN,"{'ES': 0.6, 'BJ': 0.2, 'EO': 0.1, 'HG': 0.1}",0.0022907791165155274,4,1.0888999753452235,[3.3125],[10.175],[25.629723],[1068.2933],[22.4],[-17.3],[39.699997],[15.916666],[-4.6],[15.916666],[-10.416666],[1395.],[146.],[91.],[13.357707],[405.],[295.],[405.],[313.]
4852273320,2024-04-17T16:53:27,2024.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/207821374,POINT (-71.875196 45.370961),21E,-71.8746492467196,45.3714818827998,"-264612,25+159092,89",,,,,F,1,50,C,1AY,30.0,F,95.0,23,50,"{'PE': 0.4, 'EO': 0.3, 'ES': 0.2, 'FR': 0.1}",0.0007551543158565282,4,1.2798542258336674,[5.454167],[10.725],[25.968523],[1104.3601],[25.5],[-15.8],[41.3],[18.5],[-7.6],[18.5],[-8.783333],[1032.],[127.],[49.],[27.99677],[348.],[164.],[348.],[183.]
4607638073,2024-04-08T13:13:59,2024.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/206102347,POINT (-71.489586 45.200211),21E,-71.489781999994,45.1981608047126,"-235256,44+138477,15",P,,,,R,3,30,B,1A,30.0,R,85.0,13,30,{'EB': 1.0},0.002059542841053144,1,-0.0,[3.6333334],[10.216666],[25.60568],[1076.1808],[23.1],[-16.8],[39.9],[16.416666],[-4.233333],[16.416666],[-10.133333],[1217.],[134.],[72.],[18.025442],[376.],[236.],[376.],[257.]
4414232378,2023-09-12T13:42:39,2023.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/182971246,POINT (-71.848885 45.364929),21E,-71.8501108553304,45.3633043452582,"-262699,00+158070,64",,,,,M,1,VIN,D,2AE,10.0,MM,95.0,25,VIN,"{'PU': 0.3, 'EB': 0.1, 'PB': 0.1, 'EO': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1}",0.002035245518634196,7,1.8343719702816235,[5.6],[11.083334],[26.515152],[1103.1299],[25.9],[-15.9],[41.8],[18.633333],[-7.4666667],[18.633333],[-8.633333],[1039.],[122.],[53.],[23.698547],[338.],[178.],[338.],[199.]
4165593524,2023-05-11T14:44,2023.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/161257913,POINT (-71.21459 45.424976),21E,-71.2149150415188,45.4259085873542,"-212767,53+162985,49",,,,,M,3,50,B,1A,40.0,MR,75.0,16,50,"{'SB': 0.3, 'TO': 0.2, 'EB': 0.1, 'BJ': 0.2, 'EO': 0.2}",0.0009876088102846088,5,1.5571130980576458,[3.675],[10.666667],[26.272577],[1083.8977],[23.2],[-17.4],[40.6],[16.45],[-4.2166667],[16.45],[-10.316667],[1295.],[138.],[82.],[14.645503],[382.],[265.],[382.],[286.]
4165510339,2021-10-02T13:55:26,2021.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/97094414,POINT (-70.985831 45.4011),21E,-70.9868711758757,45.4005526633609,"-194918,67+159476,64",,,,,F,2,JIN,D,1A,30.0,F,65.0,17,JIN,"{'ES': 0.4, 'BJ': 0.2, 'EO': 0.2, 'BP': 0.1, 'SE': 0.1}",0.0011753906792611065,5,1.4708084763221112,[3.3708334],[10.875],[26.719902],[1078.3182],[23.],[-17.7],[40.7],[16.133333],[-4.516667],[16.133333],[-10.466667],[1277.],[131.],[81.],[14.539035],[380.],[259.],[380.],[286.]
4153859583,2023-05-19T16:58:42,2023.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/162588535,POINT (-71.872963 45.448825),21E,-71.8727006311185,45.450402736272,"-264047,77+167856,74",,,,,M,2,JIR,A,1A,40.0,MF,55.0,18,JIN,"{'PE': 0.4, 'EO': 0.2, 'FO': 0.1, 'PU': 0.1, 'SB': 0.1, 'TO': 0.1}",0.0015994027553909457,6,1.6094379124341,[5.1083336],[10.783333],[25.983936],[1102.2391],[25.2],[-16.3],[41.5],[18.1],[-8.],[18.1],[-9.133333],[1044.],[127.],[50.],[26.93489],[350.],[169.],[350.],[188.]
4153661439,2023-04-26T15:39:58,2023.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/156781602,POINT (-71.904908 45.383727),21E,-71.9045144444585,45.3827245136886,"-266893,10+160453,27",,,,,F,2,JIN,C,1AY,30.0,F,95.0,19,JIN,"{'EO': 0.4, 'FR': 0.2, 'BG': 0.1, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1}",0.0010769701800860977,6,1.6094379124341,[5.679167],[10.841666],[25.9992],[1114.0272],[26.],[-15.7],[41.7],[18.85],[-7.483333],[18.85],[-8.666667],[1043.],[127.],[48.],[28.065313],[354.],[166.],[354.],[180.]
4028998628,2021-09-04T09:21:36,2021.0,Québec,Fomes fomentarius,https://www.inaturalist.org/observations/94099475,POINT (-71.968193 45.337937),21E,-71.9676611871327,45.3381241921946,"-272081,00+155567,40",,,,,F,2,50,B,1A,30.0,F,95.0,19,50,"{'EO': 0.5, 'PE': 0.2, 'BP': 0.1, 'FR': 0.1, 'RX': 0.1}",0.0005637959236632855,5,1.3592367006650063,[5.179167],[10.558333],[25.689375],[1096.4746],[25.1],[-16.],[41.1],[18.133333],[-7.8],[18.133333],[-8.95],[1078.],[126.],[54.],[24.571716],[352.],[184.],[352.],[203.]
