gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
3911991996,2022-09-13T16:13:37,2022,Québec,Grifola frondosa,https://www.inaturalist.org/observations/134913426,POINT (-71.828652 45.356979),21E,-71.8295349398868,45.3577367584084,"-261143,91+157402,40",,,,,R,3,30,C,1A,33.0,R,25.0,30,"{'PB': 0.9, 'EO': 0.1}",2,0.3250829733914482
2901541120,2020-10-20T10:05:18,2020,Québec,Grifola frondosa,https://www.inaturalist.org/observations/63090373,POINT (-71.828651 45.356972),21E,-71.8295349398868,45.3577367584084,"-261143,91+157402,40",,,,,R,3,30,C,1A,33.0,R,25.0,30,"{'PB': 0.9, 'EO': 0.1}",2,0.3250829733914482
4950180258,2024-09-23T10:00:10,2024,Québec,Grifola frondosa,https://www.inaturalist.org/observations/243663194,POINT (-70.794983 46.915212),21L,-70.7951648776477,46.9138668391224,"-174499,03+327052,39",,,,,F,1,VIN,A,5S,30.0,F,85.0,VIN,"{'ES': 0.7, 'FT': 0.2, 'RX': 0.1}",3,0.8018185525433372
4909239295,2023-09-20T12:22,2023,Québec,Grifola frondosa,https://www.inaturalist.org/observations/224668472,POINT (-71.544568 46.714771),21L,-71.5435192968227,46.7138835638328,"-232401,58+306898,12",,,CP,,F,2,VIN,D,5S,20.0,F,75.0,VIN,"{'ES': 0.4, 'FT': 0.4, 'EO': 0.2}",3,1.0549201679861442
4018310646,2022-09-11T10:57,2022,Québec,Grifola frondosa,https://www.inaturalist.org/observations/134737373,POINT (-71.311422 46.750752),21L,-71.3106258668917,46.7504886831594,"-214386,29+310326,11",,,,,F,2,JIN,C,1AM,20.0,F,75.0,JIN,"{'CR': 0.5, 'ES': 0.2, 'FT': 0.2, 'EO': 0.1}",4,1.2206072645530173
3925440711,2022-09-29T09:37:10,2022,Québec,Grifola frondosa,https://www.inaturalist.org/observations/137073768,POINT (-71.394427 46.743685),21L,-71.3935134640979,46.7435998450833,"-220767,73+309784,98",,,,,M,2,JIR,C,2A,20.0,MF,75.0,JIN,"{'FT': 0.4, 'EO': 0.2, 'ES': 0.1, 'PB': 0.2, 'SE': 0.1}",5,1.4708084763221112
3385119286,2021-10-04T07:58:48,2021,Québec,Grifola frondosa,https://www.inaturalist.org/observations/97136472,POINT (-71.405113 46.795413),21L,-71.4000505713725,46.7920637620408,"-221024,24+315211,18",,,,,F,2,JIR,A,5S,20.0,F,75.0,JIN,"{'EO': 0.5, 'BP': 0.3, 'FT': 0.1, 'PE': 0.1}",4,1.1682824501765625
4976505335,2024-10-25T12:49:44,2024,Québec,Grifola frondosa,https://www.inaturalist.org/observations/249042146,POINT (-75.128425 45.834297),31G,-75.1304861889508,45.8348104928011,"-514572,17+228148,97",,,,,F,2,JIN,D,1AY,20.0,F,95.0,JIN,"{'ES': 0.5, 'FT': 0.3, 'BP': 0.1, 'PE': 0.1}",4,1.1682824501765625
4950520353,2024-09-19T12:31:26,2024,Québec,Grifola frondosa,https://www.inaturalist.org/observations/242726597,POINT (-75.801585 45.462513),31G,-75.8034574301445,45.4622763802587,"-571013,32+192135,18",,,CP,,F,2,VIR,C,1AY,20.0,F,65.0,VIN,"{'ES': 0.5, 'CR': 0.2, 'FR': 0.1, 'FT': 0.1, 'TA': 0.1}",5,1.3592367006650063
4945912489,2024-09-01T11:48:24,2024,Québec,Grifola frondosa,https://www.inaturalist.org/observations/239237568,POINT (-75.818753 45.5088),31G,-75.8191764800172,45.5084072730919,"-571487,87+197100,45",,,,,F,1,VIN,D,1AY,30.0,F,85.0,VIN,"{'ES': 0.7, 'CR': 0.1, 'FT': 0.1, 'PU': 0.1}",4,0.9404479886553263
4945547004,2024-09-08T09:21:05,2024,Québec,Grifola frondosa,https://www.inaturalist.org/observations/240535411,POINT (-75.785011 45.477025),31G,-75.786132911995,45.473214354634,"-569389,13+193210,00",,,CP,,F,3,JIR,D,1AY,30.0,F,85.0,JIN,"{'ES': 0.3, 'CR': 0.2, 'FT': 0.2, 'BP': 0.1, 'FR': 0.1, 'PE': 0.1}",6,1.6957425341696346
4416890607,2023-09-03T12:12:27,2023,Québec,Grifola frondosa,https://www.inaturalist.org/observations/181636249,POINT (-75.766309 45.552001),31G,-75.767438929491,45.5530571578959,"-567018,12+201783,02",,,,,F,2,JIN,B,5A,40.0,F,85.0,JIN,"{'ER': 0.3, 'BJ': 0.2, 'FH': 0.1, 'FI': 0.1, 'FO': 0.1, 'FT': 0.1, 'TA': 0.1}",7,1.8343719702816235
4405458317,2023-08-28T11:42:31,2023,Québec,Grifola frondosa,https://www.inaturalist.org/observations/180634013,POINT (-75.858645 45.493685),31G,-75.8580663594996,45.494665488672,"-574755,02+196166,73",,,CP,,F,1,VIN,D,1AY,20.0,F,65.0,VIN,"{'HG': 0.4, 'ES': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'FT': 0.1}",6,1.6094379124341
3925139695,2022-09-28T17:30:14,2022,Québec,Grifola frondosa,https://www.inaturalist.org/observations/136865928,POINT (-75.937058 45.639237),31G,-75.9373158689767,45.6390218944848,"-579351,95+212692,77",,,,,F,2,VIR,F,1AM,20.0,F,75.0,VIN,"{'CR': 0.7, 'FT': 0.1, 'PB': 0.2}",3,0.8018185525433373
3925075676,2022-09-25T11:31:47,2022,Québec,Grifola frondosa,https://www.inaturalist.org/observations/136443945,POINT (-75.806563 45.470353),31G,-75.8062407573983,45.4711404176116,"-570975,81+193029,42",,,,,F,2,VIN,C,1AY,30.0,F,85.0,VIN,"{'CR': 0.7, 'EO': 0.1, 'ES': 0.1, 'FX': 0.1}",4,0.9404479886553263
3915588255,2022-09-25T15:25:43,2022,Québec,Grifola frondosa,https://www.inaturalist.org/observations/136513965,POINT (-75.988663 45.616603),31G,-75.9872515173428,45.6174013859475,"-583370,46+210758,99",,,,,F,1,VIN,D,1AY,30.0,F,95.0,VIN,"{'ES': 0.4, 'CR': 0.2, 'FT': 0.2, 'FI': 0.1, 'TA': 0.1}",5,1.4708084763221112
3384449345,2021-09-26T11:47:29,2021,Québec,Grifola frondosa,https://www.inaturalist.org/observations/96283559,POINT (-75.843031 45.492369),31G,-75.8427012998823,45.4934097733624,"-573521,60+195821,15",,,,,M,1,JIN,C,1A,30.0,MR,85.0,JIN,"{'PB': 0.6, 'PR': 0.1, 'ER': 0.1, 'FI': 0.1, 'FT': 0.1}",5,1.2275294114572126
2864561328,2018-10-04T12:09,2018,Québec,Grifola frondosa,https://www.inaturalist.org/observations/27511692,POINT (-75.807625 45.465575),31G,-75.8064742780612,45.4659925721056,"-570891,06+192521,75",,,,,F,2,VIN,C,1AM,20.0,F,85.0,VIN,"{'CR': 0.7, 'ES': 0.2, 'FX': 0.1}",3,0.8018185525433372
1135068608,2005-09-24,2005,Québec,Grifola frondosa,CMMF007130,POINT (-74.2185 45.683917),31G,-74.2184894361057,45.6817433787633,"-445317,70+205176,03",,,,,F,2,JIN,A,3AN,50.0,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EA': 0.1, 'FT': 0.1, 'PB': 0.1}",7,1.8343719702816235
617550490,1994-09-06,1994,Québec,Grifola frondosa,CMMF002300,POINT (-73.477185 45.544154),31H,-73.4781398017723,45.5453502837324,"-388807,61+185682,18",,,,,F,3,30,A,1A,40.0,F,75.0,30,"{'EO': 0.3, 'EA': 0.2, 'FR': 0.2, 'FT': 0.1, 'PE': 0.1, 'PL': 0.1}",6,1.6957425341696346
4946204283,2024-09-15T16:27:39,2024,Québec,Grifola frondosa,https://www.inaturalist.org/observations/242087366,POINT (-73.314531 45.544319),31H,-73.3137864303919,45.5434532692147,"-376128,14+184600,80",,,,,F,2,JIR,C,1AY,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'CR': 0.1, 'FH': 0.1, 'RX': 0.1}",6,1.6094379124341
