gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4400038019,2023-08-19T15:50:31,2023,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/179211794,POINT (-71.403295 45.762442),21E,-71.4058275854024,45.761936635568,"-226130,23+200885,99",P,,,,R,2,30,B,1A,30.0,R,75.0,30,"{'RZ': 0.9, 'FT': 0.1}",2,0.3250829733914482
4440936389,2023-10-29T12:55:47,2023,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/190696238,POINT (-71.537924 46.717949),21L,-71.5394759255111,46.7169959407612,"-232076,74+307276,72",,,,,M,3,JIR,A,5A,30.0,MF,85.0,JIN,"{'PE': 0.4, 'EO': 0.2, 'BG': 0.1, 'SB': 0.2, 'TO': 0.1}",5,1.4708084763221112
4006509824,2022-09-02,2022,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/144421807,POINT (-71.311982 46.833643),21L,-71.3134622969858,46.8336640369842,"-214155,06+319293,86",,,,,F,2,VIR,B,5A,31.0,F,65.0,VIN,"{'PE': 0.5, 'FT': 0.2, 'FH': 0.1, 'FN': 0.1, 'SE': 0.1}",5,1.3592367006650063
3903565570,2022-08-29T14:38:24,2022,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/133101155,POINT (-71.32135 46.916844),21L,-71.3235645453214,46.9154430349879,"-214655,84+328664,39",,,,,M,2,JIR,D,2BE,20.0,MF,75.0,JIN,"{'EO': 0.4, 'PE': 0.2, 'BJ': 0.1, 'SE': 0.2, 'EP': 0.1}",5,1.4708084763221112
2988291465,2012-09-02,2012,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/41356783,POINT (-71.339615 46.832927),21L,-71.3394069794699,46.8330822238902,"-216340,75+319597,57",,,CP,,M,2,JIR,A,5A,30.0,MF,65.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BJ': 0.1, 'FN': 0.1, 'EB': 0.2, 'SB': 0.1}",6,1.6957425341696346
2597693168,2012-09-02,2012,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/41356728,POINT (-71.341052 46.833174),21L,-71.3409354138174,46.8322890912498,"-216269,90+319516,03",,,,,F,2,50,A,5A,30.0,F,75.0,50,"{'PE': 0.4, 'EO': 0.3, 'BP': 0.2, 'RX': 0.1}",4,1.2798542258336674
1135071283,2007-08-30,2007,Québec,Guepinia helvelloides,CMMF009905,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135070227,2006-07-29,2006,Québec,Guepinia helvelloides,CMMF008826,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
4021970346,2017-09-08,2017,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/41296682,POINT (-71.39929 47.007789),21M,-71.3996584438697,47.0069929906019,"-220023,91+339042,58",,,CP,,F,1,VIN,D,1A,30.0,F,65.0,VIN,"{'ES': 0.8, 'BJ': 0.1, 'HG': 0.1}",3,0.639031859650177
3923369587,2022-08-23T12:39:45,2022,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/132196030,POINT (-70.366387 47.462742),21M,-70.3678173690282,47.4630745697993,"-140434,12+387008,21",,,,,M,2,VIR,F,2BD,20.0,MF,75.0,VIN,"{'PE': 0.3, 'BP': 0.2, 'BJ': 0.1, 'ES': 0.1, 'PB': 0.2, 'SE': 0.1}",6,1.6957425341696346
