gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
727874361	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13166	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Boletus cyanescens Bull. ex Fr.	Boletus cyanescens Bull. Ex Fr.	Bull. Ex Fr.	CA	Algonquin Provincial Park, Whitegull Lake Portage	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.647228	-78.453669	433.0						1954-08-18	18	8	1954	8321224	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC030379		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.734Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694158795	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	28306	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull.) Quél.	(Bull.) Quél.	CA	Oxbow Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.436105	-78.96698	1427.0						1941-08-13	13	8	1941	2524265	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC017536		Snell, W.H.		CC0_1_0	Royal Ontario Museum	Cain, R.F.;			2024-01-25T00:59:39.275Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694158782	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	28231	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull.) Quél.	(Bull.) Quél.	CA	Oxbow Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.436105	-78.96698	1427.0						1941-08-21	21	8	1941	2524265	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC017544		Snell, W.H.		CC0_1_0	Royal Ontario Museum	Cain, R.F.;			2024-01-25T00:59:39.019Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157151	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14592	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull. Ex. Fr.) Quel.	(Bull. Ex. Fr.) Quel.	CA	Clear Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.181674	-78.71438	911.0						1961-09-13	13	9	1961	2524265	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC037788		Lemke, P.A.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.870Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157050	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14220	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull. Ex. Fr.) Quel.	(Bull. Ex. Fr.) Quel.	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1967-09-14	14	9	1967	2524265	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC050220		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.370Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157049	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14219	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull. Ex. Fr.) Quel.	(Bull. Ex. Fr.) Quel.	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1967-09-15	15	9	1967	2524265	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC050135		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.367Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156968	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13903	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull.) Quél.	(Bull.) Quél.	CA	Algonquin Provincial Park	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.759859	-78.376465	67511.0						2007-10-05	5	10	2007	2524265	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC157025	ALG07_201			CC0_1_0	Royal Ontario Museum	Maryna Didukh; Dentiger Bryn			2024-01-25T00:59:38.809Z	StillImage	COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156852	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13303	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull.) Quél.	(Bull.) Quél.	CA	Algonquin Provincial Park, Pinetree Lake Portage	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.555711	-78.335009	1521.0						1958-09-09	9	9	1958	2524265	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC034012		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:41.011Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156834	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13156	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull.) Quél.	(Bull.) Quél.	CA	Algonquin Provincial Park, Zenobia Creek	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.625796	-78.411848	190.0						1954-09-19	19	9	1954	2524265	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC030500		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.746Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156691	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	11356	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull.) Quél.	(Bull.) Quél.	CA	Algonquin Provincial Park, Pinetree Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.552345	-78.315954	1323.0						1939-09-11	11	9	1939	2524265	2524265	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015703		Snell, W.H.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:38.887Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617552016	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002960	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull.) Quél.	(Bull.) Quél.	CA	Mont-Saint-Hilaire	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.569155	-73.169757	7000.0						1996-09-18	18	9	1996	2524265	2524265	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002960		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.768Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550317	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002220	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull.) Quél.	(Bull.) Quél.	CA	Knowlton	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.21836	-72.508084	2000.0						1994-07-30	30	7	1994	2524265	2524265	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002220		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.321Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547632	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001051	Fungi	Basidiomycota	Agaricomycetes	Boletales	Gyroporaceae	Gyroporus	Gyroporus cyanescens		SPECIES	Gyroporus cyanescens (Bull.) Quél.	Gyroporus cyanescens (Bull.) Quél.	(Bull.) Quél.	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1990-07-27	27	7	1990	2524265	2524265	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001051		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.477Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
