gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4413666658,2023-09-16T07:27:23,2023,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/183491229,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",5,1.4708084763221112
4597264570,2023-10-18,2023,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/192823291,POINT (-71.234765 46.912338),21L,-71.2329690657498,46.9118189885219,"-207678,18+327864,00",,,CP,,F,2,VIR,C,1A,30.0,F,75.0,VIN,"{'ES': 0.4, 'HG': 0.3, 'EO': 0.2, 'BJ': 0.1}",4,1.2798542258336674
4535918408,2023-08-06,2023,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/200711991,POINT (-71.219318 46.913023),21L,-71.2183948270753,46.9132034268062,"-206672,22+328104,43",,,DP,,F,2,VIN,C,1A,30.0,F,75.0,VIN,"{'HG': 0.6, 'ES': 0.2, 'BJ': 0.1, 'EO': 0.1}",4,1.0888999753452235
4535734564,2023-08-06,2023,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/201115253,POINT (-71.231114 46.910765),21L,-71.2300431563054,46.9122546066695,"-207559,90+328029,91",,,,,F,3,JIN,B,1A,30.0,F,85.0,JIN,"{'BJ': 0.3, 'BP': 0.2, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SE': 0.1}",6,1.6957425341696346
4535726958,2023-08-06,2023,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/201250699,POINT (-71.234609 46.912658),21L,-71.2329690657498,46.9118189885219,"-207678,18+327864,00",,,CP,,F,2,VIR,C,1A,30.0,F,75.0,VIN,"{'ES': 0.4, 'HG': 0.3, 'EO': 0.2, 'BJ': 0.1}",4,1.2798542258336674
4522769329,2023-08-21,2023,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/199099698,POINT (-71.238685 46.91679),21L,-71.237950637423,46.9175805222307,"-208121,73+328557,01",,,,,M,3,JIN,B,1A,30.0,MR,75.0,JIN,"{'SB': 0.3, 'EP': 0.2, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1, 'PE': 0.1}",6,1.6957425341696346
4516684458,2023-10-02,2023,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/193481691,POINT (-71.230922 46.910539),21L,-71.2300431563054,46.9122546066695,"-207559,90+328029,91",,,,,F,3,JIN,B,1A,30.0,F,85.0,JIN,"{'BJ': 0.3, 'BP': 0.2, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SE': 0.1}",6,1.6957425341696346
4516211886,2023-09-26T12:34:10,2023,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/193082843,POINT (-71.59768 46.934696),21L,-71.5987761369237,46.9339089231946,"-235476,39+331573,97",CPR,1997.0,,,M,6,10,D,1A,30.0,MF,,10,{},0,-0.0
4091841504,2022-08-29,2022,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/144675521,POINT (-71.234828 46.913713),21L,-71.2332257529369,46.914210028756,"-207877,96+328379,51",,,CP,,F,1,VIN,C,1A,30.0,F,75.0,VIN,"{'ES': 0.6, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1}",4,1.0888999753452235
4091436369,2020-09-16T11:59:16,2020,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/84392799,POINT (-71.231117 46.908438),21L,-71.2288512800602,46.9098094179696,"-207487,21+327754,45",,,,,M,3,JIN,B,1A,30.0,MF,85.0,JIN,"{'EO': 0.3, 'BP': 0.2, 'BJ': 0.1, 'SB': 0.3, 'EP': 0.1}",5,1.5047882836811908
3994237661,2022-09-11,2022,Québec,Gyroporus cyanescens,https://www.inaturalist.org/observations/143502754,POINT (-71.231918 46.915154),21L,-71.2309141052748,46.9150578981466,"-207618,19+328344,03",,,,,M,2,VIN,B,1A,30.0,MR,75.0,VIN,"{'SB': 0.3, 'EP': 0.2, 'TO': 0.1, 'BJ': 0.2, 'BP': 0.1, 'EO': 0.1}",6,1.6957425341696346
