gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4994633099,2024-09-08T15:13,2024,Québec,Harrya chromipes,https://www.inaturalist.org/observations/254151290,POINT (-71.913108 45.378478),21E,-71.9137966201445,45.378176253628,"-267644,20+159984,00",,,,,F,2,JIR,B,1AY,30.0,F,85.0,JIN,"{'PE': 0.5, 'EO': 0.2, 'FR': 0.2, 'BG': 0.1}",4,1.2206072645530173
4936101302,2024-08-23T08:28:50,2024,Québec,Harrya chromipes,https://www.inaturalist.org/observations/237457907,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",5,1.4708084763221112
4926087886,2024-08-18T10:28:57,2024,Québec,Harrya chromipes,https://www.inaturalist.org/observations/236533992,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",5,1.4708084763221112
4424587583,2023-08-06T08:15:02,2023,Québec,Harrya chromipes,https://www.inaturalist.org/observations/176954351,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",5,1.4708084763221112
4407547017,2023-08-28T11:01,2023,Québec,Harrya chromipes,https://www.inaturalist.org/observations/181631410,POINT (-71.742964 45.345705),21E,-71.7433375869011,45.3451778544198,"-254379,59+155688,65",,,,,M,2,JIN,B,2A,20.0,MF,75.0,JIN,"{'EO': 0.5, 'BJ': 0.1, 'BP': 0.1, 'EB': 0.1, 'EU': 0.1, 'SB': 0.1}",6,1.4978661367769952
4407167726,2023-08-27T10:28:20,2023,Québec,Harrya chromipes,https://www.inaturalist.org/observations/180842774,POINT (-71.750738 45.346367),21E,-71.7510711356504,45.3460705860987,"-255039,28+155798,13",,,,,M,1,JIN,B,2A,20.0,MF,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'FT': 0.1, 'EB': 0.1, 'PB': 0.1, 'SB': 0.1}",7,1.8343719702816235
4407155984,2023-08-28T11:01:34,2023,Québec,Harrya chromipes,https://www.inaturalist.org/observations/181012071,POINT (-71.750817 45.346447),21E,-71.7510711356504,45.3460705860987,"-255039,28+155798,13",,,,,M,1,JIN,B,2A,20.0,MF,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'FT': 0.1, 'EB': 0.1, 'PB': 0.1, 'SB': 0.1}",7,1.8343719702816235
2580078925,2019-08-24T11:04,2019,Québec,Harrya chromipes,https://www.inaturalist.org/observations/38805517,POINT (-71.1695 45.8215),21E,-71.1691945990486,45.8221141048857,"-207453,29+206848,77",,,,,M,2,JIN,B,1A,40.0,MF,85.0,JIN,"{'EO': 0.3, 'BP': 0.2, 'PE': 0.1, 'SB': 0.3, 'EU': 0.1}",5,1.5047882836811908
4165659076,2023-07-22T14:57:09,2023,Québec,Harrya chromipes,https://www.inaturalist.org/observations/174339425,POINT (-71.395845 46.741184),21L,-71.396238869904,46.7416226436324,"-220960,63+309603,85",,,,,M,1,VIN,C,2A,20.0,MF,85.0,VIN,"{'FT': 0.3, 'ER': 0.2, 'PE': 0.1, 'PU': 0.3, 'PB': 0.1}",5,1.5047882836811908
4165332788,2023-07-22T14:36:57,2023,Québec,Harrya chromipes,https://www.inaturalist.org/observations/174397928,POINT (-71.397263 46.739991),21L,-71.3981104841412,46.7402321978722,"-221114,41+309456,07",,,,,M,2,JIN,B,2A,20.0,MF,85.0,JIN,"{'EO': 0.3, 'FT': 0.2, 'PE': 0.2, 'PB': 0.1, 'PU': 0.1, 'SB': 0.1}",6,1.6957425341696346
3354996789,2021-08-02T16:21:58,2021,Québec,Harrya chromipes,https://www.inaturalist.org/observations/92032348,POINT (-71.238267 46.919125),21L,-71.2386783845914,46.9196947279195,"-208238,83+328758,46",,,,,F,2,VIR,B,1A,30.0,F,75.0,VIN,"{'ES': 0.3, 'BJ': 0.2, 'EO': 0.2, 'HG': 0.2, 'SE': 0.1}",5,1.5571130980576458
