gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4950196682,2024-09-21T11:51:23,2024,Québec,Hericium americanum,https://www.inaturalist.org/observations/243239396,POINT (-71.494356 45.882709),21E,-71.4947167172364,45.8813695492378,"-232579,29+214389,44",,,,,F,1,VIN,C,1A,30.0,F,85.0,VIN,{'ES': 1.0},1,-0.0
4950028742,2024-09-03T15:02:45,2024,Québec,Hericium americanum,https://www.inaturalist.org/observations/240351507,POINT (-71.921592 45.380133),21E,-71.9210129701979,45.3810199028508,"-268188,05+160327,11",,,,,M,2,50,C,1AY,30.0,MF,85.0,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",5,1.4184836619456564
4414277839,2023-09-16T10:40:35,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/183585446,POINT (-71.904536 45.383009),21E,-71.9045144444585,45.3827245136886,"-266893,10+160453,27",,,,,F,2,JIN,C,1AY,30.0,F,95.0,JIN,"{'EO': 0.4, 'FR': 0.2, 'BG': 0.1, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1}",6,1.6094379124341
3903304613,2022-09-09T10:29:12,2022,Québec,Hericium americanum,https://www.inaturalist.org/observations/134298369,POINT (-71.901774 45.390589),21E,-71.8989540347911,45.3866032713643,"-266428,96+160740,39",,,,,F,2,JIR,C,1AM,30.0,F,75.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BG': 0.1, 'BJ': 0.1, 'FT': 0.1, 'PA': 0.1, 'TA': 0.1}",7,1.8343719702816235
4950041684,2024-09-16T16:20,2024,Québec,Hericium americanum,https://www.inaturalist.org/observations/242162003,POINT (-71.104119 46.882722),21L,-71.1029546144704,46.8828194749004,"-198024,13+324405,45",,,CP,,M,2,VIR,A,5S,30.0,MR,85.0,VIN,"{'PU': 0.4, 'EU': 0.2, 'SE': 0.1, 'BJ': 0.2, 'EO': 0.1}",5,1.4708084763221112
4908631304,2023-10-09T13:27,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/224684047,POINT (-71.201944 46.741667),21L,-71.2033451484636,46.7402189565775,"-206463,44+308849,46",,,,,F,2,JIN,D,1AY,30.0,F,65.0,JIN,"{'ES': 0.5, 'FT': 0.2, 'PE': 0.2, 'RX': 0.1}",4,1.2206072645530173
4596830537,2023-10-02,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/193379469,POINT (-71.215077 46.911888),21L,-71.2133925218677,46.9113287951282,"-206291,20+327889,97",,,,,F,3,30,C,1A,30.0,F,95.0,30,"{'EO': 0.3, 'BP': 0.2, 'HG': 0.2, 'ES': 0.1, 'FN': 0.1, 'SB': 0.1}",6,1.6957425341696346
4535599071,2023-12-02T13:18:21,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/193797816,POINT (-71.32169 46.755591),21L,-71.3205404941924,46.7554216724348,"-215149,43+310859,10",,,,,M,2,VIN,A,5S,20.0,MF,85.0,VIN,"{'ES': 0.3, 'EO': 0.2, 'FT': 0.2, 'PB': 0.1, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
4416835105,2023-09-22T17:54:27,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/184860937,POINT (-71.398843 46.740237),21L,-71.3981104841412,46.7402321978722,"-221114,41+309456,07",,,,,M,2,JIN,B,2A,20.0,MF,85.0,JIN,"{'EO': 0.3, 'FT': 0.2, 'PE': 0.2, 'PB': 0.1, 'PU': 0.1, 'SB': 0.1}",6,1.6957425341696346
4018526668,2022-09-19T18:02,2022,Québec,Hericium americanum,https://www.inaturalist.org/observations/135716379,POINT (-71.322083 46.757563),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",4,1.2798542258336674
