gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
2447222917,1938-09-19,1938.0,Québec,Hydnoporia tabacina,12e3f4f7-630d-4993-ba5f-d58203728742,POINT (-71.7 46.75),21L,-71.6989153106372,46.7529019450234,"-243968,64+311714,12",,,,,M,2,VIR,D,3AN,20,MM,65.0,VIN,"{'EB': 0.3, 'SB': 0.2, 'BJ': 0.2, 'EO': 0.2, 'FH': 0.1}",5,1.5571130980576458
2447218914,1938-08-21,1938.0,Québec,Hydnoporia tabacina,0959e61e-a857-405a-af32-8660c64a730d,POINT (-71.63228 46.904524),21L,-71.6295717602093,46.9098661107072,"-237919,90+328939,71",,,CP,,F,2,VIN,D,1A,30,F,55.0,VIN,"{'BJ': 0.5, 'EO': 0.3, 'ES': 0.2}",3,1.0296530140645737
1412708130,1987-03,1987.0,Québec,Hydnoporia tabacina,CMMF016699,POINT (-70.556636 46.980077),21L,-70.5577072039646,46.9865378015301,"-156126,60+334544,84",,,,,F,3,30,A,5A,40,F,35.0,30,"{'EO': 0.3, 'FN': 0.3, 'BJ': 0.2, 'FH': 0.1, 'FX': 0.1}",5,1.5047882836811908
1135069960,2006-05-05,2006.0,Québec,Hydnoporia tabacina,CMMF008525,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30,F,75.0,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135069949,2006-04-08,2006.0,Québec,Hydnoporia tabacina,CMMF008449,POINT (-71.254295 46.935043),21L,-71.2549194611443,46.9345097185072,"-209457,44+330542,37",,,,,F,3,JIR,B,1A,40,F,95.0,JIN,"{'BJ': 0.3, 'EO': 0.3, 'FI': 0.1, 'FT': 0.1, 'SE': 0.2}",5,1.5047882836811908
1135069946,2006-04-11,2006.0,Québec,Hydnoporia tabacina,CMMF008453,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135069930,2006-05-03,2006.0,Québec,Hydnoporia tabacina,CMMF008515,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30,F,75.0,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135069491,2005-08-28,2005.0,Québec,Hydnoporia tabacina,CMMF007968,POINT (-70.357633 46.801567),21L,-70.3573293115138,46.8019192335734,"-141512,06+313680,47",P,1987.0,EPC,2008.0,R,3,30,C,1A,30,R,75.0,30,"{'RZ': 0.6, 'SB': 0.2, 'PE': 0.2}",3,0.9502705392332347
1135069276,2005-07-13,2005.0,Québec,Hydnoporia tabacina,CMMF007798,POINT (-70.174167 46.595),21L,-70.175697125078,46.5961286107408,"-128241,79+290481,11",,,CP,,F,3,JIR,C,1A,30,F,65.0,JIN,"{'EO': 0.4, 'BP': 0.3, 'ES': 0.1, 'PE': 0.1, 'EU': 0.1}",5,1.4184836619456564
1135068097,1980-06-22,1980.0,Québec,Hydnoporia tabacina,CMMF006738,POINT (-70.17795 46.592983),21L,-70.1780711009802,46.5936813356311,"-128431,12+290216,24",CT,1994.0,,,F,3,30,C,1A,30,F,95.0,30,"{'BP': 0.4, 'PE': 0.4, 'EO': 0.1, 'SB': 0.1}",4,1.193549604098133
1412703180,1941-09-26/1941-09-30,1941.0,Québec,Hydnoporia tabacina,CMMF011636,POINT (-71.83 47.085833),21M,-71.8324405509275,47.0837115997281,"-252570,95+348981,17",,,EL,1984.0,R,2,JIN,E,1BF,30,R,75.0,JIN,"{'SB': 0.9, 'BP': 0.1}",2,0.3250829733914482
1412703167,1941-10-15,1941.0,Québec,Hydnoporia tabacina,CMMF011633,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30,MR,65.0,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",5,1.3592367006650063
