gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617553799	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003764	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata (Peck) Murrill	(Peck) Murrill	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						2003-07-30	30	7	2003	7616172	7616172	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003764		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.429Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547991	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000121	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata (Peck) Murrill	(Peck) Murrill	CA	L'Assomption	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.864396	-73.439575	9000.0						1988-07-30	30	7	1988	7616172	7616172	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000121		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Laurendeau, Gabriel			2024-01-24T16:38:20.519Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547525	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001001	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata (Peck) Murrill	(Peck) Murrill	CA	L'Assomption	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.864396	-73.439575	9000.0						1990-07-12	12	7	1990	7616172	7616172	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001001		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.304Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4982181444	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/232767424	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.716894	-71.541671	170.0						2024-07-26T13:07	26	7	2024	7616172	7616172	HUMAN_OBSERVATION	iNaturalist	Observations	232767424		Lucie Guindon	2024-07-30T20:46:37	CC_BY_NC_4_0	Lucie Guindon	Lucie Guindon			2025-01-14T13:42:25.795Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4924182311	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/234650140	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.477741	-74.021359	3596.0						2024-08-06T15:37	6	8	2024	7616172	7616172	HUMAN_OBSERVATION	iNaturalist	Observations	234650140		Annabelle Langlois	2024-08-09T06:41:40	CC_BY_NC_4_0	Annabelle Langlois	Annabelle Langlois			2025-01-14T12:51:38.612Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923778445	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/235014065	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.270954	-74.687902	40.0						2024-08-10T11:55	10	8	2024	7616172	7616172	HUMAN_OBSERVATION	iNaturalist	Observations	235014065		jonathan_mack	2024-08-11T01:51:24	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T12:51:26.686Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923682034	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/159432955	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.277543	-75.893099	27190.0						2022-08-27T18:29	27	8	2022	7616172	7616172	HUMAN_OBSERVATION	iNaturalist	Observations	159432955		amanitamozart	2023-05-03T14:29:23	CC_BY_NC_4_0	amanitamozart	amanitamozart			2025-01-14T13:29:45.247Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919330857	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/179879173	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.439263	-76.026195	466.0						2023-08-23T10:52	23	8	2023	7616172	7616172	HUMAN_OBSERVATION	iNaturalist	Observations	179879173		Matt Welter	2023-10-19T17:42:07	CC_BY_NC_4_0	amanitamozart	amanitamozart			2025-01-14T13:29:07.343Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919183393	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/232410935	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.568397	-75.647834	27158.0						2024-07-28T17:02:41	28	7	2024	7616172	7616172	HUMAN_OBSERVATION	iNaturalist	Observations	232410935		Josepha	2024-07-29T02:05:39	CC_BY_NC_4_0	Josepha	Josepha			2025-01-14T13:42:12.066Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908038330	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/228849649	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Hygrocybe	Hygrocybe cuspidata		SPECIES	Hygrocybe cuspidata (Peck) Murrill	Hygrocybe cuspidata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.252133	-75.702216	6.0						2024-07-12T12:15:24	12	7	2024	7616172	7616172	HUMAN_OBSERVATION	iNaturalist	Observations	228849649		airhart	2024-07-12T16:15:53	CC_BY_NC_4_0	airhart	airhart			2025-01-14T12:49:57.352Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
