gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
3039258426,2019-07-21T13:00:01,2019,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/29274707,POINT (-67.11203 48.016789),22B,-67.1116399528342,48.0144832135568,"+103295,29+447221,44",CPR,2013.0,,,M,5,10,A,8AY,30.0,MF,75.0,10,"{'FX': 0.5, 'FN': 0.2, 'RX': 0.3}",3,1.0296530140645737
4921822577,2024-07-26T12:17,2024,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/232815475,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4405254349,2021-07-26T14:08,2021,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/104493715,POINT (-76.504367 45.917513),31F,-76.5034186673105,45.9188085430773,"-619722,74+248363,00",,,CJ,2000.0,F,1,VIN,B,1AM,30.0,F,85.0,VIN,"{'CR': 0.4, 'ES': 0.3, 'EO': 0.1, 'FI': 0.1, 'HG': 0.1}",5,1.4184836619456564
4405016354,2021-07-19T10:34,2021,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/104145589,POINT (-76.427094 45.90279),31F,-76.4259617995839,45.9025240432175,"-613872,22+246005,41",,,,,R,1,70,A,2BE,20.0,R,75.0,70,"{'PB': 0.7, 'PR': 0.2, 'PE': 0.1}",3,0.8018185525433372
4400492466,2023-08-20T08:07,2023,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/179592176,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4165441095,2023-07-17T18:25,2023,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/174086775,POINT (-76.405849 45.898536),31F,-76.4063205649462,45.899705994624,"-612236,41+245491,23",,,,,F,1,90,D,2BE,20.0,F,85.0,90,"{'PE': 0.6, 'ER': 0.1, 'FT': 0.1, 'PB': 0.1, 'SE': 0.1}",5,1.2275294114572126
617548608,1988-08-08,1988,Québec,Hygrocybe miniata,CMMF000148,POINT (-74.119788 45.990446),31G,-74.1196060192395,45.9896083154521,"-434958,79+238684,70",,,,,M,1,VIR,D,2BD,20.0,MF,75.0,VIN,"{'BP': 0.2, 'ES': 0.2, 'PE': 0.2, 'EO': 0.1, 'PB': 0.2, 'SB': 0.1}",6,1.7480673485460894
617548086,1990-09-23,1990,Québec,Hygrocybe miniata,CMMF001252,POINT (-74.025434 45.931985),31G,-74.0270637307228,45.9341322934047,"-428282,78+231983,15",,,,,M,3,JIR,C,1A,40.0,MF,85.0,JIN,"{'EO': 0.3, 'BP': 0.1, 'FO': 0.1, 'FT': 0.1, 'PB': 0.2, 'SB': 0.2}",6,1.6957425341696346
4535737132,2003-07-19T13:28,2003,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/201282294,POINT (-75.621089 45.91978),31G,-75.6207411440613,45.9209305653321,"-551665,60+241345,64",,,CP,,M,1,VIR,F,1AM,20.0,MR,65.0,VIN,"{'PB': 0.3, 'PR': 0.3, 'SB': 0.1, 'EO': 0.1, 'ES': 0.1, 'FT': 0.1}",6,1.6434177197931796
4420788265,2023-09-18T10:47:09,2023,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/185330126,POINT (-74.012754 45.492483),31G,-74.0139457758601,45.4942711963877,"-430918,42+183107,12",FR,,,,F,5,10,B,1A,30.0,F,75.0,10,"{'FX': 0.6, 'FN': 0.4}",2,0.6730116670092565
2423611554,1985-07-09,1985,Québec,Hygrocybe miniata,CMMF018726,POINT (-74.005679 45.988108),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",5,1.4708084763221112
1580507857,2017-07-18T09:10,2017,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/7103049,POINT (-75.657229 45.634746),31G,-75.6597971986477,45.6349780861397,"-557746,74+210091,45",,,,,R,2,VIR,F,R1A,20.0,R,75.0,VIN,"{'PB': 0.7, 'PU': 0.1, 'BP': 0.1, 'PE': 0.1}",4,0.9404479886553263
1135068981,1981-08-29,1981,Québec,Hygrocybe miniata,CMMF007512,POINT (-74.1115 45.9425),31G,-74.1121556989556,45.9426174821239,"-434789,45+233436,95",,,,,M,2,VIR,F,1AY,20.0,MF,85.0,VIN,"{'BP': 0.2, 'ES': 0.2, 'PE': 0.2, 'BJ': 0.1, 'PB': 0.1, 'PU': 0.1, 'SE': 0.1}",7,1.8866967846580782
617549073,1992-07-20,1992,Québec,Hygrocybe miniata,CMMF001684,POINT (-73.344507 45.526599),31H,-73.3431642965571,45.5363656825724,"-378363,70+183836,37",,,,,F,2,JIN,B,5S,40.0,F,65.0,JIN,"{'EA': 0.2, 'FR': 0.2, 'FT': 0.2, 'EO': 0.1, 'ES': 0.1, 'OR': 0.1, 'PL': 0.1}",7,1.8866967846580782
4993853449,2024-08-17T10:12:02,2024,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/236377933,POINT (-73.146677 45.08152),31H,-73.1449377989841,45.0876422681594,"-366253,63+133034,71",,,,,F,3,50,A,7E,60.0,F,75.0,50,"{'EA': 0.3, 'FH': 0.3, 'EO': 0.2, 'FT': 0.1, 'OR': 0.1}",5,1.5047882836811908
4606577802,2023-07-19T14:29:29,2023,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/174183037,POINT (-73.194305 45.367787),31H,-73.1945899358041,45.3697220854111,"-367992,93+164735,38",,,,,F,2,JIN,A,1A,40.0,F,95.0,JIN,"{'EO': 0.5, 'FR': 0.3, 'FT': 0.1, 'PE': 0.1}",4,1.1682824501765625
3873456372,2022-07-10T09:28:04,2022,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/125604225,POINT (-72.70517 45.416354),31H,-72.705959729632,45.4159280630692,"-329428,32+167316,64",,,,,F,1,VIN,B,1AY,30.0,F,85.0,VIN,"{'ES': 0.5, 'FT': 0.2, 'EO': 0.1, 'FH': 0.1, 'FR': 0.1}",5,1.3592367006650063
3456364848,2021-09-12T09:00,2021,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/94580048,POINT (-72.246055 45.729555),31H,-72.2456511816119,45.7289296735891,"-291603,45+200230,76",,,,,M,3,JIR,A,3AN,40.0,MM,35.0,JIN,"{'ML': 0.3, 'PB': 0.1, 'TO': 0.1, 'EA': 0.2, 'BP': 0.1, 'FO': 0.1, 'FX': 0.1}",7,1.8343719702816235
3873539073,2022-07-12T18:28:20,2022,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/126009437,POINT (-72.383147 46.842163),31I,-72.3841579377184,46.8423330820653,"-295761,92+324322,20",P,,,,R,4,JIR,A,5S,30.0,R,65.0,JIN,"{'RZ': 0.6, 'SB': 0.3, 'FI': 0.1}",3,0.8979457248567797
1701558066,2017-08-09,2017,Québec,Hygrocybe miniata,UdeM:CMMF:Blitz2017:50,POINT (-73.094321 46.300422),31I,-73.0938163134521,46.3013125832716,"-353452,72+267526,33",,,,,F,1,VIN,D,5SY,20.0,F,95.0,VIN,"{'FT': 0.5, 'ES': 0.3, 'EO': 0.1, 'FI': 0.1}",4,1.1682824501765625
3994274394,2021-07-21T18:22:20,2021,Québec,Hygrocybe miniata,https://www.inaturalist.org/observations/90059918,POINT (-76.092598 46.224058),31K,-76.0937761219015,46.2316967288272,"-584496,38+279531,39",,,CP,,F,2,JIN,D,1AM,20.0,F,55.0,JIN,"{'CR': 0.3, 'ES': 0.3, 'FT': 0.3, 'HG': 0.1}",4,1.313834033192747
