gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4527968208,2023-07-03T18:55,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/195016819,POINT (-71.887491 45.310043),21E,-71.8867601576153,45.3108615407708,"-265878,57+152401,32",,,,,M,1,JIN,B,4GS,20.0,MF,65.0,JIN,"{'EO': 0.3, 'BJ': 0.2, 'BP': 0.1, 'PU': 0.2, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
4527939223,2023-09-01T18:21,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/195687950,POINT (-71.887908 45.310168),21E,-71.8867601576153,45.3108615407708,"-265878,57+152401,32",,,,,M,1,JIN,B,4GS,20.0,MF,65.0,JIN,"{'EO': 0.3, 'BJ': 0.2, 'BP': 0.1, 'PU': 0.2, 'RX': 0.1, 'SB': 0.1}",6,1.6957425341696346
4172289874,2023-07-23T12:10:16,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/177318318,POINT (-71.746241 45.132099),21E,-71.7473667396616,45.1336067807132,"-255834,92+132182,50",,,,,R,2,70,B,1AY,30.0,R,75.0,70,"{'EU': 0.5, 'EB': 0.2, 'SB': 0.1, 'BP': 0.1, 'EO': 0.1}",5,1.3592367006650063
4952921890,2024-09-18T16:57:07,2024,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/243889535,POINT (-71.395534 46.741062),21L,-71.396238869904,46.7416226436324,"-220960,63+309603,85",,,,,M,1,VIN,C,2A,20.0,MF,85.0,VIN,"{'FT': 0.3, 'ER': 0.2, 'PE': 0.1, 'PU': 0.3, 'PB': 0.1}",5,1.5047882836811908
4535918942,2023-08-06,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/200899332,POINT (-71.213089 46.912541),21L,-71.2133925218677,46.9113287951282,"-206291,20+327889,97",,,,,F,3,30,C,1A,30.0,F,95.0,30,"{'EO': 0.3, 'BP': 0.2, 'HG': 0.2, 'ES': 0.1, 'FN': 0.1, 'SB': 0.1}",6,1.6957425341696346
4525279221,2023-08-15,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/199793209,POINT (-71.339337 46.792379),21L,-71.3389256996817,46.7917289800549,"-216371,23+314984,66",,,,,M,3,JIR,A,5A,40.0,MR,65.0,70,"{'SB': 0.5, 'ML': 0.2, 'EO': 0.2, 'BG': 0.1}",4,1.2206072645530173
4522624918,2023-08-21,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/198644290,POINT (-71.222303 46.910826),21L,-71.221711953545,46.9114695458884,"-207021,12+327874,01",,,CP,,M,2,JIN,B,1A,30.0,MM,65.0,JIN,"{'SB': 0.4, 'EP': 0.1, 'EO': 0.3, 'BJ': 0.1, 'BP': 0.1}",5,1.4184836619456564
4405276963,2023-08-27T13:02:14,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/180471829,POINT (-71.350291 46.754282),21L,-71.345758394446,46.7524758684317,"-217122,46+310348,93",,,,,F,2,VIN,D,5A,40.0,F,75.0,VIN,"{'FH': 0.5, 'PE': 0.2, 'ER': 0.1, 'FN': 0.1, 'RX': 0.1}",5,1.3592367006650063
4399975024,2023-08-20T16:16:27,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/179408829,POINT (-71.247344 46.787777),21L,-71.2427679754397,46.7855696982666,"-209029,48+314047,61",,,,,F,1,VIN,B,5S,20.0,F,75.0,VIN,"{'ES': 0.4, 'FT': 0.4, 'EA': 0.2}",3,1.0549201679861442
4172184587,2023-08-04T13:47:04,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/176633116,POINT (-71.411379 46.835067),21L,-71.4109384484952,46.8342481052628,"-221662,82+319924,70",,,,,F,2,VIR,B,5S,30.0,F,85.0,VIN,"{'EO': 0.4, 'PE': 0.2, 'BJ': 0.1, 'BP': 0.1, 'FO': 0.1, 'SE': 0.1}",6,1.6094379124341
4171144286,2023-07-26T14:04:24,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/175075115,POINT (-71.107376 46.829773),21L,-71.1058593258902,46.8297578077778,"-198530,68+318523,09",,,,,F,2,JIN,C,8AY,30.0,F,85.0,JIN,"{'ES': 0.5, 'CR': 0.2, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",5,1.3592367006650063
4153879785,2023-07-07T14:47:53,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/171603409,POINT (-71.106636 46.829346),21L,-71.1058593258902,46.8297578077778,"-198530,68+318523,09",,,,,F,2,JIN,C,8AY,30.0,F,85.0,JIN,"{'ES': 0.5, 'CR': 0.2, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",5,1.3592367006650063
4133599503,2018-08-29T17:12,2018,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/153613412,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",4,1.2798542258336674
3902507417,2022-09-10T17:51,2022,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/134491978,POINT (-71.055523 46.88189),21L,-71.0555962820137,46.8818012821777,"-194425,61+324166,20",,,CP,,F,1,VIR,B,1A,30.0,F,75.0,VIN,"{'HG': 0.4, 'ES': 0.3, 'EO': 0.2, 'BJ': 0.1}",4,1.2798542258336674
1701211264,2003-08-29,2003,Québec,Hymenopellis furfuracea,f5b37da6-c4a1-4612-b0db-ceaf0f0d52ef,POINT (-71.393568 46.783668),21L,-71.3947620448483,46.7835628929619,"-220780,40+314293,83",,,,,F,3,30,A,5S,30.0,F,85.0,30,"{'BP': 0.4, 'BG': 0.2, 'PE': 0.2, 'EO': 0.1, 'FN': 0.1}",5,1.4708084763221112
1412706310,1985-07-07,1985,Québec,Hymenopellis furfuracea,CMMF014870,POINT (-71.307678 46.86201),21L,-71.3127227204637,46.8632652548053,"-214060,31+322843,05",,,,,M,3,JIR,A,5A,40.0,MF,35.0,JIN,"{'PE': 0.3, 'FN': 0.2, 'FO': 0.2, 'SB': 0.2, 'RX': 0.1}",5,1.5571130980576458
1135071111,2007-08-05,2007,Québec,Hymenopellis furfuracea,CMMF009689,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
1135070445,2006-08-19,2006,Québec,Hymenopellis furfuracea,CMMF008997,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135070417,2006-08-16,2006,Québec,Hymenopellis furfuracea,CMMF008968,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135070245,2006-07-23,2006,Québec,Hymenopellis furfuracea,CMMF008781,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135069438,2010-07-10,2010,Québec,Hymenopellis furfuracea,CMMF007974,POINT (-70.357633 46.801567),21L,-70.3573293115138,46.8019192335734,"-141512,06+313680,47",P,1987.0,EPC,2008.0,R,3,30,C,1A,30.0,R,75.0,30,"{'RZ': 0.6, 'SB': 0.2, 'PE': 0.2}",3,0.9502705392332347
4413852801,2023-09-09T11:05:12,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/182474140,POINT (-70.911883 47.075039),21M,-70.9131302785464,47.0743126776703,"-182764,40+345216,51",,,,,F,1,VIN,D,1A,30.0,F,85.0,VIN,"{'ES': 0.6, 'HG': 0.3, 'BJ': 0.1}",3,0.8979457248567797
4137714336,2019-08-31T14:01:41,2019,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/32065383,POINT (-70.776191 47.079343),21M,-70.7742284874124,47.0812096762153,"-172332,96+345562,30",P,,,,R,3,30,A,5A,40.0,R,85.0,30,{'RZ': 1.0},1,-0.0
1412706424,1994-09-04,1994,Québec,Hymenopellis furfuracea,CMMF014872,POINT (-70.443354 47.902902),21M,-70.4444133770792,47.9014995234889,"-144876,76+435737,99",ES,1985.0,,,M,4,30,S,1AM,20.0,MR,85.0,30,"{'SB': 0.5, 'EB': 0.1, 'BP': 0.4}",3,0.9433483923290392
4400170952,2023-08-17T14:40,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/179573216,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4177300060,2023-08-06T12:19,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/178099311,POINT (-76.486514 45.935434),31F,-76.4863369322263,45.9359528018729,"-618186,90+250098,10",,,,,M,2,VIR,B,1A,30.0,MM,75.0,VIN,"{'EB': 0.2, 'SB': 0.2, 'PB': 0.1, 'ER': 0.2, 'BJ': 0.1, 'FO': 0.1, 'FT': 0.1}",7,1.8866967846580784
4976405298,2024-08-16T11:15,2024,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/238755829,POINT (-74.181328 45.392947),31G,-74.1830435862167,45.3913789712399,"-445135,63+172744,65",,,,,M,2,JIR,A,5S,30.0,MF,85.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'FT': 0.1, 'PU': 0.2, 'SE': 0.1, 'TO': 0.1}",6,1.6957425341696346
4908843968,2024-07-09T13:47,2024,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/228363443,POINT (-75.780336 45.450178),31G,-75.7812335497211,45.450374223951,"-569338,83+190626,98",,,,,F,2,VIN,D,R1A,20.0,F,85.0,VIN,"{'CR': 0.8, 'ER': 0.1, 'FT': 0.1}",3,0.639031859650177
4421056479,2023-08-24T13:40:17,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/180937100,POINT (-75.862633 45.49345),31G,-75.8618902911804,45.4938954683716,"-575049,36+196081,91",,,CP,,F,2,JIN,D,R1A,20.0,F,65.0,JIN,"{'HG': 0.4, 'ES': 0.2, 'FT': 0.2, 'EO': 0.1, 'FR': 0.1}",5,1.4708084763221112
4414145159,2023-09-07T16:58,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/182331486,POINT (-75.769459 45.655356),31G,-75.7690745555084,45.6566284417427,"-566063,99+213256,87",,,CP,,M,1,VIR,C,1A,40.0,MM,65.0,VIN,"{'SB': 0.3, 'EB': 0.2, 'PE': 0.3, 'BP': 0.1, 'ER': 0.1}",5,1.5047882836811908
4414117088,2023-09-17T14:28:17,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/183753639,POINT (-74.265245 45.435162),31G,-74.2656296934034,45.4358644604826,"-451215,19+178189,76",,,,,F,1,JIN,B,1AY,30.0,F,95.0,JIN,"{'EO': 0.4, 'CR': 0.2, 'ES': 0.2, 'FT': 0.1, 'PE': 0.1}",5,1.4708084763221112
4407079769,2023-08-09T09:06:28,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/177499599,POINT (-75.569663 45.607555),31G,-75.5691228278307,45.6089338852439,"-551090,60+206433,53",,,,,M,2,JIN,B,1A,40.0,MF,75.0,JIN,"{'PE': 0.3, 'ES': 0.2, 'BP': 0.1, 'FT': 0.1, 'EB': 0.1, 'SB': 0.1, 'TO': 0.1}",7,1.8343719702816235
4405029837,2023-08-11T10:25:12,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/177833536,POINT (-74.023439 45.769627),31G,-74.0237005348961,45.7720475861594,"-429413,64+213995,57",,,,,F,2,JIN,B,5S,40.0,F,85.0,JIN,"{'EO': 0.5, 'ES': 0.2, 'HG': 0.2, 'FH': 0.1}",4,1.2206072645530173
4177459623,2023-08-14T18:09:10,2023,Québec,Hymenopellis furfuracea,https://www.inaturalist.org/observations/178439706,POINT (-75.81343 45.538771),31G,-75.8128152105958,45.5372520312993,"-570738,16+200487,81",,,CP,,M,1,VIR,D,1AM,20.0,MM,65.0,VIN,"{'PB': 0.5, 'ES': 0.2, 'CR': 0.1, 'FT': 0.1, 'TA': 0.1}",5,1.3592367006650063
