gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4949910981,2024-09-21T08:25:41,2024,Québec,Hypholoma capnoides,https://www.inaturalist.org/observations/243302265,POINT (-71.501569 45.879616),21E,-71.5011790368372,45.8779183081623,"-232980,86+214067,65",,,,,F,3,JIN,B,1A,30.0,F,75.0,JIN,"{'EO': 0.7, 'BJ': 0.1, 'EB': 0.1, 'SB': 0.1}",4,0.9404479886553263
4424321905,2023-10-08T16:19:53,2023,Québec,Hypholoma capnoides,https://www.inaturalist.org/observations/186755706,POINT (-71.348306 46.774018),21L,-71.3478170071799,46.7724563130898,"-217005,78+312928,69",,,,,F,2,JIN,A,5A,40.0,F,75.0,JIN,"{'EO': 0.5, 'PE': 0.2, 'FH': 0.1, 'ML': 0.1, 'SB': 0.1}",5,1.3592367006650063
1135070864,2006-10-20,2006,Québec,Hypholoma capnoides,CMMF009412,POINT (-71.306427 46.953091),21L,-71.304719999912,46.9524119060645,"-213069,04+332719,34",,,,,M,3,JIR,D,1A,20.0,MF,75.0,JIN,"{'EO': 0.4, 'FT': 0.2, 'SB': 0.3, 'RX': 0.1}",4,1.2798542258336674
1135070789,2006-10-10,2006,Québec,Hypholoma capnoides,CMMF009367,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135070761,2006-09-23,2006,Québec,Hypholoma capnoides,CMMF009261,POINT (-71.322285 46.91969),21L,-71.3209749033067,46.9200423170217,"-214375,06+329081,08",,,EC,2003.0,R,2,JIR,A,2BE,40.0,R,65.0,JIN,"{'EP': 0.4, 'SB': 0.4, 'ML': 0.1, 'EO': 0.1}",4,1.193549604098133
1135070678,2006-09-20,2006,Québec,Hypholoma capnoides,CMMF009232,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135069354,1979-10-07,1979,Québec,Hypholoma capnoides,CMMF007869,POINT (-70.042333 46.683583),21L,-70.0421890219616,46.6833510960322,"-117819,18+299934,56",P,,,,R,2,50,B,1A,30.0,R,75.0,50,{'RZ': 1.0},1,-0.0
1135067155,2008-10-12,2008,Québec,Hypholoma capnoides,CMMF010554,POINT (-71.303223 46.96324),21L,-71.3030991052544,46.9631072364837,"-212896,42+333890,27",,,,,M,3,JIN,C,1A,30.0,MF,75.0,JIN,"{'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1, 'SB': 0.3, 'EP': 0.1}",6,1.6434177197931796
1135066691,2007-10-01,2007,Québec,Hypholoma capnoides,CMMF010124,POINT (-71.254455 46.918501),21L,-71.2551573788685,46.9180378961829,"-209449,67+328601,31",,,,,F,3,50,B,1A,30.0,F,85.0,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135066822,2007-10-15,2007,Québec,Hypholoma capnoides,CMMF010233,POINT (-71.193781 47.002354),21M,-71.1906004440602,47.0028763123768,"-204184,42+337959,84",,,CP,,M,3,50,C,2BE,20.0,MR,65.0,50,"{'EB': 0.5, 'SB': 0.2, 'BP': 0.2, 'PE': 0.1}",4,1.2206072645530173
