gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555488	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000831	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe geophylla P.Kumm.	Inocybe geophylla (Fr.) P. Kumm.	(Fr.) P. Kumm.	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1989-09-22	22	9	1989	3330851	3330851	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000831		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:21.553Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617555449	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000814	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe lilacina (Peck) Kauffman	Inocybe lilacina (Peck) Kauffman	(Peck) Kauffman	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1989-09-20	20	9	1989	3331644	3330851	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000814		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:21.548Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552590	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000323	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe geophylla P.Kumm.	Inocybe geophylla (Fr.) P. Kumm.	(Fr.) P. Kumm.	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1988-09-11	11	9	1988	3330851	3330851	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000323		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.785Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552320	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003105	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe lilacina (Peck) Kauffman	Inocybe lilacina (Peck) Kauffman	(Peck) Kauffman	CA	La Prairie	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.409313	-73.471076	4000.0						1997-09-02	2	9	1997	3331644	3330851	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003105		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.708Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551406	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002693	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe lilacina (Peck) Kauffman	Inocybe lilacina (Peck) Kauffman	(Peck) Kauffman	CA	Saint-Majorique	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931221	-72.584529	5000.0						1995-09-27	27	9	1995	3331644	3330851	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002693		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.348Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551360	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002671	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe geophylla P.Kumm.	Inocybe geophylla (Fr.) P. Kumm.	(Fr.) P. Kumm.	CA	Saint-Majorique	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931221	-72.584529	5000.0						1995-09-27	27	9	1995	3330851	3330851	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002671		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.343Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549432	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001839	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe lilacina (Peck) Kauffman	Inocybe lilacina (Peck) Kauffman	(Peck) Kauffman	CA	Saint-Bruno-de-Montarville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.526599	-73.344507	5500.0						1992-09-27	27	9	1992	3331644	3330851	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001839		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.213Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4950103934	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/135580975	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe geophylla P.Kumm.	Inocybe geophylla		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.019193	-73.680793	1472.0						2022-09-18T14:55:12	18	9	2022	3330851	3330851	HUMAN_OBSERVATION	iNaturalist	Observations	135580975		Sigrid Jakob	2022-09-26T02:18:49	CC0_1_0	Sigrid Jakob	Sigrid Jakob			2025-01-14T12:32:19.270Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946042445	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239786859	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe geophylla P.Kumm.	Inocybe geophylla		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.95063	-64.039842	4.0						2024-09-03T15:12:17	3	9	2024	3330851	3330851	HUMAN_OBSERVATION	iNaturalist	Observations	239786859				CC_BY_NC_4_0	Rosemary Curley	Rosemary Curley			2025-01-14T13:39:31.164Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945509437	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241777620	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe geophylla		SPECIES	Inocybe lilacina (Peck) Kauffman	Inocybe lilacina		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.027968	-75.332755							2024-09-14T12:31	14	9	2024	3331644	3330851	HUMAN_OBSERVATION	iNaturalist	Observations	241777620		jonathan_mack	2024-09-15T01:45:35	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T12:54:05.744Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
