gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
1135071433,2007-09-10,2007,Québec,Inocybe geophylla,CMMF009976,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135071378,2007-09-04,2007,Québec,Inocybe geophylla,CMMF009920,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135070584,2006-09-13,2006,Québec,Inocybe geophylla,CMMF009169,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135070582,2006-09-05,2006,Québec,Inocybe geophylla,CMMF009135,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135070536,2006-09-09,2006,Québec,Inocybe geophylla,CMMF009144,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135067114,2008-09-17,2008,Québec,Inocybe geophylla,CMMF010534,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",6,1.6957425341696346
1135066835,2007-10-20,2007,Québec,Inocybe geophylla,CMMF010248,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
1135069576,1984-08-22,1984,Québec,Inocybe geophylla,CMMF008072,POINT (-70.055767 47.42875),21M,-70.0569312823692,47.4283332226044,"-117147,96+382593,62",,,,,F,2,VIN,A,8AY,30.0,F,75.0,VIN,"{'ES': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FI': 0.1, 'RX': 0.1, 'TO': 0.1}",6,1.6957425341696346
1135069501,2009-08-14,2009,Québec,Inocybe geophylla,CMMF008076,POINT (-70.055767 47.42875),21M,-70.0569312823692,47.4283332226044,"-117147,96+382593,62",,,,,F,2,VIN,A,8AY,30.0,F,75.0,VIN,"{'ES': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FI': 0.1, 'RX': 0.1, 'TO': 0.1}",6,1.6957425341696346
1135069753,2010-08-10,2010,Québec,Inocybe geophylla,CMMF008299,POINT (-66.20075 48.856883),22B,-66.2016831952,48.856547007173,"+167833,25+542235,09",CT,1974.0,,,R,3,70,C,8AM,30.0,R,85.0,70,"{'SB': 0.7, 'EB': 0.1, 'EN': 0.1, 'BP': 0.1}",4,0.9404479886553263
1135069640,2011-08-10,2011,Québec,Inocybe geophylla,CMMF008242,POINT (-66.19265 48.856583),22B,-66.1926756974626,48.855839593182,"+168491,94+542173,58",,,,,R,3,VIR,C,8A,30.0,R,75.0,VIN,"{'SB': 0.7, 'EN': 0.2, 'EB': 0.1}",3,0.8018185525433372
1135069581,2005-09-02,2005,Québec,Inocybe geophylla,CMMF008222,POINT (-67.537667 48.821667),22B,-67.5378406635399,48.8215899886239,"+70350,89+536136,33",,,,,M,2,JIR,D,5S,20.0,MR,65.0,70,"{'SB': 0.4, 'EB': 0.3, 'PE': 0.2, 'BP': 0.1}",4,1.2798542258336674
4606546167,2023-10-15T13:23:24,2023,Québec,Inocybe geophylla,https://www.inaturalist.org/observations/192778694,POINT (-74.329108 45.204047),31G,-74.3290341341886,45.2049118197163,"-458231,75+152985,08",,,,,F,1,JIN,A,5S,30.0,F,85.0,JIN,"{'EO': 0.4, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2}",4,1.3321790402101223
4176997334,2019-09-30T15:26,2019,Québec,Inocybe geophylla,https://www.inaturalist.org/observations/33698823,POINT (-75.909075 45.632542),31G,-75.9089775407136,45.63284348136,"-577129,84+211804,53",,,CP,,M,2,VIR,C,1AY,30.0,MR,45.0,VIN,"{'PB': 0.4, 'PU': 0.1, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",6,1.6094379124341003
3961229602,2022-09-25T15:48:22,2022,Québec,Inocybe geophylla,https://www.inaturalist.org/observations/136521116,POINT (-75.114274 45.607127),31G,-75.1119476935008,45.6041700827468,"-515623,01+202551,41",,,CP,,F,2,JIR,B,5A,30.0,F,65.0,JIN,"{'FR': 0.4, 'FH': 0.2, 'FT': 0.2, 'EA': 0.1, 'PE': 0.1}",5,1.4708084763221112
3925188272,2022-10-08T17:16:30,2022,Québec,Inocybe geophylla,https://www.inaturalist.org/observations/138052182,POINT (-75.904092 45.506925),31G,-75.9036612770411,45.5063827901202,"-578163,76+197794,61",,,CP,,F,1,VIR,B,1AY,30.0,F,85.0,VIN,"{'ES': 0.4, 'CR': 0.1, 'FT': 0.1, 'HG': 0.1, 'TA': 0.1, 'PB': 0.2}",6,1.6094379124341003
3330726388,2020-10-04T15:11:52,2020,Québec,Inocybe geophylla,https://www.inaturalist.org/observations/61887995,POINT (-74.026334 45.422548),31G,-74.0263579836452,45.4221183270391,"-432613,39+175262,41",,,,,F,1,JIN,B,1A,30.0,F,85.0,JIN,"{'CR': 0.7, 'FR': 0.2, 'FT': 0.1}",3,0.8018185525433372
