gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1412707803,1996-08-31,1996,Québec,Laccaria amethystina,CMMF016187,POINT (-71.470098 46.937798),21L,-71.4726029641384,46.9385541356988,"-225871,88+331680,21",,,,,M,3,JIR,A,2BE,20.0,MR,65.0,15,JIN,"{'ML': 0.2, 'PB': 0.2, 'SB': 0.2, 'EO': 0.3, 'PE': 0.1}",0.002616598274424478,5,1.5571130980576455,[3.4916666],[10.266666],[24.043716],[1157.2534],[24.3],[-18.4],[42.699997],[16.133333],[-5.],[17.183332],[-11.433333],[1343.],[141.],[79.],[17.766272],[401.],[254.],[388.],[288.]
617554770,1988-07-16,1988,Québec,Laccaria amethystina,CMMF000051,POINT (-74.064294 45.659599),31G,-74.0657029048305,45.6588707794673,"-433649,65+201698,55",,,,,F,3,30,A,5S,40.0,F,35.0,13,30,"{'EO': 0.3, 'FI': 0.2, 'FT': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FH': 0.1}",0.0015859753988152387,6,1.6957425341696346,[5.2333336],[10.35],[24.410378],[1162.1421],[25.8],[-16.6],[42.4],[7.633333],[-8.666667],[18.816668],[-9.816667],[1044.],[101.],[63.],[13.959666],[289.],[211.],[287.],[231.]
4908627969,2024-07-14T08:47:52,2024,Québec,Laccaria amethystina,https://www.inaturalist.org/observations/229270060,POINT (-75.932887 45.711953),31G,-75.9329744292462,45.7095601644611,"-578147,29+220579,80",,,,,R,3,JIR,D,1BF,20.0,R,65.0,16,JIN,"{'EB': 0.6, 'SB': 0.2, 'TO': 0.1, 'FX': 0.1}",0.002394432247801132,4,1.0888999753452235,[4.6125],[11.091667],[25.208334],[1169.293],[26.],[-18.],[44.],[13.333333],[-9.483334],[18.233334],[-10.516666],[999.],[99.],[62.],[15.551186],[287.],[194.],[281.],[208.]
4901432870,2022-09-01T14:20:09,2022,Québec,Laccaria amethystina,https://www.inaturalist.org/observations/133258451,POINT (-75.114274 45.607127),31G,-75.1119476935008,45.6041700827468,"-515623,01+202551,41",,,CP,,F,2,JIR,B,5A,30.0,F,65.0,20,JIN,"{'FR': 0.4, 'FH': 0.2, 'FT': 0.2, 'EA': 0.1, 'PE': 0.1}",0.003762321300805299,5,1.4708084763221112,[5.3125],[10.741667],[24.693487],[1169.8721],[26.3],[-17.2],[43.5],[13.95],[-8.8],[18.933334],[-9.866667],[1021.],[100.],[62.],[16.439312],[297.],[197.],[287.],[212.]
4607235101,2023-09-04T14:02:31,2023,Québec,Laccaria amethystina,https://www.inaturalist.org/observations/181775601,POINT (-74.080216 45.621007),31G,-74.0820004524058,45.6204884177874,"-435277,96+197455,54",,,,,F,1,JIN,B,1A,30.0,F,95.0,23,JIN,"{'ES': 0.8, 'EO': 0.1, 'FT': 0.1}",0.0018582782083940367,3,0.639031859650177,[5.3708334],[10.275],[24.290781],[1161.2327],[25.9],[-16.4],[42.3],[7.7833333],[-8.516666],[18.95],[-9.666667],[1033.],[100.],[63.],[14.084994],[287.],[209.],[285.],[228.]
4507784985,2023-07-02T11:30,2023,Québec,Laccaria amethystina,https://www.inaturalist.org/observations/172400223,POINT (-74.073436 45.573751),31G,-74.0774471069774,45.5725138822167,"-435300,20+192176,41",,,,,M,2,VIN,A,5A,40.0,MM,85.0,21,VIN,"{'PU': 0.5, 'FT': 0.3, 'EO': 0.1, 'ES': 0.1}",0.004197551618971043,4,1.1682824501765625,[5.5],[10.183333],[24.13112],[1159.612],[26.],[-16.2],[42.2],[7.883333],[-8.35],[19.083334],[-9.5],[1027.],[99.],[61.],[14.82717],[286.],[203.],[284.],[225.]
2573907978,2013-06-29T11:53:40,2013,Québec,Laccaria amethystina,https://www.inaturalist.org/observations/27860957,POINT (-75.856167 45.495833),31G,-75.8564851721808,45.4974537452969,"-574734,02+196322,55",,,,,F,2,JIN,B,1AM,30.0,F,75.0,19,JIN,"{'CR': 0.7, 'ER': 0.1, 'FI': 0.1, 'FT': 0.1}",0.0016516806150313839,4,0.9404479886553263,[4.420833],[10.441667],[24.453552],[1149.7894],[25.1],[-17.6],[42.7],[12.966667],[-9.383333],[17.85],[-10.45],[1044.],[100.],[66.],[12.983692],[292.],[211.],[289.],[223.]
617554944,1989-07-20,1989,Québec,Laccaria amethystina,CMMF000588,POINT (-73.705867 45.609608),31H,-73.7040779653958,45.6150128958572,"-405966,25+194717,23",,,,,F,4,30,A,5A,40.0,F,35.0,11,30,"{'FR': 0.3, 'FH': 0.2, 'FN': 0.2, 'FT': 0.2, 'PE': 0.1}",0.005693289386828294,5,1.5571130980576458,[6.2916665],[10.116667],[23.692427],[1168.5963],[27.1],[-15.6],[42.7],[8.583333],[-7.5833335],[20.05],[-8.766666],[1002.],[97.],[61.],[12.899853],[280.],[204.],[269.],[217.]
617548984,1992-07-10,1992,Québec,Laccaria amethystina,CMMF001647,POINT (-73.477185 45.544154),31H,-73.4781398017723,45.5453502837324,"-388807,61+185682,18",,,,,F,3,30,A,1A,40.0,F,75.0,14,30,"{'EO': 0.3, 'EA': 0.2, 'FR': 0.2, 'FT': 0.1, 'PE': 0.1, 'PL': 0.1}",0.001530601578718979,6,1.6957425341696346,[6.6666665],[9.933333],[23.70724],[1143.186],[27.1],[-14.8],[41.9],[19.216667],[-6.916667],[20.15],[-8.033334],[1003.],[97.],[62.],[12.667946],[281.],[207.],[273.],[222.]
4919141487,2024-07-14T11:26,2024,Québec,Laccaria amethystina,https://www.inaturalist.org/observations/229563364,POINT (-73.462189 45.54779),31H,-73.4623891072908,45.5465768646944,"-387588,31+185777,25",,,,,F,1,VIN,A,1A,30.0,F,95.0,28,VIN,"{'CR': 0.7, 'ES': 0.2, 'FT': 0.1}",0.0012295284451864126,3,0.8018185525433372,[6.5958333],[9.958333],[23.766905],[1144.2057],[27.],[-14.9],[41.9],[19.166666],[-7.],[20.083334],[-8.116667],[1007.],[98.],[62.],[12.628206],[282.],[208.],[273.],[224.]
