gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
1412703200,1980-08-17,1980,Québec,Laccaria laccata,CMMF011700,POINT (-71.561735 46.876291),21L,-71.5612121673572,46.8742696194416,"-232899,08+324676,25",,,,,R,4,JIR,A,5S,40.0,R,65.0,JIN,"{'EN': 0.7, 'ML': 0.3}",2,0.6108643020548935
1135071124,2007-07-23,2007,Québec,Laccaria laccata,CMMF009608,POINT (-71.300041 46.949694),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40.0,R,55.0,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",5,1.3592367006650063
1135070183,2006-07-09,2006,Québec,Laccaria laccata,CMMF008736,POINT (-71.290968 46.891264),21L,-71.2882988755072,46.8957546448817,"-212172,66+326162,27",,,,,M,2,VIR,B,1A,30.0,MR,75.0,VIN,"{'EP': 0.4, 'SB': 0.2, 'RX': 0.1, 'EO': 0.2, 'FT': 0.1}",5,1.4708084763221112
1135066877,2008-06-23,2008,Québec,Laccaria laccata,CMMF010345,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
1412703146,1944-09-09,1944,Québec,Laccaria laccata,CMMF011597,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30.0,MR,65.0,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",5,1.3592367006650063
4171790120,2023-08-05T11:08:01,2023,Québec,Laccaria laccata,https://www.inaturalist.org/observations/176779331,POINT (-74.199587 45.3842),31G,-74.2006406060944,45.3848099508806,"-446568,05+172134,70",,,,,R,2,50,A,5S,20.0,R,95.0,50,{'PB': 1.0},1,-0.0
1024559048,2012-09-30,2012,Québec,Laccaria laccata,CMMF004572,POINT (-74.114209 45.086762),31G,-74.1154295636293,45.0855808278605,"-442519,82+138397,69",,,,,F,1,VIR,B,1A,30.0,F,95.0,VIN,"{'ES': 0.5, 'HG': 0.2, 'TA': 0.2, 'FT': 0.1}",4,1.2206072645530173
617552592,1998-07-21,1998,Québec,Laccaria laccata,CMMF003230,POINT (-73.43011 45.597683),31H,-73.4352327807176,45.5961281413991,"-385091,35+191133,66",,,,,F,1,JIN,A,5S,40.0,F,65.0,JIN,{'PL': 1.0},1,-0.0
617552512,1998-07-06,1998,Québec,Laccaria laccata,CMMF003194,POINT (-73.43011 45.597683),31H,-73.4352327807176,45.5961281413991,"-385091,35+191133,66",,,,,F,1,JIN,A,5S,40.0,F,65.0,JIN,{'PL': 1.0},1,-0.0
1412709073,1981-08-13,1981,Québec,Laccaria laccata,CMMF017562,POINT (-73.547316 45.461124),31H,-73.5508344525263,45.4555615338568,"-395183,37+175917,35",,,,,F,1,VIN,A,3AN,40.0,F,85.0,VIN,"{'EA': 0.4, 'FR': 0.2, 'FT': 0.2, 'PL': 0.2}",4,1.3321790402101223
1412708824,1981-08-04,1981,Québec,Laccaria laccata,CMMF017268,POINT (-73.547316 45.461124),31H,-73.5508344525263,45.4555615338568,"-395183,37+175917,35",,,,,F,1,VIN,A,3AN,40.0,F,85.0,VIN,"{'EA': 0.4, 'FR': 0.2, 'FT': 0.2, 'PL': 0.2}",4,1.3321790402101223
1412707743,1981-06-29,1981,Québec,Laccaria laccata,CMMF016189,POINT (-73.449557 45.459256),31H,-73.4399164604518,45.4336889278269,"-386707,10+173047,10",,,,,F,3,JIR,A,5A,50.0,F,75.0,30,"{'FR': 0.4, 'PE': 0.4, 'PA': 0.2}",3,1.0549201679861442
1135067503,2011-08-30,2011,Québec,Laccaria laccata,CMMF005992,POINT (-73.773917 45.33983),31H,-73.7748473825911,45.3390987807519,"-413633,63+164466,14",,,,,F,1,JIR,A,5A,40.0,F,85.0,JIN,"{'FR': 0.4, 'PE': 0.2, 'PL': 0.2, 'FH': 0.1, 'FT': 0.1}",5,1.4708084763221112
617548307,1991-08-10,1991,Québec,Laccaria laccata,CMMF001347,POINT (-72.6 46.216667),31I,-72.6018818792902,46.2194319543575,"-316238,68+256122,47",,,,,F,2,JIR,D,5A,31.0,F,55.0,JIN,"{'EO': 0.4, 'EA': 0.2, 'FN': 0.1, 'FO': 0.1, 'PE': 0.1, 'RZ': 0.1}",6,1.6094379124341
1412707666,1995-07-16,1995,Québec,Laccaria laccata,CMMF016185,POINT (-72.234717 46.820449),31I,-72.236487496023,46.8241820703719,"-284562,76+321551,75",,,CP,,M,1,VIN,C,1A,30.0,MM,65.0,VIN,"{'PU': 0.3, 'EU': 0.1, 'SE': 0.1, 'BJ': 0.3, 'EO': 0.1, 'ES': 0.1}",6,1.6434177197931796
