gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555529	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000849	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius rufus (Scop.) Fr.	Lactarius rufus (Scop.) Fr.	(Scop.) Fr.	CA	Lachute	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.664878	-74.292134	8500.0						1989-09-24	24	9	1989	5248684	5248684	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000849		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:21.565Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617553705	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000372	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius rufus (Scop.) Fr.	Lactarius rufus (Scop.) Fr.	(Scop.) Fr.	CA	Lachute	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.664878	-74.292134	8500.0						1988-09-21	21	9	1988	5248684	5248684	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000372		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.812Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552706	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003280	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius rufus (Scop.) Fr.	Lactarius rufus (Scop.) Fr.	(Scop.) Fr.	CA	Lachute	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.664878	-74.292134	8500.0						1998-09-09	9	9	1998	5248684	5248684	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003280		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.044Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4417152393	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184987810	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius rufus (Scop.) Fr.	Lactarius rufus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.183484	-70.669921	18743.0						2023-09-14T15:16:01	14	9	2023	5248684	5248684	HUMAN_OBSERVATION	iNaturalist	Observations	184987810		bourgaultl4	2023-09-26T13:25:23	CC_BY_NC_4_0	bourgaultl4	bourgaultl4			2025-01-14T13:33:33.196Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4104560671	5a6538b8-e35c-46c4-8978-6858a657a75f	c1a741fd-e1ac-4eeb-9e25-1cf1087cbe0b	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius rufus (Scop.) Fr.	Lactarius rufus	(Scop.) Fr.	CA	La Verendrye Park	Quebec	PRESENT		a26dde42-dd82-4d07-a763-353ab27fc02c	46.783333	-76.25	301.0						1965-09-16	16	9	1965	5248684	5248684	PRESERVED_SPECIMEN	CUP		CUP-055940	65-111	J. W. Groves		CC0_1_0		J. W. Groves			2025-01-15T04:26:05.359Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4104557495	5a6538b8-e35c-46c4-8978-6858a657a75f	3b1da0e3-7a7b-4e02-8a30-539c0dfeea3d	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius rubescens (Sacc.) Britzelm.	Lactarius rubescens	(Sacc.) Britzelm.	CA	Sackville	New Brunswick	PRESENT		a26dde42-dd82-4d07-a763-353ab27fc02c	45.883333	-64.35	7470.0						1902-10-16	16	10	1902	7809523	5248684	PRESERVED_SPECIMEN	CUP		CUP-A-018304		Atkinson, George		CC0_1_0		Gates, Reginald			2025-01-15T04:26:00.426Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4104432522	5a6538b8-e35c-46c4-8978-6858a657a75f	2ded7459-05d2-4d47-b588-f4c07a419008	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius rufus (Scop.) Fr.	Lactarius rufus	(Scop.) Fr.	CA	Sackville	New Brunswick	PRESENT		a26dde42-dd82-4d07-a763-353ab27fc02c	45.883333	-64.35	7470.0						1902-10-16	16	10	1902	5248684	5248684	PRESERVED_SPECIMEN	CUP		CUP-A-018302		Atkinson, George		CC0_1_0		Gates, Reginald			2025-01-15T04:26:00.299Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4104430716	5a6538b8-e35c-46c4-8978-6858a657a75f	fb55bf1c-654c-4aa6-97f6-a02780776d08	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius rufus (Scop.) Fr.	Lactarius rufus	(Scop.) Fr.	CA	La Verendrye Park	Quebec	PRESENT		a26dde42-dd82-4d07-a763-353ab27fc02c	46.783333	-76.25	301.0						1965-09-16	16	9	1965	5248684	5248684	PRESERVED_SPECIMEN	CUP		CUP-055941	65-111	J. W. Groves		CC0_1_0		J. W. Groves			2025-01-15T04:26:06.145Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4099929416	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	8e3b9ed0-fbeb-4747-b53d-33ee239da3cb	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius boughtonii Peck	Lactarius boughtonii	Peck	CA	Mer Bleue	Ontario	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.400833	-75.499722	301.0						1957-08-15	15	8	1957	5463111	5248684	PRESERVED_SPECIMEN	BPI		BPI 758935		Groves, J. W.		CC0_1_0		Groves, J. W.; Pantidou, M.			2025-01-15T04:59:41.093Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4099454427	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	3ce51e75-7b62-4c8e-9644-435c45f56eb4	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius rufus		SPECIES	Lactarius boughtonii Peck	Lactarius boughtonii	Peck	CA	Mer Bleue near Hawthorne among sphagnum	Ontario	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.393611	-75.600278	301.0						1955-09-27	27	9	1955	5463111	5248684	PRESERVED_SPECIMEN	BPI		BPI 758934		Groves, J. W.		CC0_1_0		Groves, J. W.; Shoemaker, R. A.			2025-01-15T04:59:41.837Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
