gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555099	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000657	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos A.H. Sm.	A.H. Sm.	CA	Saint-Herménégilde	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.105574	-71.672847	3000.0						1989-08-23	23	8	1989	5462790	5248788	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000657		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Pronovost, Josée			2024-01-24T16:38:20.111Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617553308	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000354	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos A.H. Sm.	A.H. Sm.	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						1988-09-18	18	9	1988	5462790	5248788	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000354		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Garneau, Yves			2024-01-24T16:38:20.795Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552677	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003269	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos A.H. Sm.	A.H. Sm.	CA	Parc de la Yamaska	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.429761	-72.616506	6000.0						1998-08-31	31	8	1998	5462790	5248788	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003269		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.020Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4993995995	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/97074904	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.42506	-68.548765							2021-10-03T14:45:43	3	10	2021	5462790	5248788	HUMAN_OBSERVATION	iNaturalist	Observations	97074904		Marc-Aurèle Vallée	2021-10-03T21:44:24	CC0_1_0	Marc-Aurèle Vallée	Marc-Aurèle Vallée			2025-01-14T13:16:11.204Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4982336235	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/132197057	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.459962	-70.364608	48.0						2022-08-23T11:35:04	23	8	2022	5462790	5248788	HUMAN_OBSERVATION	iNaturalist	Observations	132197057		Katia Burelle	2024-11-17T17:49:08	CC_BY_4_0	Marilyne Busque-Dubois	Marilyne Busque-Dubois			2025-01-14T12:31:36.837Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4980694985	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/251213024	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.862949	-66.625681							2022-08-19T10:04	19	8	2022	5462790	5248788	HUMAN_OBSERVATION	iNaturalist	Observations	251213024		David Malloch	2024-11-10T19:42:56	CC_BY_NC_4_0	David Malloch	David Malloch			2025-01-14T12:56:29.187Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976671556	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240402736	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.612511	-75.420244	27126.0						2024-09-07T15:38:50	7	9	2024	5462790	5248788	HUMAN_OBSERVATION	iNaturalist	Observations	240402736		kennedy_9	2024-09-07T20:42:00	CC_BY_NC_4_0	kennedy_9	kennedy_9			2025-01-14T13:39:24.157Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976653439	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244994611	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.36769	-76.019659							2024-09-30T13:44:37	30	9	2024	5462790	5248788	HUMAN_OBSERVATION	iNaturalist	Observations	244994611		gabboilard	2024-10-26T20:57:17	CC_BY_NC_4_0	Leaf Holmes	Leaf Holmes			2025-01-14T12:52:44.838Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976622413	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240434060	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.855301	-71.631707	3.0						2024-09-07T18:15:32	7	9	2024	5462790	5248788	HUMAN_OBSERVATION	iNaturalist	Observations	240434060		calliopeem	2024-09-07T23:31:56	CC_BY_NC_4_0	calliopeem	calliopeem			2025-01-14T13:37:00.625Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976244162	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239020465	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius salmonicolor		SPECIES	Lactarius thyinos A.H.Sm.	Lactarius thyinos		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.365435	-71.776614							2024-08-31T08:52:07	31	8	2024	5462790	5248788	HUMAN_OBSERVATION	iNaturalist	Observations	239020465		Nali T.-Paradis	2024-08-31T18:46:08	CC_BY_NC_4_0	Nali T.-Paradis	Nali T.-Paradis			2025-01-14T13:36:51.237Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
