gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4976665447,2023-08-31T15:19:06,2023,Québec,Lactarius subpurpureus,https://www.inaturalist.org/observations/181122737,POINT (-71.926437 45.422992),21E,-71.9275390452735,45.4231097073899,"-268477,40+165030,17",,,,,F,2,JIN,B,1A,30.0,F,85.0,19,JIN,"{'EO': 0.3, 'FR': 0.2, 'ES': 0.1, 'PE': 0.1, 'TA': 0.1, 'RX': 0.1, 'SB': 0.1}",0.001108313500087493,7,1.8343719702816235,[5.204167],[10.675],[25.847458],[1102.4425],[25.2],[-16.1],[41.300003],[18.216667],[-7.883333],[18.216667],[-9.016666],[1053.],[128.],[50.],[27.352573],[354.],[169.],[354.],[189.]
4976510310,2023-08-19T07:38:47,2023,Québec,Lactarius subpurpureus,https://www.inaturalist.org/observations/179131960,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,16,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",0.0012410549294449833,5,1.4708084763221112,[5.0041666],[10.591667],[25.583736],[1109.9763],[25.],[-16.4],[41.4],[18.066668],[-8.333333],[18.066668],[-9.283333],[1144.],[129.],[59.],[22.326933],[368.],[204.],[368.],[225.]
4976244708,2023-08-26T18:19:27,2023,Québec,Lactarius subpurpureus,https://www.inaturalist.org/observations/180348148,POINT (-71.922745 45.423947),21E,-71.9233646972692,45.4230913458416,"-268239,78+164978,41",,,,,F,1,VIN,C,1AY,30.0,F,85.0,24,VIN,"{'ES': 0.5, 'FT': 0.2, 'PE': 0.2, 'HG': 0.1}",0.001056488875580165,4,1.2206072645530173,[5.2916665],[10.733334],[25.863455],[1103.7886],[25.4],[-16.1],[41.5],[18.316666],[-7.8333335],[18.316666],[-8.95],[1048.],[128.],[49.],[27.52484],[353.],[167.],[353.],[187.]
1135071434,2007-09-12,2007,Québec,Lactarius subpurpureus,CMMF009988,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",0.0016365076013276567,7,1.8343719702816235,[4.295833],[10.408333],[23.927202],[1179.2225],[25.8],[-17.7],[43.5],[17.15],[-9.55],[18.383333],[-10.85],[1316.],[136.],[76.],[15.929979],[389.],[262.],[382.],[276.]
4976381533,2022-09-15T15:27:51,2022,Québec,Lactarius subpurpureus,https://www.inaturalist.org/observations/135183593,POINT (-74.940872 45.651997),31G,-74.9431185791611,45.6479384765011,"-501958,36+206275,99",,,,,F,1,VIR,A,3AN,30.0,F,65.0,28,VIN,"{'EA': 0.6, 'BJ': 0.1, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",0.004638828614874323,5,1.2275294114572126,[5.2791667],[10.758333],[24.788786],[1163.698],[26.2],[-17.2],[43.4],[13.883333],[-8.766667],[18.816666],[-9.833334],[1026.],[100.],[62.],[16.683996],[296.],[197.],[292.],[213.]
4952879747,2024-10-07T13:22:52,2024,Québec,Lactarius subpurpureus,https://www.inaturalist.org/observations/246222408,POINT (-74.940872 45.651947),31G,-74.9431185791611,45.6479384765011,"-501958,36+206275,99",,,,,F,1,VIR,A,3AN,30.0,F,65.0,28,VIN,"{'EA': 0.6, 'BJ': 0.1, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",0.0045951472847204486,5,1.2275294114572126,[5.2791667],[10.758333],[24.788786],[1163.698],[26.2],[-17.2],[43.4],[13.883333],[-8.766667],[18.816666],[-9.833334],[1026.],[100.],[62.],[16.683996],[296.],[197.],[292.],[213.]
4946139233,2024-09-15T13:49:24,2024,Québec,Lactarius subpurpureus,https://www.inaturalist.org/observations/241989486,POINT (-74.042625 45.934567),31G,-74.0427659678687,45.933539832102,"-429503,91+231990,85",,,,,F,1,VIN,D,1AY,30.0,F,65.0,22,VIN,"{'ES': 0.4, 'BJ': 0.3, 'FI': 0.1, 'FT': 0.1, 'RX': 0.1}",0.0010367959445773535,5,1.4184836619456564,[4.0958333],[10.241667],[24.09804],[1149.3604],[24.6],[-17.9],[42.5],[17.616667],[-9.566667],[17.616667],[-10.666666],[1130.],[113.],[70.],[13.611169],[313.],[230.],[313.],[252.]
4519253949,2022-09-22T13:21,2022,Québec,Lactarius subpurpureus,https://www.inaturalist.org/observations/198462542,POINT (-74.08491 45.471549),31G,-74.0833331045752,45.4706811604379,"-436646,87+180934,79",,,,,F,1,VIN,A,6S,30.0,F,95.0,26,VIN,"{'EO': 0.4, 'FT': 0.2, 'HG': 0.2, 'PB': 0.1, 'PU': 0.1}",0.0017999290781246728,5,1.4708084763221112,[5.6708336],[9.558333],[23.199839],[1132.153],[25.7],[-15.5],[41.2],[18.966667],[-7.9333334],[18.966667],[-8.866667],[1012.],[97.],[61.],[14.372761],[283.],[201.],[283.],[218.]
3698231503,2021-10-04T14:49:50,2021,Québec,Lactarius subpurpureus,https://www.inaturalist.org/observations/97185153,POINT (-74.940872 45.651947),31G,-74.9431185791611,45.6479384765011,"-501958,36+206275,99",,,,,F,1,VIR,A,3AN,30.0,F,65.0,28,VIN,"{'EA': 0.6, 'BJ': 0.1, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",0.0045951472847204486,5,1.2275294114572126,[5.2791667],[10.758333],[24.788786],[1163.698],[26.2],[-17.2],[43.4],[13.883333],[-8.766667],[18.816666],[-9.833334],[1026.],[100.],[62.],[16.683996],[296.],[197.],[292.],[213.]
1135068661,2011-09-07,2011,Québec,Lactarius subpurpureus,CMMF007230,POINT (-74.2185 45.683917),31G,-74.2184894361057,45.6817433787633,"-445317,70+205176,03",,,,,F,2,JIN,A,3AN,50.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EA': 0.1, 'FT': 0.1, 'PB': 0.1}",0.0021736469070429546,7,1.8343719702816235,[4.975],[10.266666],[24.27108],[1145.9583],[25.5],[-16.8],[42.3],[7.4333334],[-3.4666667],[18.416666],[-9.833333],[1089.],[109.],[66.],[15.146086],[306.],[216.],[305.],[238.]
1135068320,1980-09-20,1980,Québec,Lactarius subpurpureus,CMMF006835,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
1135068315,2008-08-13,2008,Québec,Lactarius subpurpureus,CMMF006773,POINT (-74.865783 45.661317),31G,-74.8655441904151,45.6601464771758,"-495790,08+206976,47",,,,,F,1,VIN,D,R1A,20.0,F,95.0,25,VIN,"{'CR': 0.7, 'ER': 0.1, 'FT': 0.1, 'TA': 0.1}",0.0011946353836234033,4,0.9404479886553263,[4.979167],[10.858334],[25.019201],[1162.2401],[25.9],[-17.5],[43.4],[13.566667],[-9.05],[18.5],[-10.1],[1100.],[108.],[67.],[16.720024],[318.],[212.],[313.],[232.]
