gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617552688	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003274	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Gray	Lactarius torminosus (Schaeff.) Gray	(Schaeff.) Gray	CA	Parc de la Yamaska	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.429761	-72.616506	6000.0						1998-09-02	2	9	1998	5248619	8122710	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003274		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.028Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4976382423	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240432493	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.540028	-71.801799							2024-09-07T09:37:54	7	9	2024	8122710	8122710	HUMAN_OBSERVATION	iNaturalist	Observations	240432493		egrenier	2024-09-07T23:23:52	CC_BY_NC_4_0	egrenier	egrenier			2025-01-14T13:43:11.061Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4974241146	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247828649	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.383817	-74.509758	48.0						2024-08-31T16:04	31	8	2024	8122710	8122710	HUMAN_OBSERVATION	iNaturalist	Observations	247828649		gabboilard	2024-10-17T22:21:17	CC_BY_NC_4_0	gabboilard	gabboilard			2025-01-14T12:54:36.078Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952825522	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244588237	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.778723	-72.003592	571.0						2024-09-28T15:03:15	28	9	2024	8122710	8122710	HUMAN_OBSERVATION	iNaturalist	Observations	244588237		egrenier	2024-09-28T22:47:39	CC_BY_NC_4_0	egrenier	egrenier			2025-01-14T12:57:41.197Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4413685649	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/182211330	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.182722	-77.71557	5.0						2023-09-03T10:38:45	3	9	2023	8122710	8122710	HUMAN_OBSERVATION	iNaturalist	Observations	182211330		Lynn Ovenden	2023-09-07T17:30:30	CC_BY_NC_4_0	Lynn Ovenden	Lynn Ovenden			2025-01-14T12:42:12.399Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4166305650	695cef75-b65f-4776-b2ed-74565eebb16e	02-01000973802	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Gray	Lactarius torminosus	(Schaeff.) Gray	CA	Smith Lake	Ontario	PRESENT		055bd978-2daa-4543-b3f0-44e0e87e86ca	45.572222	-77.277778							1974-08-27	27	8	1974	5248619	8122710	PRESERVED_SPECIMEN	AAFC	DAOM	186717		D. Malloch		CC_BY_4_0	©His Majesty the King in Right of Canada, as represented by the Minister of Agriculture and Agri-Food	Paul Johnson			2025-01-12T05:11:16.564Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4104438627	5a6538b8-e35c-46c4-8978-6858a657a75f	514b5fdb-d3dd-4e28-95a5-c1ebff6cd144	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Gray	Lactarius torminosus	(Schaeff.) Gray	CA	La Verendrye Park	Quebec	PRESENT		a26dde42-dd82-4d07-a763-353ab27fc02c	46.783333	-76.25	301.0						1965-09-13	13	9	1965	5248619	8122710	PRESERVED_SPECIMEN	CUP		CUP-055944	65-19	J. W. Groves		CC0_1_0		J. W. Groves			2025-01-15T04:26:05.328Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4099916964	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	78b24e49-dd83-45ad-952d-22de32147fca	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Gray	Lactarius torminosus	(Schaeff.) Gray	CA	Horse Shoe Bay near Dunrobin	Ontario	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.42149	-76.01997	301.0						1939-08-20	20	8	1939	5248619	8122710	PRESERVED_SPECIMEN	BPI		BPI 763338		Groves, J. W.		CC0_1_0		Racicot, H. N.			2025-01-15T04:59:41.935Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4099916950	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	29ad656b-ff42-49c8-b90b-25d954a29d2c	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Gray	Lactarius torminosus	(Schaeff.) Gray	CA	La Verendrye Park	Quebec	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	46.783333	-76.25	301.0						1965-09-13	13	9	1965	5248619	8122710	PRESERVED_SPECIMEN	BPI		BPI 763224		Groves, J. W.		CC0_1_0		Groves, J. W.			2025-01-15T04:59:41.973Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4099459965	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	241b510e-9b22-43e8-871f-b82e5e206992	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Gray	Lactarius torminosus	(Schaeff.) Gray	CA	La Verendrye Park	Quebec	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	46.783333	-76.25	301.0						1963-09-10	10	9	1963	5248619	8122710	PRESERVED_SPECIMEN	BPI		BPI 763225		Groves, J. W.		CC0_1_0		Pantidou, M.; Elliott, M. E.			2025-01-15T04:59:41.249Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4023664718	fb9d7c38-5759-4c30-9e09-5b6bd43f78a6	http://id.luomus.fi/MY.3666722	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus (Schaeff.:Fr.) Pers.		CA	Lake Clear	Ontario	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	45.666666	-77.25							1968-09-22T00:00Z	22	9	1968	8122710	8122710	PRESERVED_SPECIMEN	H		http://id.luomus.fi/HA.H7036149				CC_BY_4_0		Groves, J. W.			2025-01-17T02:41:17.578Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4023663395	fb9d7c38-5759-4c30-9e09-5b6bd43f78a6	http://id.luomus.fi/MY.12449278	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus (Schaeff.:Fr.) Pers.		CA	La Verendrye Park	Quebec	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	47.03	-76.53							1965-09-13T00:00Z	13	9	1965	8122710	8122710	PRESERVED_SPECIMEN	H		http://id.luomus.fi/HA.H7076863	J.W. groves 65-19			CC_BY_4_0		Groves, J. W.			2025-01-17T02:41:17.143Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3925378282	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/138019119	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.280868	-64.573686							2022-10-06T16:49:18	6	10	2022	8122710	8122710	HUMAN_OBSERVATION	iNaturalist	Observations	138019119		cinna_latifolia	2022-10-09T06:47:37	CC_BY_NC_4_0	Guylaine Jean-Gagnon	Guylaine Jean-Gagnon			2025-01-14T13:21:53.246Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3384294560	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/95459443	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.194683	-73.57332	12.0						2021-09-19T14:04:05	19	9	2021	8122710	8122710	HUMAN_OBSERVATION	iNaturalist	Observations	95459443		cinna_latifolia	2021-09-20T05:16:14	CC_BY_NC_4_0	pmlviens	pmlviens			2025-01-14T13:14:49.098Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3383888439	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/38326643	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.018155	-77.119286	7813.0						2018-09-12T10:45	12	9	2018	8122710	8122710	HUMAN_OBSERVATION	iNaturalist	Observations	38326643		Rodney Lee	2020-02-05T13:53:32	CC_BY_NC_4_0	Rodney Lee	Rodney Lee			2025-01-14T13:00:14.384Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3349426355	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN992447	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA	Quebec, Anticosti		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	49.9	-64.4							2015-09-09	9	9	2015	8122710	8122710	PRESERVED_SPECIMEN			ANT224-QFB28703		Herman Lambert		CC_BY_4_0		Paul, A.			2025-01-18T13:06:00.317Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
2802614515	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/33237505	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.512625	-75.337543							2019-09-21T11:04	21	9	2019	8122710	8122710	HUMAN_OBSERVATION	iNaturalist	Observations	33237505		Serguei Ponomarenko	2019-09-23T02:26:24	CC_BY_NC_4_0	Serguei Ponomarenko	Serguei Ponomarenko			2025-01-14T13:06:23.949Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2579219701	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/33397003	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus		SPECIES	Lactarius torminosus (Schaeff.) Pers.	Lactarius torminosus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.391514	-79.214485	180.0						2019-09-15T15:01	15	9	2019	8122710	8122710	HUMAN_OBSERVATION	iNaturalist	Observations	33397003		mycowalt	2019-09-25T21:58:03	CC_BY_NC_4_0	mycowalt	mycowalt			2025-01-14T13:03:38.635Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
