gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
617550081,1988-08-21,1988,Québec,Lactarius vinaceorufescens,CMMF000212,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,10,{'RZ': 1.0},1,-0.0
4976271530,2024-10-13T10:13:13,2024,Québec,Lactarius vinaceorufescens,https://www.inaturalist.org/observations/247220635,POINT (-71.876236 46.706234),21L,-71.8772914290983,46.7062758289779,"-257825,24+307290,70",,,,,M,1,VIR,F,5S,10.0,MF,65.0,VIN,"{'BJ': 0.2, 'EO': 0.2, 'ES': 0.1, 'PE': 0.1, 'SB': 0.2, 'EB': 0.1, 'PU': 0.1}",7,1.8866967846580784
4413790922,2023-09-01T12:53:45,2023,Québec,Lactarius vinaceorufescens,https://www.inaturalist.org/observations/182171371,POINT (-71.421307 46.335321),21L,-71.4191579294282,46.3351379427448,"-224547,17+264578,55",,,CP,,F,1,VIR,B,1A,30.0,F,85.0,VIN,"{'ES': 0.3, 'EO': 0.2, 'HG': 0.2, 'BJ': 0.1, 'PE': 0.1, 'SB': 0.1}",6,1.6957425341696346
2573801195,2019-09-27T14:00,2019,Québec,Lactarius vinaceorufescens,https://www.inaturalist.org/observations/33502469,POINT (-71.32323 46.756001),21L,-71.3236001781205,46.7561071579191,"-215356,29+310991,12",,,,,M,2,VIN,A,5S,30.0,MR,75.0,VIN,"{'EN': 0.3, 'SB': 0.2, 'RX': 0.1, 'EO': 0.2, 'BJ': 0.1, 'FT': 0.1}",6,1.6957425341696346
1701212529,2003-08-30,2003,Québec,Lactarius vinaceorufescens,3d971d19-9b21-4202-9174-1c9b920a265b,POINT (-71.281044 46.950852),21L,-71.2830680271636,46.9514798215252,"-211473,15+332611,63",,,,,M,2,JIR,C,1A,30.0,MF,45.0,JIN,"{'ES': 0.3, 'HG': 0.2, 'EO': 0.1, 'FI': 0.1, 'SB': 0.2, 'RX': 0.1}",6,1.6957425341696346
1135070598,2006-09-13,2006,Québec,Lactarius vinaceorufescens,CMMF009172,POINT (-71.306427 46.953091),21L,-71.304719999912,46.9524119060645,"-213069,04+332719,34",,,,,M,3,JIR,D,1A,20.0,MF,75.0,JIN,"{'EO': 0.4, 'FT': 0.2, 'SB': 0.3, 'RX': 0.1}",4,1.2798542258336674
1135070431,2006-08-17,2006,Québec,Lactarius vinaceorufescens,CMMF008987,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
1135069413,2005-09-28,2005,Québec,Lactarius vinaceorufescens,CMMF007941,POINT (-70.357633 46.801567),21L,-70.3573293115138,46.8019192335734,"-141512,06+313680,47",P,1987.0,EPC,2008.0,R,3,30,C,1A,30.0,R,75.0,30,"{'RZ': 0.6, 'SB': 0.2, 'PE': 0.2}",3,0.9502705392332347
1135069249,2009-08-11,2009,Québec,Lactarius vinaceorufescens,CMMF007776,POINT (-71.821833 46.4),21L,-71.8216414492144,46.3989237399545,"-255154,54+273006,21",,,,,F,3,JIR,A,7T,60.0,F,65.0,JIN,"{'EO': 0.4, 'PE': 0.2, 'BG': 0.1, 'FO': 0.1, 'EB': 0.1, 'EN': 0.1}",6,1.6094379124341
1135066714,2007-10-01,2007,Québec,Lactarius vinaceorufescens,CMMF010129,POINT (-71.254455 46.918501),21L,-71.2551573788685,46.9180378961829,"-209449,67+328601,31",,,,,F,3,50,B,1A,30.0,F,85.0,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",6,1.6957425341696346
4430938116,2023-09-02T15:16,2023,Québec,Lactarius vinaceorufescens,https://www.inaturalist.org/observations/181548207,POINT (-70.714542 47.145716),21M,-70.7152394003064,47.1442408675831,"-167648,25+352390,94",,,,,F,2,JIN,C,1A,30.0,F,75.0,JIN,"{'BJ': 0.4, 'EO': 0.2, 'BP': 0.1, 'ES': 0.1, 'SE': 0.2}",5,1.4708084763221112
