gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4901050343,2024-06-22T09:54:38,2024.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/224395480,POINT (-71.558497 45.088215),21E,-71.558438110441,45.089800808686,"-241171,46+126651,31",CT,1992.0,,,M,3,30,C,1A,30.0,MR,65.0,30,"{'SB': 0.6, 'BP': 0.2, 'EO': 0.1, 'PE': 0.1}",4,1.0888999753452235
4863872062,2023-10-27T12:52:21,2023.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/214713014,POINT (-71.860611 45.370581),21E,-71.8590192323505,45.374342013183,"-263369,25+159351,98",,,,,F,2,JIR,C,3AN,40.0,F,55.0,JIN,"{'PA': 0.3, 'EA': 0.2, 'EO': 0.2, 'OR': 0.2, 'FR': 0.1}",5,1.5571130980576458
4413666013,2023-09-08T07:59:45,2023.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/182312968,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",5,1.4708084763221112
4006678357,2020-08-19T15:29:16,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/56960953,POINT (-71.852676 45.370648),21E,-71.8515684830868,45.3702585041827,"-262679,12+158793,83",,,,,F,2,JIN,B,3AN,40.0,F,75.0,JIN,"{'EO': 0.3, 'PA': 0.2, 'BJ': 0.1, 'EA': 0.1, 'ES': 0.1, 'PE': 0.1, 'RX': 0.1}",7,1.8343719702816235
4006534407,2021-09-25T12:47:10,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/96104022,POINT (-71.881767 45.376717),21E,-71.8813634894606,45.376975559642,"-265190,82+159728,40",,,,,F,2,JIR,C,1A,30.0,F,95.0,50,"{'PE': 0.7, 'ES': 0.2, 'EO': 0.1}",3,0.8018185525433372
3773570296,2021-09-07T17:33:51,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/115962124,POINT (-71.903717 45.366055),21E,-71.9036669731713,45.3670973555911,"-266880,21+158618,04",,,,,F,1,JIN,C,1AY,30.0,F,75.0,JIN,"{'BJ': 0.2, 'EO': 0.2, 'ES': 0.2, 'FR': 0.2, 'HG': 0.1, 'RX': 0.1}",6,1.7480673485460894
3385123857,2021-09-14T10:16:16,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/94822061,POINT (-71.828961 45.356818),21E,-71.8295349398868,45.3577367584084,"-261143,91+157402,40",,,,,R,3,30,C,1A,33.0,R,25.0,30,"{'PB': 0.9, 'EO': 0.1}",2,0.3250829733914482
3333265564,2021-07-17T10:51,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/87951009,POINT (-71.930964 45.419239),21E,-71.9314535420994,45.419158498993,"-268806,06+164605,32",,,,,M,2,70,B,1A,40.0,MR,85.0,70,"{'EU': 0.5, 'SE': 0.1, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1}",5,1.3592367006650063
2883079660,2020-08-21T14:09:55,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/61937354,POINT (-70.69421 45.396416),21E,-70.6935969284236,45.3966003211387,"-171957,98+158280,44",,,,,M,3,50,B,2A,20.0,MR,95.0,50,"{'SB': 0.5, 'EU': 0.2, 'BP': 0.2, 'PE': 0.1}",4,1.2206072645530173
2862486411,2020-07-12T19:33,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/52879351,POINT (-71.895991 45.420282),21E,-71.896190226164,45.4218575900138,"-266192,72+164679,85",,,,,F,1,50,D,2BD,20.0,F,75.0,50,"{'PE': 0.4, 'FR': 0.3, 'EO': 0.2, 'ES': 0.1}",4,1.2798542258336674
1890072297,2018-07-30T21:23,2018.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/14973921,POINT (-71.97926 45.217444),21E,-71.9817306583548,45.2140534735599,"-273755,98+141931,61",,,,,M,2,JIN,B,1A,30.0,MF,75.0,JIN,"{'PE': 0.3, 'EO': 0.2, 'FX': 0.1, 'EB': 0.3, 'RX': 0.1}",5,1.5047882836811908
4946578137,2024-09-08T15:41:59,2024.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/240613530,POINT (-71.50247 46.719759),21L,-71.502271201919,46.7209644938829,"-229169,34+307646,07",,,,,F,2,VIN,A,5A,40.0,F,85.0,VIN,"{'EO': 0.4, 'ES': 0.2, 'FO': 0.2, 'FH': 0.1, 'FT': 0.1}",5,1.4708084763221112
4925882410,2024-08-17T19:45:55,2024.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/236704298,POINT (-71.434329 46.73114),21L,-71.4359948237744,46.7312601772015,"-224033,55+308577,42",,,,,F,2,50,A,5A,50.0,F,85.0,50,"{'FO': 0.8, 'ER': 0.1, 'FN': 0.1}",3,0.639031859650177
4596984759,2021-07-23T11:11,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/202035438,POINT (-71.8975 46.0488),21L,-71.8976518263765,46.0491314597585,"-262816,53+234509,45",,,,,F,2,VIN,D,1AM,20.0,F,85.0,VIN,"{'ES': 0.8, 'FT': 0.1, 'HG': 0.1}",3,0.639031859650177
4500807512,2023-08-13T16:41,2023.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/183934477,POINT (-71.434364 46.730225),21L,-71.4359948237744,46.7312601772015,"-224033,55+308577,42",,,,,F,2,50,A,5A,50.0,F,85.0,50,"{'FO': 0.8, 'ER': 0.1, 'FN': 0.1}",3,0.639031859650177
4405224055,2023-08-22T18:25:18,2023.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/179766102,POINT (-71.272308 46.779515),21L,-71.2722958302962,46.7796049000976,"-211343,83+313444,00",,,,,F,2,VIR,A,1A,30.0,F,85.0,VIN,"{'ES': 0.7, 'FT': 0.2, 'EO': 0.1}",3,0.8018185525433372
4177152258,2023-08-09T12:16:55,2023.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/177536167,POINT (-71.499012 46.776019),21L,-71.4997472134371,46.7764547569034,"-228692,74+313796,19",,,,,F,2,VIN,B,5S,20.0,F,75.0,VIN,"{'EO': 0.4, 'ES': 0.2, 'FT': 0.2, 'BJ': 0.1, 'FO': 0.1}",5,1.4708084763221112
4137659464,2015-10-05T13:28,2015.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/74856836,POINT (-71.217397 46.801501),21L,-71.217980063966,46.7996272036028,"-206635,59+315873,60",,,,,M,3,JIN,F,5S,20.0,MR,65.0,JIN,"{'TO': 0.6, 'ER': 0.2, 'BP': 0.1, 'FT': 0.1}",4,1.0888999753452235
3902715497,2022-08-24T15:01:45,2022.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/132213407,POINT (-71.312212 46.751393),21L,-71.3106258668917,46.7504886831594,"-214386,29+310326,11",,,,,F,2,JIN,C,1AM,20.0,F,75.0,JIN,"{'CR': 0.5, 'ES': 0.2, 'FT': 0.2, 'EO': 0.1}",4,1.2206072645530173
3014060640,2020-09-04T12:59:40,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/67031182,POINT (-71.312123 46.750309),21L,-71.3106258668917,46.7504886831594,"-214386,29+310326,11",,,,,F,2,JIN,C,1AM,20.0,F,75.0,JIN,"{'CR': 0.5, 'ES': 0.2, 'FT': 0.2, 'EO': 0.1}",4,1.2206072645530173
2862444498,2020-08-03,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/56985598,POINT (-71.321314 46.758055),21L,-71.320578256682,46.7567730677949,"-215120,01+310974,47",,,,,F,3,50,A,5S,30.0,F,95.0,50,"{'EO': 0.4, 'BP': 0.3, 'BJ': 0.1, 'PU': 0.1, 'SB': 0.1}",5,1.4184836619456564
1412708231,1988-08-28,1988.0,Québec,Laetiporus sulphureus,CMMF016710,POINT (-71.262427 46.787693),21L,-71.2684208686508,46.785816030874,"-210961,15+314071,88",,,,,F,3,JIR,A,1A,30.0,F,75.0,JIN,"{'EO': 0.4, 'BP': 0.3, 'FT': 0.1, 'PE': 0.1, 'RX': 0.1}",5,1.4184836619456564
1412708223,1989-08-27,1989.0,Québec,Laetiporus sulphureus,CMMF016615,POINT (-71.265367 46.770318),21L,-71.2623722216728,46.7686733108903,"-210621,62+312052,17",,,,,F,1,VIN,C,5S,20.0,F,65.0,VIN,"{'FT': 0.5, 'ES': 0.3, 'BJ': 0.1, 'EO': 0.1}",4,1.1682824501765625
1412708184,2012-09,2012.0,Québec,Laetiporus sulphureus,CMMF016625,POINT (-71.322024 46.749834),21L,-71.3217635801375,46.750160279283,"-215251,07+310326,33",,,,,F,4,10,F,R1A,10.0,F,65.0,10,"{'BP': 0.5, 'FN': 0.2, 'PE': 0.1, 'PU': 0.1, 'SB': 0.1}",5,1.3592367006650063
1412708141,1988-08-21,1988.0,Québec,Laetiporus sulphureus,CMMF016654,POINT (-71.384379 46.867482),21L,-71.384462313701,46.8655999952224,"-219469,87+323359,86",,,,,M,2,JIR,A,7T,50.0,MR,65.0,70,"{'ML': 0.5, 'SB': 0.2, 'EO': 0.2, 'BG': 0.1}",4,1.2206072645530173
1135069432,1977-09-08,1977.0,Québec,Laetiporus sulphureus,CMMF007912,POINT (-71.33515 46.754317),21L,-71.3356017225365,46.7540026522317,"-216276,59+310756,84",,,,,F,2,JIN,B,5S,20.0,F,85.0,JIN,"{'ES': 0.5, 'CR': 0.2, 'FT': 0.2, 'EO': 0.1}",4,1.2206072645530173
2862430387,2020-04-26T12:03:43,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/43726845,POINT (-70.994842 47.015284),21M,-70.9943501507164,47.0151994045474,"-189165,51+338778,86",,,,,F,3,JIR,D,1AY,30.0,F,75.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'BP': 0.1, 'HG': 0.1, 'EP': 0.1, 'SB': 0.1}",7,1.8343719702816235
1412703226,1944-09-09,1944.0,Québec,Laetiporus sulphureus,CMMF011684,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30.0,MR,65.0,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",5,1.3592367006650063
1412703193,1941-10-04,1941.0,Québec,Laetiporus sulphureus,CMMF011657,POINT (-70.03165 47.3105),21M,-70.0301111780333,47.309449753584,"-115410,04+369373,10",,,CP,,M,3,JIR,A,1AY,30.0,MR,75.0,JIN,"{'SB': 0.3, 'EB': 0.2, 'RX': 0.1, 'BP': 0.2, 'EO': 0.2}",5,1.5571130980576458
5008260959,2024-07-25T15:13,2024.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/243166120,POINT (-76.903143 45.916509),31F,-76.9045343158066,45.9159239058249,"-650638,84+251661,67",,,,,M,2,JIN12,D,R1A,10.0,R,35.0,120,{'PB': 1.0},1,-0.0
4936079149,2020-08-27T12:36,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/58116128,POINT (-76.050302 45.610532),31F,-76.0496279502482,45.6118723642878,"-588165,15+210729,20",,,,,F,1,VIN,D,R1A,20.0,F,75.0,VIN,"{'CR': 0.8, 'ER': 0.1, 'FT': 0.1}",3,0.639031859650177
4908652330,2021-07-02T14:14:18,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/85504387,POINT (-76.130738 45.932642),31F,-76.130144748431,45.9325262797538,"-590741,93+246775,66",,,,,F,2,JIN,D,R1A,20.0,F,95.0,JIN,"{'CR': 0.7, 'ES': 0.2, 'FT': 0.1}",3,0.8018185525433372
4162252125,2023-07-14T12:50:39,2023.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/173074104,POINT (-76.195493 45.675564),31F,-76.1971795206476,45.6750935936343,"-598988,85+218811,08",,,,,F,2,JIN,D,1AM,20.0,F,85.0,JIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.1, 'PE': 0.1}",4,1.0888999753452235
3872884487,2021-08-13T14:59:01,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/91030126,POINT (-76.424969 45.478118),31F,-76.4125433599686,45.5010997423757,"-617739,66+201410,65",,,,,M,2,VIN,A,3AN,30.0,MF,55.0,VIN,"{'EO': 0.2, 'FT': 0.2, 'EA': 0.1, 'FH': 0.1, 'PB': 0.4}",5,1.4708084763221114
1890075989,2018-07-30T17:39:48,2018.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/14989905,POINT (-76.555626 45.537086),31F,-76.5566640495008,45.5374504993446,"-628579,29+206702,42",,,CP,,M,1,VIN,B,R1A,30.0,MF,85.0,VIN,"{'ES': 0.3, 'FR': 0.1, 'FT': 0.1, 'TA': 0.1, 'PB': 0.4}",5,1.4184836619456562
