gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4994464074,2020-09-03T09:59:36,2020.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/58439568,POINT (-71.905156 45.403515),21E,-71.9060903518787,45.4048593966531,"-266822,60+162834,17",,,,,F,2,JIN,B,1A,40.0,F,55.0,JIN,"{'ES': 0.4, 'FT': 0.2, 'TA': 0.2, 'FH': 0.1, 'FR': 0.1}",5,1.4708084763221112
4400156831,2023-08-15T16:48:12,2023.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/178603708,POINT (-71.926063 45.383617),21E,-71.9210129701979,45.3810199028508,"-268188,05+160327,11",,,,,M,2,50,C,1AY,30.0,MF,85.0,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",5,1.4184836619456564
3456806528,2021-09-12T11:12:55,2021.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/94662961,POINT (-71.771028 45.354558),21E,-71.7708095897704,45.3520893195259,"-256575,24+156560,39",,,,,R,3,30,B,1A,40.0,R,55.0,30,"{'EB': 0.3, 'ML': 0.3, 'SB': 0.3, 'TO': 0.1}",4,1.313834033192747
3333151625,2021-07-22T12:42:27,2021.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/88141423,POINT (-71.929062 45.382496),21E,-71.9210129701979,45.3810199028508,"-268188,05+160327,11",,,,,M,2,50,C,1AY,30.0,MF,85.0,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",5,1.4184836619456564
4528243525,2023-08-15,2023.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/199986495,POINT (-71.331598 46.788884),21L,-71.3325614923049,46.7921684724692,"-215700,37+315184,57",,,,,F,2,JIR,A,5A,40.0,F,85.0,JIN,"{'EO': 0.6, 'FI': 0.1, 'FT': 0.1, 'ML': 0.1, 'RX': 0.1}",5,1.2275294114572126
4525189362,2023-08-20,2023.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/199357164,POINT (-71.254617 46.850581),21L,-71.2590984558885,46.8507532689862,"-209968,45+321230,10",,,,,F,2,JIN,B,5A,30.0,F,55.0,JIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'PE': 0.1}",4,1.2798542258336674
4400191090,2023-08-17T14:25,2023.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/178912066,POINT (-71.138018 46.826301),21L,-71.1316575364895,46.8250234223684,"-200443,16+318077,21",,,,,F,2,JIN,C,8AY,30.0,F,95.0,JIN,"{'ES': 0.5, 'FR': 0.3, 'FT': 0.2}",3,1.0296530140645737
4009890982,2022-08-28,2022.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/144989225,POINT (-71.242949 46.855013),21L,-71.2493126412129,46.8536228848842,"-209389,99+321523,69",,,,,F,2,VIN,B,5A,30.0,F,65.0,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.1, 'RX': 0.1, 'SB': 0.1}",5,1.4184836619456564
3465992491,2020-10-18T19:42,2020.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/62961920,POINT (-71.263688 46.76331),21L,-71.2636490082636,46.7648660794519,"-210842,77+311723,39",,,,,F,2,VIN,F,R1A,20.0,F,75.0,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.1, 'PE': 0.1, 'RX': 0.1}",5,1.4184836619456564
2873763313,2018-10-05,2018.0,Québec,Leucoagaricus leucothites,https://www.inaturalist.org/observations/17229223,POINT (-71.286471 46.784915),21L,-71.2883151052035,46.7787125836834,"-212567,19+313393,01",,,,,F,3,30,B,5S,20.0,F,75.0,30,"{'PE': 0.5, 'BP': 0.3, 'EO': 0.1, 'FN': 0.1}",4,1.1682824501765625
