gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
3881507901,2022-07-31T19:33:44,2022,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/128894467,POINT (-71.966447 45.364383),21E,-71.967677945972,45.3667487160823,"-271944,59+158886,82",,,,,F,2,JIR,B,1A,30.0,F,65.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'FN': 0.1, 'FR': 0.1, 'OR': 0.1, 'PB': 0.1, 'RX': 0.1}",7,1.8343719702816235
3321029307,2021-06-29T13:15:52,2021,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/84994418,POINT (-71.964343 45.377337),21E,-71.962799246842,45.377410531652,"-271484,26+160085,51",,,,,M,1,VIR,D,1A,30.0,MF,75.0,VIN,"{'ES': 0.3, 'BG': 0.1, 'EO': 0.1, 'FT': 0.1, 'PB': 0.4}",5,1.4184836619456562
4946581697,2024-09-08T08:58:04,2024,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/240743848,POINT (-71.250105 46.781447),21L,-71.2533965184884,46.779100247136,"-209838,28+313265,39",,,,,F,2,VIN,B,5S,20.0,F,75.0,VIN,"{'FT': 0.5, 'ES': 0.4, 'EO': 0.1}",3,0.9433483923290391
4177360994,2023-08-13T14:51:37,2023,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/178251696,POINT (-71.237972 46.806068),21L,-71.2413595058934,46.8017853024566,"-208984,18+315815,55",,,,,F,1,VIR,B,5S,20.0,F,65.0,VIN,"{'ES': 0.6, 'FT': 0.4}",2,0.6730116670092565
4126803934,2021-07-27T10:46:44,2021,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/88821547,POINT (-71.338774 46.849287),21L,-71.3385384874905,46.8524846784926,"-216068,24+321718,46",,,,,F,2,JIR,B,5A,40.0,F,35.0,JIN,"{'FO': 0.3, 'EO': 0.2, 'FN': 0.2, 'PA': 0.2, 'FT': 0.1}",5,1.5571130980576458
4075580393,2020-08-09T17:52:17Z,2020,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/55937522,POINT (-71.385903 46.736907),21L,-71.3829077754302,46.7354495824852,"-219968,06+308880,19",,,,,F,2,JIR,F,R1A,20.0,F,85.0,JIN,"{'FT': 0.4, 'ES': 0.3, 'EO': 0.1, 'RX': 0.1, 'SB': 0.1}",5,1.4184836619456564
4067271977,2005-12-22T22:29,2005,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/151296352,POINT (-71.1715 46.817895),21L,-71.1685810101185,46.8193036624388,"-203382,03+317478,00",,,,,F,1,VIN,A,5S,30.0,F,65.0,VIN,"{'ES': 0.5, 'EA': 0.2, 'FT': 0.2, 'FN': 0.1}",4,1.2206072645530173
4133695830,2023-06-09T06:07,2023,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/167085608,POINT (-76.478898 45.924667),31F,-76.4791908832962,45.9252756852537,"-617800,92+248893,68",,,,,F,2,JIN,B,1AM,30.0,F,85.0,JIN,"{'ES': 0.4, 'HG': 0.3, 'EO': 0.1, 'FT': 0.1, 'PE': 0.1}",5,1.4184836619456564
4935981639,2023-10-29T08:39:39,2023,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/189341414,POINT (-74.122666 45.866149),31G,-74.1215859459367,45.8681289430124,"-436164,12+225240,96",,,,,F,3,50,D,1AY,20.0,F,85.0,50,"{'EO': 0.3, 'ES': 0.2, 'HG': 0.2, 'BP': 0.1, 'PE': 0.1, 'SB': 0.1}",6,1.6957425341696346
4075759413,2020-08-24T20:33:36,2020,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/57561868,POINT (-75.701272 45.476545),31G,-75.7042715147527,45.4691134101712,"-562933,33+192129,82",,,,,F,2,JIN,C,3AN,41.0,F,65.0,JIN,"{'EA': 0.4, 'FT': 0.3, 'FR': 0.2, 'EO': 0.1}",4,1.2798542258336674
3988484398,2021-10-09T08:55,2021,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/97907626,POINT (-75.818253 45.5401),31G,-75.8193420159605,45.5408359378668,"-571180,59+200911,33",,,CP,,M,2,VIN,F,1AM,20.0,MF,75.0,VIN,"{'ES': 0.3, 'CR': 0.1, 'FT': 0.1, 'TA': 0.1, 'PU': 0.3, 'PB': 0.1}",6,1.6434177197931796
3923686353,2020-07-18T21:59:41,2020,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/53550883,POINT (-75.804543 45.408488),31G,-75.8042309705732,45.4065029927548,"-571634,81+185957,70",,,CP,,F,1,JIN,A,5A,40.0,F,65.0,JIN,"{'FR': 0.6, 'EO': 0.1, 'FT': 0.1, 'PE': 0.1, 'RX': 0.1}",5,1.2275294114572126
2311298802,2019-07-08T08:01:35,2019,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/28449506,POINT (-74.355469 45.089036),31G,-74.3540250321404,45.0881950056914,"-461257,42+140197,52",,,,,F,1,JIN,A,5A,40.0,F,75.0,JIN,"{'FR': 0.3, 'EA': 0.2, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1, 'OR': 0.1}",6,1.6957425341696346
