gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694159176	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	31226	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	Leslie M. Frost Natural Resources Centre	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.159467	-78.8451	450.0						1972-10-14	14	10	1972	5453425	5453425	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC047830		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.;			2024-01-25T00:59:40.887Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157314	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15945	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	Forest Ranger School	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.159467	-78.8451	450.0						1961-09-13	13	9	1961	5453425	5453425	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC037661		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.796Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157281	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15616	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	S of Dorset	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.23936	-78.888359	1499.0						1970-09-19	19	9	1970	5453425	5453425	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC046220		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.588Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157241	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15434	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	Purbrook	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.03156	-79.14979	750.0						1956-09-02	2	9	1956	5453425	5453425	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC050419		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.235Z		AMBIGUOUS_INSTITUTION
694156862	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13445	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	Algonquin Provincial Park, Opeongo Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.698027	-78.369598	8499.0						1954-09-17	17	9	1954	5453425	5453425	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC050407		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:41.141Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156842	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13220	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	Algonquin Provincial Park, Sproule Creek	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.625098	-78.36594	35.0						1956-09-25	25	9	1956	5453425	5453425	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC032897		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.838Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156832	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13149	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	Algonquin Provincial Park, Sproule Lake Portage	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.634026	-78.369083	1347.0						1954-09-17	17	9	1954	5453425	5453425	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC030483		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.743Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156816	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13008	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	Algonquin Provincial Park, Opeongo Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.698027	-78.369598	8499.0						1958-09-13	13	9	1958	5453425	5453425	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC033959		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.560Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156709	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	11484	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	Opeongo South district	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.610435	-78.365478	3287.0						1958-09-08	8	9	1958	5453425	5453425	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC044062		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:39.238Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617554994	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000609	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Lycoperdon	Lycoperdon marginatum		SPECIES	Lycoperdon marginatum Vittad.	Lycoperdon marginatum Vittad.	Vittad.	CA	Mirabel	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.659599	-74.064294	18500.0						1989-08-06	6	8	1989	5453425	5453425	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000609		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.207Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
