gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4416639299,2023-09-23T15:38:45,2023,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/184651903,POINT (-71.239197 46.901312),21L,-71.2373105918105,46.9018331735774,"-208095,82+326997,98",,,,,M,2,JIN,B,1A,30.0,MF,75.0,JIN,"{'EO': 0.3, 'BJ': 0.2, 'BP': 0.1, 'PE': 0.1, 'SB': 0.2, 'EB': 0.1}",6,1.6957425341696346
4014933427,2021-07-31T11:48,2021,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/90272948,POINT (-71.314305 46.75133),21L,-71.3156089242141,46.7509769434767,"-214781,29+310414,71",,,,,F,2,JIN,F,R1A,10.0,F,75.0,JIN,"{'CR': 0.5, 'ES': 0.2, 'FT': 0.2, 'EO': 0.1}",4,1.2206072645530173
3892470145,2022-08-15T16:34:55,2022,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/131007381,POINT (-71.42858 46.840545),21L,-71.4303118690304,46.8393293933013,"-223107,51+320586,87",,,,,F,2,VIR,B,1A,30.0,F,75.0,VIN,"{'ES': 0.6, 'BJ': 0.1, 'EO': 0.1, 'FR': 0.1, 'HG': 0.1}",5,1.2275294114572126
2423019136,2019-09-09T08:18,2019,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/32521619,POINT (-71.334104 46.786848),21L,-71.3336058835573,46.7854218465545,"-215872,16+314260,70",,,,,F,3,JIR,A,5A,40.0,F,65.0,JIN,"{'EO': 0.4, 'PE': 0.3, 'FH': 0.1, 'FN': 0.1, 'FT': 0.1}",5,1.4184836619456564
1135066746,2007-10-06,2007,Québec,Lycoperdon marginatum,CMMF010159,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
1412707275,2003-10,2003,Québec,Lycoperdon marginatum,CMMF015836,POINT (-69.710364 48.144969),22C,-69.7125995895456,48.1452203916367,"-89875,58+461563,97",,,CP,,F,3,50,E,5S,10.0,F,45.0,50,"{'BP': 0.6, 'PE': 0.3, 'RX': 0.1}",3,0.8979457248567797
4171591313,2023-07-27T10:24:09,2023,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/175238043,POINT (-76.254339 45.606063),31F,-76.2536528010432,45.6056152051938,"-604193,45+211673,03",,,,,F,3,JIR,A,7T,50.0,F,75.0,JIN,"{'FO': 0.5, 'FH': 0.3, 'EA': 0.2}",3,1.0296530140645737
1412705139,1959-09-11,1959,Québec,Lycoperdon marginatum,CMMF013562,POINT (-76.153405 45.922926),31F,-76.1516260395574,45.921601216125,"-592539,87+245793,73",,,,,M,3,JIN,A,2BE,20.0,MR,65.0,JIN,"{'EB': 0.4, 'SB': 0.1, 'TO': 0.1, 'FO': 0.2, 'PE': 0.2}",5,1.4708084763221114
617554994,1989-08-06,1989,Québec,Lycoperdon marginatum,CMMF000609,POINT (-74.064294 45.659599),31G,-74.0657029048305,45.6588707794673,"-433649,65+201698,55",,,,,F,3,30,A,5S,40.0,F,35.0,30,"{'EO': 0.3, 'FI': 0.2, 'FT': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FH': 0.1}",6,1.6957425341696346
4171674032,2023-07-30T11:20:11,2023,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/175742848,POINT (-74.185921 45.387329),31G,-74.1837851477288,45.3891700383737,"-445300,24+172592,41",,,,,F,2,JIR,A,5S,30.0,F,85.0,JIN,"{'EO': 0.3, 'PE': 0.3, 'FR': 0.2, 'BG': 0.1, 'RX': 0.1}",5,1.5047882836811908
3338120951,2021-08-14T08:57,2021,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/91180583,POINT (-74.18491 45.390921),31G,-74.1830435862167,45.3913789712399,"-445135,63+172744,65",,,,,M,2,JIR,A,5S,30.0,MF,85.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'FT': 0.1, 'PU': 0.2, 'SE': 0.1, 'TO': 0.1}",6,1.6957425341696346
3113261643,2020-08-30T18:29:08,2020,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/77709314,POINT (-75.627686 45.545664),31G,-75.6285090049629,45.545785371326,"-556308,90+199978,55",,,,,R,2,JIR,D,5A,30.0,R,75.0,JIN,"{'PB': 0.8, 'ER': 0.1, 'FX': 0.1}",3,0.639031859650177
1412705129,1967-09-16,1967,Québec,Lycoperdon marginatum,CMMF013563,POINT (-75.855821 45.675485),31G,-75.8550759596783,45.675355543461,"-572453,76+216105,70",,,,,F,1,VIN,D,1AY,30.0,F,85.0,VIN,"{'CR': 0.6, 'PE': 0.3, 'FT': 0.1}",3,0.8979457248567797
1135068381,2005-09-05,2005,Québec,Lycoperdon marginatum,CMMF006900,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
4852839775,2020-08-10T12:59,2020,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/207821903,POINT (-73.71253 45.811943),31H,-73.7144390831057,45.8130557420286,"-405081,07+216723,89",,,,,M,2,50,A,5S,30.0,MR,65.0,50,"{'PB': 0.5, 'PR': 0.1, 'SB': 0.1, 'PE': 0.2, 'FX': 0.1}",5,1.3592367006650063
3961225634,2022-10-03T17:00:04,2022,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/137505145,POINT (-72.73728 45.827872),31H,-72.7365537517533,45.8262475884116,"-329126,14+213188,44",,,,,F,2,JIN,A,5S,40.0,F,75.0,JIN,"{'EO': 0.6, 'PE': 0.2, 'FT': 0.1, 'RX': 0.1}",4,1.0888999753452235
3399197920,2021-10-05T16:05,2021,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/98038271,POINT (-73.584532 45.513719),31H,-73.5865581924405,45.5129712188364,"-397438,15+182610,36",,,,,F,1,VIR,C,5S,30.0,F,85.0,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'FN': 0.1}",6,1.7480673485460894
3391692142,2021-10-12T14:45:43,2021,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/98030318,POINT (-73.639269 45.47706),31H,-73.6346013989409,45.4897193298066,"-401480,89+180401,83",,,,,F,1,VIR,A,5A,30.0,F,85.0,VIN,"{'ES': 0.6, 'TA': 0.2, 'FR': 0.1, 'PL': 0.1}",4,1.0888999753452235
3391379127,2021-10-05T15:50:28,2021,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/98024008,POINT (-73.653351 45.507112),31H,-73.6346013989409,45.4897193298066,"-401480,89+180401,83",,,,,F,1,VIR,A,5A,30.0,F,85.0,VIN,"{'ES': 0.6, 'TA': 0.2, 'FR': 0.1, 'PL': 0.1}",4,1.0888999753452235
3384755458,2021-10-05T15:25:41,2021,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/97273457,POINT (-73.583301 45.512283),31H,-73.5865581924405,45.5129712188364,"-397438,15+182610,36",,,,,F,1,VIR,C,5S,30.0,F,85.0,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'FN': 0.1}",6,1.7480673485460894
3384122514,2021-10-06T18:01:29,2021,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/97391437,POINT (-73.579003 45.511913),31H,-73.5865581924405,45.5129712188364,"-397438,15+182610,36",,,,,F,1,VIR,C,5S,30.0,F,85.0,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'FN': 0.1}",6,1.7480673485460894
