gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617553724	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000373	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae Peck	Peck	CA	Lachute	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.664878	-74.292134	8500.0						1988-09-21	21	9	1988	5450943	5451437	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000373		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.812Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550019	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002092	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae Peck	Peck	CA	Lachute	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.664878	-74.292134	8500.0						1993-09-29	29	9	1993	5450943	5451437	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002092		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.959Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548751	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001542	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae Peck	Peck	CA	Lachute	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.664878	-74.292134	8500.0						1991-10-05	5	10	1991	5450943	5451437	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001542		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.635Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548644	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001496	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae Peck	Peck	CA	Lachute	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.664878	-74.292134	8500.0						1991-09-13	13	9	1991	5450943	5451437	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001496		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Jesina, Milos			2024-01-24T16:38:17.616Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4949990609	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/242758193	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.663013	-74.244387	4.0						2024-09-19T18:04:22	19	9	2024	5450943	5451437	HUMAN_OBSERVATION	iNaturalist	Observations	242758193		Mical	2024-09-20T23:42:44	CC_BY_4_0	Mical	Mical			2025-01-14T12:53:39.456Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4855225989	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58901025	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.571895	-78.502097	4.0						2020-09-07T16:01:37	7	9	2020	5450943	5451437	HUMAN_OBSERVATION	iNaturalist	Observations	58901025		cinna_latifolia	2021-07-16T03:45:35	CC_BY_NC_4_0	Jeffrey H. Skevington	Jeffrey H. Skevington			2025-01-14T12:15:45.256Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4852895195	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/187497093	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.662978	-74.2473	27.0						2023-10-14T10:03:53	14	10	2023	5450943	5451437	HUMAN_OBSERVATION	iNaturalist	Observations	187497093		l_bienvenue	2023-10-15T10:31:18	CC_BY_NC_4_0	l_bienvenue	l_bienvenue			2025-01-14T13:33:37.469Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4852286843	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/60878249	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.510539	-75.331433	4.0						2020-09-26T17:05:23	26	9	2020	5450943	5451437	HUMAN_OBSERVATION	iNaturalist	Observations	60878249		Garrett Taylor	2021-02-07T22:58:59	CC_BY_NC_4_0	jfbeaulnes	jfbeaulnes			2025-01-14T12:14:53.721Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4431078112	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/187569006	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.664008	-74.244788	7.0						2023-10-14T11:20:42	14	10	2023	5450943	5451437	HUMAN_OBSERVATION	iNaturalist	Observations	187569006		Patrice Dauzet	2023-10-16T15:44:03	CC_BY_4_0	Mical	Mical			2025-01-14T13:32:08.203Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4430760526	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188384976	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Melanoleuca	Melanoleuca davisiae		SPECIES	Tricholoma davisiae Peck	Tricholoma davisiae		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.660204	-74.246258	404.0						2023-10-14T09:23	14	10	2023	5450943	5451437	HUMAN_OBSERVATION	iNaturalist	Observations	188384976		Antoine Fortin	2023-10-21T15:00:44	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T12:42:52.705Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
