gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617554798	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000522	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii (Berk. & M.A. Curtis) E. Fisch.	(Berk. & M.A. Curtis) E. Fisch.	CA	Lachenaie	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.702557	-73.572854	6000.0						1989-06-26	26	6	1989	5239466	5239466	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000522		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.044Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552526	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000320	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii (Berk. & M.A. Curtis) E. Fisch.	(Berk. & M.A. Curtis) E. Fisch.	CA	Châteauguay	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.359455	-73.734207	5000.0						1988-09-10	10	9	1988	5239466	5239466	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000320		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.785Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551393	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002687	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii (Berk. & M.A. Curtis) E. Fisch.	(Berk. & M.A. Curtis) E. Fisch.	CA	Saint-Majorique	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931221	-72.584529	5000.0						1995-09-27	27	9	1995	5239466	5239466	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002687		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Audet, Serge			2024-01-24T16:38:20.356Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4953110675	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244488195	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.879658	-71.367417	61.0						2024-09-26T15:31:41	26	9	2024	5239466	5239466	HUMAN_OBSERVATION	iNaturalist	Observations	244488195		timfoster	2024-09-28T13:58:46	CC_BY_NC_4_0	timfoster	timfoster			2025-01-14T12:54:05.515Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952583500	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244154652	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.086195	-66.910622	8.0						2024-09-26T13:00:40	26	9	2024	5239466	5239466	HUMAN_OBSERVATION	iNaturalist	Observations	244154652		Wyatt Lawrence	2024-09-26T16:28:09	CC_BY_NC_4_0	Wyatt Lawrence	Wyatt Lawrence			2025-01-14T12:54:17.019Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952363248	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/245048111	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.727631	-65.882671	19.0						2024-10-01T07:25:34	1	10	2024	5239466	5239466	HUMAN_OBSERVATION	iNaturalist	Observations	245048111		roachiecanada	2024-10-01T10:27:19	CC_BY_NC_4_0	roachiecanada	roachiecanada			2025-01-14T12:54:04.246Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946694244	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241546660	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.29457	-66.033669	180.0						2024-09-13T19:12:31	13	9	2024	5239466	5239466	HUMAN_OBSERVATION	iNaturalist	Observations	241546660		Toni Doucette	2024-09-13T22:38:47	CC_BY_NC_4_0	Toni Doucette	Toni Doucette			2025-01-14T12:49:39.250Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946383460	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236999570	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.29457	-66.033669	184.0						2024-08-20T18:41:08	20	8	2024	5239466	5239466	HUMAN_OBSERVATION	iNaturalist	Observations	236999570		Toni Doucette	2024-08-20T22:17:55	CC_BY_NC_4_0	Toni Doucette	Toni Doucette			2025-01-14T12:48:44.176Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946354984	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241635216	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.345569	-71.749869	2760.0						2024-08-23T15:56	23	8	2024	5239466	5239466	HUMAN_OBSERVATION	iNaturalist	Observations	241635216		gabboilard	2024-09-14T13:23:56	CC_BY_NC_4_0	gabboilard	gabboilard			2025-01-14T13:42:24.551Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946172979	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240559419	Fungi	Basidiomycota	Agaricomycetes	Phallales	Phallaceae	Mutinus	Mutinus ravenelii		SPECIES	Mutinus ravenelii (Berk.) E.Fisch.	Mutinus ravenelii		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.292542	-75.809586	4.0						2024-09-08T11:39:48	8	9	2024	5239466	5239466	HUMAN_OBSERVATION	iNaturalist	Observations	240559419		sparky95	2024-09-08T15:39:59	CC_BY_NC_4_0	sparky95	sparky95			2025-01-14T12:57:18.936Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
