gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
4946354984,2024-08-23T15:56,2024,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/241635216,POINT (-71.749869 45.345569),21E,-71.7510711356504,45.3460705860987,"-255039,28+155798,13",,,,,M,1,JIN,B,2A,20.0,MF,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'FT': 0.1, 'EB': 0.1, 'PB': 0.1, 'SB': 0.1}",7,1.8343719702816235
4416718008,2023-09-12T15:15,2023,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/184618885,POINT (-71.847484 45.119518),21E,-71.8504272841805,45.1139810880409,"-264061,70+130354,61",,,,,M,3,50,A,1A,50.0,MF,65.0,50,"{'BG': 0.3, 'EO': 0.2, 'BJ': 0.1, 'BP': 0.1, 'SB': 0.2, 'EB': 0.1}",6,1.6957425341696346
4028773612,2022-09-20T10:33,2022,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/139623918,POINT (-70.927962 45.603203),21E,-70.9242081123302,45.6056355988177,"-189232,52+182111,45",FR,,,,M,6,10,B,1A,40.0,MF,,10,{},0,-0.0
3925114733,2022-10-04T13:48:18,2022,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/137547695,POINT (-71.842979 45.361916),21E,-71.8443042306924,45.3612913132051,"-262290,24+157851,01",,,,,M,1,JIN,B,4GS,30.0,MF,85.0,JIN,"{'EO': 0.3, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'PE': 0.1, 'PU': 0.2, 'SB': 0.1}",7,1.8343719702816235
3915467085,2022-09-20T16:11,2022,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/135960940,POINT (-71.989461 45.051711),21E,-71.9884390272913,45.0520346639853,"-275256,42+124006,40",,,,,R,3,70,B,1AY,30.0,R,65.0,70,"{'SB': 0.4, 'TO': 0.3, 'EB': 0.2, 'FX': 0.1}",4,1.2798542258336674
3456800246,2021-09-26T10:41:55,2021,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/96233403,POINT (-71.842614 45.36165),21E,-71.8443042306924,45.3612913132051,"-262290,24+157851,01",,,,,M,1,JIN,B,4GS,30.0,MF,85.0,JIN,"{'EO': 0.3, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'PE': 0.1, 'PU': 0.2, 'SB': 0.1}",7,1.8343719702816235
3384727318,2021-09-26T10:43:21,2021,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/96229528,POINT (-71.842125 45.361526),21E,-71.8443042306924,45.3612913132051,"-262290,24+157851,01",,,,,M,1,JIN,B,4GS,30.0,MF,85.0,JIN,"{'EO': 0.3, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'PE': 0.1, 'PU': 0.2, 'SB': 0.1}",7,1.8343719702816235
4953110675,2024-09-26T15:31:41,2024,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/244488195,POINT (-71.367417 46.879658),21L,-71.3682554424922,46.8806864408623,"-218313,77+324615,43",,,,,F,3,JIR,A,7T,50.0,F,45.0,JIN,"{'EO': 0.5, 'FH': 0.3, 'ML': 0.1, 'SB': 0.1}",4,1.1682824501765625
4599801227,2023-07-12,2023,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/203722165,POINT (-71.250154 46.850631),21L,-71.2493126412129,46.8536228848842,"-209389,99+321523,69",,,,,F,2,VIN,B,5A,30.0,F,65.0,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.1, 'RX': 0.1, 'SB': 0.1}",5,1.4184836619456564
4176916016,2023-08-11T11:36:16,2023,Québec,Mutinus ravenelii,https://www.inaturalist.org/observations/177838398,POINT (-71.244418 46.78818),21L,-71.2427679754397,46.7855696982666,"-209029,48+314047,61",,,,,F,1,VIN,B,5S,20.0,F,75.0,VIN,"{'ES': 0.4, 'FT': 0.4, 'EA': 0.2}",3,1.0549201679861442
