gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,cl_age_et,tree_cover,tree_diversity_index,tree_shannon_index
617555095,1989-08-23,1989,Québec,Mycena pura,CMMF000655,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,10,{'RZ': 1.0},1,-0.0
617550255,1994-07-20,1994,Québec,Mycena pura,CMMF002194,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,10,{'RZ': 1.0},1,-0.0
617550150,1988-08-21,1988,Québec,Mycena pura,CMMF000215,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,10,{'RZ': 1.0},1,-0.0
4597273343,2023-08-31T18:19:18,2023,Québec,Mycena pura,https://www.inaturalist.org/observations/181196702,POINT (-71.128555 45.912201),21E,-71.1297051315508,45.9118537076582,"-204024,22+216701,19",P,,CP,,R,3,50,B,1A,30.0,R,65.0,50,{'EV': 1.0},1,-0.0
1135071446,2007-09-12,2007,Québec,Mycena pura,CMMF009991,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
1135071362,2007-09-10,2007,Québec,Mycena pura,CMMF009984,POINT (-71.284979 46.950203),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135070674,2006-09-14,2006,Québec,Mycena pura,CMMF009182,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",6,1.6094379124341
1135066736,2007-10-03,2007,Québec,Mycena pura,CMMF010141,POINT (-71.374844 46.780042),21L,-71.3734073678032,46.7799564370761,"-219042,87+313784,68",FR,,,,F,5,10,B,5S,20.0,F,75.0,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",3,0.8979457248567797
1135069649,2007-09-01,2007,Québec,Mycena pura,CMMF008145,POINT (-68.589233 48.4206),22C,-68.5887754271716,48.4212283609838,"-6543,57+491348,48",,,,,R,3,50,C,8A,30.0,R,75.0,50,"{'SB': 0.7, 'EB': 0.2, 'PE': 0.1}",3,0.8018185525433372
5008390362,2024-08-30T13:27,2024,Québec,Mycena pura,https://www.inaturalist.org/observations/256446614,POINT (-76.432934 45.874324),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
4950601319,2024-09-13T16:50,2024,Québec,Mycena pura,https://www.inaturalist.org/observations/242567860,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",5,1.4184836619456564
3947411328,2022-10-08T15:14,2022,Québec,Mycena pura,https://www.inaturalist.org/observations/138663167,POINT (-76.507663 45.8021),31F,-76.5084656998181,45.8020021481681,"-621529,80+235562,38",,,CP,,M,1,70,D,1AM,30.0,MF,75.0,70,"{'PE': 0.4, 'BP': 0.1, 'EO': 0.1, 'FT': 0.1, 'SB': 0.2, 'EB': 0.1}",6,1.6094379124341003
4102676460,2022-10-01T10:52,2022,Québec,Mycena pura,https://www.inaturalist.org/observations/137285384,POINT (-75.0308 45.622493),31G,-75.0316253671652,45.6217433675943,"-509204,37+203923,13",,,,,M,3,JIN,B,1AM,30.0,MF,95.0,JIN,"{'CR': 0.2, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1, 'PU': 0.2, 'PB': 0.1, 'SB': 0.1}",7,1.8866967846580784
2423613009,1985-07-22,1985,Québec,Mycena pura,CMMF018629,POINT (-74.016094 45.983387),31G,-74.0158986116348,45.9819089711425,"-426989,17+237247,34",,,,,F,1,VIN,D,1AY,31.0,F,75.0,VIN,"{'ES': 0.6, 'BJ': 0.2, 'EO': 0.1, 'FI': 0.1}",4,1.0888999753452235
1135068792,1970-09-22,1970,Québec,Mycena pura,CMMF007308,POINT (-74.483883 45.75925),31G,-74.4845866746319,45.7603488608377,"-465150,21+215573,07",,,,,F,2,50,D,1A,30.0,F,85.0,50,"{'EO': 0.3, 'BP': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",7,1.8343719702816235
1135068583,2011-08-31,2011,Québec,Mycena pura,CMMF007176,POINT (-74.2185 45.683917),31G,-74.2184894361057,45.6817433787633,"-445317,70+205176,03",,,,,F,2,JIN,A,3AN,50.0,F,85.0,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EA': 0.1, 'FT': 0.1, 'PB': 0.1}",7,1.8343719702816235
1135068476,1979-08-25,1979,Québec,Mycena pura,CMMF007001,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
1135068379,2009-10-06,2009,Québec,Mycena pura,CMMF006959,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",4,1.1682824501765625
1135069025,2007-08-26,2007,Québec,Mycena pura,CMMF007552,POINT (-73.177433 45.974167),31H,-73.1756510035957,45.974309118734,"-362289,55+231758,83",,,,,M,1,70,A,5S,30.0,MR,95.0,70,"{'PB': 0.7, 'FT': 0.2, 'PE': 0.1}",3,0.8018185525433372
1135068959,2009-10-08,2009,Québec,Mycena pura,CMMF007469,POINT (-73.163 45.880833),31H,-73.1643621296081,45.8804709241335,"-361904,20+221208,42",,,,,F,1,VIN,A,5S,30.0,F,95.0,VIN,"{'EO': 0.4, 'ES': 0.1, 'FR': 0.1, 'HG': 0.1, 'TA': 0.1, 'PU': 0.1, 'RX': 0.1}",7,1.7480673485460891
4597148295,2023-08-27T12:00:21,2023,Québec,Mycena pura,https://www.inaturalist.org/observations/180661623,POINT (-73.097411 46.30227),31I,-73.0969923339144,46.3024151680538,"-353694,70+267723,73",,,,,F,2,JIN,D,R5S,20.0,F,85.0,JIN,"{'CR': 0.5, 'FT': 0.2, 'EO': 0.1, 'ES': 0.1, 'PB': 0.1}",5,1.3592367006650063
