gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
727874930	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14147	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Algonquin Provincial Park, Nominigan Lodge on Smoke Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.527701	-78.68494	89.0						1982-09-23	23	9	1982	2542508	9682718	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC162328	820923/15	Thorn, R.G.		CC0_1_0	Royal Ontario Museum	Thorn, R.G.			2024-01-25T00:59:40.283Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617551932	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002924	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Lachute	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.664878	-74.292134	8500.0						1996-09-09	9	9	1996	2542508	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002924		Audet, Serge		CC0_1_0	Université de Montréal Biodiversity Centre	Audet, Serge			2024-01-24T16:38:20.752Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4100013130	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	f1305f76-1e1d-4e42-b1c2-fe8aa631aace	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Trametes variiformis (Peck) Peck	Trametes variiformis	(Peck) Peck	CA	Gaspe Peninsula	Quebec	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	48.666667	-65.833333	301.0						1927-08-31	31	8	1927	2542512	9682718	PRESERVED_SPECIMEN	BPI		BPI 887264	10			CC0_1_0		McCallum, A. W.			2025-01-15T04:59:47.002Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4023452863	0f83123f-0c04-4556-8f4d-5a4e2a9bac66	http://id.luomus.fi/MY.4174748	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk		CA	Kelly's Camp	Quebec	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	48.9003	-64.415							1936-08-01T00:00Z/1936-08-31T00:00Z		8	1936	2542508	9682718	PRESERVED_SPECIMEN	H		http://id.luomus.fi/HA.H7043054		Mounce, I.		CC_BY_4_0		Riley, C. G.			2025-01-12T05:29:56.093Z		CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4023442872	0f83123f-0c04-4556-8f4d-5a4e2a9bac66	http://id.luomus.fi/MY.4178567	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk		CA	Notakim Depot, 80 mi	Quebec	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	46.37	-75.96							1938-09-15T00:00Z	15	9	1938	2542508	9682718	PRESERVED_SPECIMEN	H		http://id.luomus.fi/HA.H7042961				CC_BY_4_0		McCallum, A. W.			2025-01-12T05:29:53.850Z		CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4023416511	0f83123f-0c04-4556-8f4d-5a4e2a9bac66	http://id.luomus.fi/MY.5101094	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk		CA	Kelly's Camp	Quebec	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	48.9013	-64.429							1936-08-01T00:00Z/1936-08-31T00:00Z		8	1936	2542508	9682718	PRESERVED_SPECIMEN	H		http://id.luomus.fi/HA.H7043876				CC_BY_4_0		Riley, C. G.			2025-01-12T05:29:47.271Z		CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1807255974	e8a25a42-f125-476c-8554-3ec21cd51a84	ACAD:112461	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	(Kentville)	Nova Scotia	PRESENT		6491ad8c-8e49-4bd4-a089-0ddb3bbe0890	45.07662	-64.49592							1953-11-20	20	11	1953	2542508	9682718	PRESERVED_SPECIMEN	Acadia University	ACAD	2234F	2234	M,R		CC0_1_0	Acadia University	H, KA			2024-01-25T01:37:05.662Z	StillImage	GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1701210363	81e6cff2-b409-417e-8c72-e1bbafb7c61f	d0bace2f-e286-4a23-937c-cb7e64e9cb1a	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Sainte-Foy; Airport forest	Québec	PRESENT		7b8aff00-a9f8-11d8-944b-b8a03c50a862	46.783668	-71.393568	8000.0						2003-08-29	29	8	2003	2542508	9682718	PRESERVED_SPECIMEN	F	Botany	C0293822F	NAMA 2003-013			CC0_1_0	The Field Museum of Natural History				2024-02-20T16:06:19.625Z		GEODETIC_DATUM_ASSUMED_WGS84;MODIFIED_DATE_INVALID;MULTIMEDIA_URI_INVALID;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_FUZZY
1412708040	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016421	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Loretteville, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.867482	-71.384379	8000.0						1985-09-23	23	9	1985	2542508	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016421		Sirard, Léas; Boulet, Bruno		CC0_1_0	Université de Montréal Biodiversity Centre	Sirard, Léas			2024-01-24T16:38:19.732Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412708037	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016423	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Montmagny, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.980077	-70.556636	20000.0						1990-10-20	20	10	1990	2542508	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016423		Boulet, Bruno		CC0_1_0	Université de Montréal Biodiversity Centre	Boulet, Bruno			2024-01-24T16:38:19.734Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412708012	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016402	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Loretteville, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.867482	-71.384379	8000.0						1986-09		9	1986	2542508	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016402		Boulet, Bruno		CC0_1_0	Université de Montréal Biodiversity Centre	Boulet, Bruno			2024-01-24T16:38:19.724Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412707992	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016419	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Saint-Tite des Caps, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	47.137823	-70.773525	7000.0						1989-09-15	15	9	1989	2542508	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016419		Boulet, Bruno		CC0_1_0	Université de Montréal Biodiversity Centre	Boulet, Bruno			2024-01-24T16:38:19.720Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412707989	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016420	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Aéroport, Sainte-Foy, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.78967	-71.388115	3000.0						1990-10-15	15	10	1990	2542508	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016420		Boulet, Bruno		CC0_1_0	Université de Montréal Biodiversity Centre	Boulet, Bruno			2024-01-24T16:38:19.733Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412707932	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016424	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Trametes variiformis (Peck) Peck	Trametes variiformis (Peck) Peck	(Peck) Peck	CA	Val Belair, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.856321	-71.417472	8000.0						1986-10-04	4	10	1986	2542512	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016424		Sirard, Léas		CC0_1_0	Université de Montréal Biodiversity Centre	Sirard, Léas			2024-01-24T16:38:19.734Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412707893	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016422	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Ancienne Lorette, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.852511	-71.442859	10000.0						1985-12-12	12	12	1985	2542508	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016422		Sirard, Léas; Boulet, Bruno		CC0_1_0	Université de Montréal Biodiversity Centre	Boulet, Bruno			2024-01-24T16:38:19.735Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1412707887	21705170-d2b6-42de-8904-c3bca4b83591	CMMF016418	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Sainte-Foy, Québec.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.780042	-71.374844	9000.0						1975-11-11	11	11	1975	2542508	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF016418		Boulet, Bruno		CC0_1_0	Université de Montréal Biodiversity Centre	Sirard, Léas			2024-01-24T16:38:19.724Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1024560137	21705170-d2b6-42de-8904-c3bca4b83591	CMMF005554	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Fomitopsidaceae	Neoantrodia	Neoantrodia variiformis		SPECIES	Antrodia variiformis (Peck) Donk	Antrodia variiformis (Peck) Donk	(Peck) Donk	CA	Notre-Dame-de-la-Merci (Forêt Ouareau, entrée du Massif)	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.224467	-74.045933	100.0						2010-09-04	4	9	2010	2542508	9682718	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF005554	C3737	McNeil, Raymond		CC0_1_0	Université de Montréal Biodiversity Centre	McNeil, Raymond			2024-01-24T16:38:15.789Z	StillImage	COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
